DateTime,Entries,UniqueIPs
1446553102,984,984
1447082874,831,831
1447558385,801,801
1447687849,847,847
1447778675,845,845
1447880759,845,845
1448033590,885,885
1448354232,880,880
1448554656,883,883
1448726694,887,887
1449084543,900,900
1449233392,896,896
1449265706,887,887
1449583079,950,950
1450321077,1080,1080
1450785218,965,965
1451159593,980,980
1451302029,976,976
1451508964,998,998
1451916652,992,992
1452013373,1142,1142
1452187219,1185,1185
1452279304,1209,1209
1453399633,1210,1210
1453568820,1287,1287
1453729784,1285,1285
1453857565,1321,1321
1453932962,1430,1430
1454087682,1550,1550
1454341331,1540,1540
1454416678,1485,1485
1454690464,1527,1527
1454946072,1523,1523
1455196524,1534,1534
1455208929,1537,1537
1457973493,1511,1511
1458836910,1518,1518
1459005212,1518,1518
1459175640,1522,1522
1460117297,1515,1515
1460633748,1538,1538
1460713362,1545,1545
1461000366,1536,1536
1461073442,1537,1537
1461412995,1536,1536
1461600560,1529,1529
1461846008,1528,1528
1462019716,1535,1535
1462275617,1549,1549
1462716465,1547,1547
1462800435,1553,1553
1462871418,1560,1560
1463490163,1558,1558
1463569239,1563,1563
1463592570,1550,1550
1463658206,1567,1567
1463877439,1567,1567
1464008442,1572,1572
1464091632,1568,1568
1464350825,1559,1559
1464362562,1573,1573
1464441575,1569,1569
1464696810,1587,1587
1464716737,1584,1584
1464947974,1653,1653
1464988378,1642,1642
1465219313,1644,1644
1465299556,1643,1643
1465314106,1637,1637
1465389808,1639,1639
1465465295,1638,1638
1465968054,1631,1631
1465992217,1628,1628
1466165793,1628,1628
1466423990,1623,1623
1466672787,1640,1640
1466905303,1672,1672
1467028099,1638,1638
1467221667,1642,1642
1467376635,1647,1647
1467634604,1631,1631
1467810171,1631,1631
1467896200,1641,1641
1467985276,1632,1632
1468107881,1639,1639
1468503992,1654,1654
1469454432,1633,1633
1469702424,1633,1633
1469880760,1636,1636
1470223574,1656,1656
1470311860,1672,1672
1470476763,1674,1674
1470491365,1676,1676
1470572136,1684,1684
1470653094,1694,1694
1470785247,1684,1684
1470833678,1685,1685
1471004292,1692,1692
1471515280,1705,1705
1471695028,1708,1708
1471781252,1711,1711
1471854769,1714,1714
1471885728,1714,1714
1472035652,1719,1719
1472261559,1722,1722
1472389418,1722,1722
1472461261,1726,1726
1472554898,1730,1730
1472745211,1731,1731
1473076259,1731,1731
1473161468,1731,1731
1473333964,1727,1727
1473520353,1748,1748
1473765856,1744,1744
1473881898,1741,1741
1474030027,1754,1754
1474061090,1758,1758
1474299672,1760,1760
1474371759,1760,1760
1474454435,1758,1758
1474628165,1759,1759
1474939268,1759,1759
1475205778,1758,1758
1475328703,1755,1755
1475848755,1749,1749
1476189020,1747,1747
1476273121,1744,1744
1476358637,1751,1751
1476509621,1765,1765
1476631612,1755,1755
1476958508,1751,1751
1476998065,1746,1746
1477053000,1745,1745
1477227068,1762,1762
1477313661,1759,1759
1477407268,1748,1748
1477572972,1761,1761
1477664809,1766,1766
1477784007,1750,1750
1477924413,1827,1827
1478008681,1783,1783
1478179662,1769,1769
1478518887,1738,1738
1478699353,1721,1721
1478864877,1737,1737
1479212056,1712,1712
1479296451,1753,1753
1479314081,1745,1745
1479396699,1753,1753
