DateTime,AddedIPs,RemovedIPs
1440284413,2304,7168
1440545630,2304,10240
1440632447,256,18432
1440719451,1280,19456
1440806406,768,12288
1440893431,1280,6144
1441154434,512,10240
1441241442,512,7168
1441328406,0,7168
1441415647,131072,12288
1441502549,256,13312
1441764647,0,19456
1441851611,2560,12288
1441938623,512,12288
1442025624,0,17408
1442112608,17408,9216
1442373702,768,13312
1442461209,2176,15360
1442548592,5888,11264
1442635210,256,15360
1442722216,0,10240
1442983212,1024,18432
1443070215,0,11264
1443157205,1536,12288
1443244516,3072,18432
1443505966,2560,12288
1443592806,2560,13312
1443679811,512,9216
1443766812,544,11776
1443853828,512,13312
1444114812,512,5376
1444201834,256,16384
1444288835,1024,10240
1444375836,1024,15360
1444462830,512,26880
1444723808,256,15360
1444897803,288,25856
1444984810,2304,13312
1445071839,256,8192
1445333825,256,11264
1445421604,256,14592
1445508605,512,16384
1445595608,0,18432
1445682663,0,12288
1445943605,2304,15360
1446030908,0,24576
1446117949,0,14336
1446206080,0,18432
1446310157,1024,9472
1446570607,2048,10240
1446657604,0,10240
1446744611,0,22784
1446831606,512,11264
1446918635,0,10240
1447179765,0,16384
1447354321,0,35840
1447441231,0,11264
1447528216,512,14336
1447789269,0,26624
1447963238,512,19456
1448138044,256,45056
1448398809,768,8192
1448485835,256,14336
1448572822,768,18432
1448746826,0,34816
1449007803,0,16384
1449095263,0,75776
1449182752,1280,17408
1449269408,256,17408
1449434806,0,8192
1449695546,0,32000
1449782415,16384,11520
1449869415,27648,10240
1449956424,2048,10496
1450217402,256,12288
1450304561,0,6144
1450391861,1024,27648
1450478456,3072,11264
1450565698,0,19968
1450826421,0,10496
1450913416,1024,17408
1451000408,2048,16384
1451087412,0,5120
1451436618,17408,14336
1451523606,0,4096
1451610640,1024,6144
1451697622,67584,1024
1452045606,4096,41984
1452133120,256,14336
1452219718,2048,8192
1452306616,0,6144
1452393870,512,8192
1452654649,1024,10240
1452741627,0,10240
1452828662,2304,10240
1452915603,0,8192
1453002632,2560,19456
1453263693,18432,11264
1453350745,1024,8192
1453437611,0,19456
1453524625,0,9216
1453611632,0,11264
1453872618,1024,30208
1453959610,256,11264
1454046630,0,9216
1454220783,256,9216
1454394611,0,15360
1454481995,0,17408
1454568617,256,10240
1454655609,0,15360
1454742620,32768,15360
1455090614,0,35840
1455177609,0,11520
1455264638,1280,12288
1455438627,2048,9216
1455612614,0,12288
1455786605,0,25600
1455873611,0,20480
1455960610,0,10240
1456221616,512,20480
1456482607,256,36352
1456569603,1536,12288
1456830614,0,15360
1456917613,2304,15360
1457091621,140288,35840
1457178619,0,19456
1457527029,1024,24576
1457614359,0,18432
1457962503,32768,35840
1458049753,0,16384
1458136433,0,10240
1458223208,0,9216
1458310584,1280,15360
1458397218,0,13312
1458658302,0,5120
1458745236,0,9216
1458832580,0,10240
1458919932,0,8192
1459355537,256,12544
1459529580,0,30720
1459616454,5120,19456
1459878496,0,8192
1459965180,0,19456
1460052055,0,13312
1460139391,0,11520
1460313146,1024,16384
1460487236,0,16384
1460574043,0,15360
1460661163,256,12288
1460835018,1024,30720
1461096027,0,17408
1461183379,0,11264
1461531609,256,49152
1461706044,256,14336
1461793456,0,21504
1461967249,0,21504
1462054369,0,12288
1462315969,256,24576
1462402830,256,11264
1462490188,0,13312
1462664132,0,20480
1462925486,0,17408
1463012623,0,10240
1463099553,768,26624
1463186438,0,13312
1463273486,0,14336
1463621896,0,10496
1463708505,0,19712
1463794939,0,16384
1463881729,0,26624
1464141673,1024,21504
1464228314,256,15360
1464315631,0,8192
1464402092,1024,12288
1464489024,0,10496
1464749924,0,5120
1464836439,0,15360
1464922890,1024,6144
1465009340,16384,8192
1465096355,0,10240
1465357127,512,14592
1465443607,768,9472
1465530416,0,14336
1465616824,0,12288
1465790470,0,4096
1465963404,0,8192
1466049935,0,16384
1466136488,0,18432
1466222964,2048,10240
1466396727,0,10240
1466569875,6144,13312
1466656453,4096,16384
1466743133,2304,1024
1466829559,1280,10240
1466916039,5120,6144
1467176276,1024,12288
1467262732,4352,7168
1467349194,11264,15360
1467435607,10240,17408
1467522112,12544,11264
1467695294,3840,7168
1467781812,512,15360
1467955807,1024,13568
1468042278,0,18432
1468389319,0,16640
1468475838,256,7168
1468562432,0,16896
1468648866,0,14336
1468995933,256,7168
1469082446,5120,9216
1469169053,256,14336
1469255502,0,41984
1469429120,0,11264
1469602425,0,26880
1469776073,5120,11264
1469862505,1984,13312
1469949376,1344,9216
1470210675,0,14848
1470297306,0,8192
1470384032,0,8192
1470557170,0,27648
1470816906,0,25600
1470990650,0,9216
1471077089,33536,8192
1471163701,0,14336
1471424067,0,24576
1471510830,0,9216
1471597488,0,14336
1471770634,0,35840
1471944185,0,12544
1472117840,0,17408
1472204611,1024,16384
1472291051,1280,14336
1472378436,0,10240
1472638058,0,7168
1472724711,4096,16384
1472812069,0,14336
1472985104,16896,8192
1473159035,0,7168
1473245727,0,15360
1473418876,0,25600
1473591923,2048,15360
1473766590,0,15360
1473939943,1024,36864
1474026617,0,17408
1474113097,0,15360
1474374076,0,20480
1474461215,1024,12288
1474547644,1024,9216
1474720766,287744,29952
1474981207,1536,11264
1475067731,1024,21504
1475154278,0,12288
1475328026,1280,28672
1475587963,256,16384
1475761232,0,33792
1475934453,0,19456
1476021043,2048,17408
1476280718,1024,32768
1476453605,0,12288
1476540634,0,30720
1476800252,4096,15360
1476887019,0,20480
1476973603,0,9216
1477060243,0,17408
1477233335,0,12288
1477493322,512,18432
1477579962,1024,33792
1477666543,0,9216
1477753034,0,16384
1478012922,0,10240
1478186065,0,23808
1478272662,1792,13312
1478532582,4608,15360
1478619147,512,14336
1478705741,1024,14848
1478792382,4096,11264
1478879000,1280,13312
1478965484,1024,10240
1479224889,256,16384
1479312008,256,11264
1479398637,512,13312
