DateTime,Entries,UniqueIPs
1440197422,3600,606820488
1440284413,3600,606815624
1440545630,3607,606807688
1440632447,3607,606789512
1440632447,3607,606789512
1440719451,3611,606771336
1440806406,3615,606759816
1440893431,3618,606754952
1441154434,3617,606745224
1441241442,3619,606738568
1441328406,3619,606731400
1441415647,3620,606850184
1441502549,3623,606837128
1441764647,3622,606817672
1441851611,3626,606807944
1441938623,3626,606796168
1442025624,3624,606778760
1442112608,3630,606786952
1442373702,3629,606774408
1442461209,3633,606761224
1442548592,3636,606755848
1442548592,3636,606755848
1442635210,3634,606740744
1442722216,3637,606730504
1442983212,3635,606713096
1443070215,3636,606701832
1443157205,3637,606691080
1443244516,3638,606675720
1443505966,3643,606665992
1443592806,3646,606655240
1443679811,3651,606646536
1443766812,3650,606635304
1443853828,3652,606622504
1444114812,3652,606617640
1444201834,3657,606601512
1444288835,3659,606592296
1444375836,3663,606577960
1444462830,3660,606551592
1444723808,3662,606536488
1444897803,3660,606510920
1444984810,3662,606499912
1445071839,3662,606491976
1445333825,3664,606480968
1445421604,3665,606466632
1445508605,3666,606450760
1445595608,3664,606432328
1445682663,3666,606420040
1445943605,3668,606406984
1446030908,3667,606382408
1446117949,3667,606368072
1446206080,3669,606349640
1446310157,3671,606341192
1446570607,3671,606333000
1446657604,3671,606322760
1446744611,3669,606299976
1446831606,3670,606289224
1446918635,3671,606278984
1447179765,3671,606262600
1447354321,3672,606226760
1447441231,3669,606215496
1447528216,3670,606201672
1447789269,3669,606175048
1447963238,3671,606156104
1448138044,3670,606111304
1448398809,3671,606103880
1448485835,3682,606089800
1448572822,3682,606072136
1448746826,3685,606037320
1449007803,3684,606020936
1449095263,3680,605945160
1449182752,3682,605929032
1449269408,3683,605911880
1449434806,3686,605903688
1449695546,3683,605871688
1449782415,3683,605876552
1449869415,3685,605893960
1449956424,3688,605885512
1450217402,3687,605873480
1450304561,3687,605867336
1450391861,3687,605840712
1450478456,3689,605832520
1450565698,3691,605812552
1450826421,3689,605802056
1450913416,3689,605785672
1451000408,3691,605771336
1451087412,3692,605766216
1451436618,3697,605769288
1451523606,3696,605765192
1451610640,3698,605760072
1451697622,3700,605826632
1452045606,3695,605788744
1452133120,3695,605774664
1452219718,3695,605768520
1452306616,3696,605762376
1452393870,3697,605754696
1452654649,3698,605745480
1452741627,3695,605735240
1452828662,3695,605727304
1452915603,3694,605719112
1453002632,3698,605702216
1453089603,3698,605702216
1453176982,3698,605702216
1453263693,3698,605709384
1453350745,3701,605702216
1453437611,3700,605682760
1453524625,3698,605673544
1453611632,3700,605662280
1453698640,3700,605662280
1453872618,3709,605633096
1453959610,3711,605622088
1454046630,3709,605612872
1454220783,3711,605603912
1454394611,3710,605588552
1454481995,3710,605571144
1454568617,3709,605561160
1454655609,3709,605545800
1454742620,3710,605563208
1455090614,3711,605527368
1455177609,3709,605515848
1455264638,3712,605504840
1455438627,3713,605497672
1455612614,3713,605485384
1455786605,3713,605459784
1455873611,3712,605439304
1455960610,3710,605429064
1456221616,3714,605409096
1456482607,3713,605373000
1456569603,3714,605362248
1456830614,3713,605346888
1456917613,3717,605333832
1457091621,3720,605438280
1457178619,3724,605418824
1457527029,3723,605395272
1457614359,3722,605376840
1457962503,3722,605373768
1458049753,3721,605357384
1458136433,3721,605347144
1458223208,3723,605337928
1458310584,3721,605323848
1458397218,3728,605310536
1458658302,3728,605305416
1458745236,3727,605296200
1458832580,3726,605285960
1458919932,3725,605277768
1459355537,3724,605265480
1459529580,3725,605234760
1459616454,3728,605220424
1459878496,3728,605212232
1459965180,3728,605192776
1460052055,3729,605179464
1460139391,3726,605167944
1460313146,3727,605152584
1460487236,3726,605136200
1460574043,3728,605120840
1460661163,3727,605108808
1460835018,3728,605079112
1461096027,3730,605061704
1461183379,3731,605050440
1461531609,3732,605001544
1461706044,3730,604987464
1461793456,3730,604965960
1461967249,3730,604944456
1462054369,3732,604932168
1462315969,3731,604907848
1462402830,3731,604896840
1462490188,3732,604883528
1462664132,3733,604863048
1462925486,3731,604845640
1463012623,3731,604835400
1463099553,3731,604809544
1463186438,3731,604796232
1463273486,3736,604781896
1463621896,3734,604771400
1463708505,3735,604751688
1463794939,3734,604735304
1463881729,3734,604708680
1464141673,3735,604688200
1464228314,3735,604673096
1464315631,3734,604664904
1464402092,3737,604653640
1464489024,3737,604643144
1464749924,3735,604638024
1464836439,3734,604622664
1464922890,3734,604617544
1465009340,3735,604625736
1465096355,3733,604615496
1465357127,3737,604601416
1465443607,3738,604592712
1465530416,3734,604578376
1465616824,3735,604566088
1465790470,3734,604561992
1465963404,3734,604553800
1466049935,3737,604537416
1466136488,3734,604518984
1466222964,3737,604510792
1466396727,3735,604500552
1466569875,3742,604493384
1466656453,3744,604481096
1466743133,3749,604482376
1466829559,3750,604473416
1466916039,3754,604472392
1467176276,3755,604461128
1467262732,3756,604458312
1467349194,3760,604454216
1467435607,3769,604447048
1467522112,3775,604448328
1467695294,3780,604445000
1467781812,3779,604430152
1467955807,3781,604417608
1468042278,3780,604399176
1468389319,3780,604382536
1468475838,3779,604375624
1468562432,3779,604358728
1468648866,3778,604344392
1468995933,3786,604337480
1469082446,3788,604333384
1469169053,3787,604319304
1469255502,3789,604277320
1469429120,3786,604266056
1469602425,3786,604239176
1469776073,3789,604233032
1469862505,3791,604221704
1469949376,3790,604213832
1470210675,3789,604198984
1470297306,3788,604190792
1470384032,3791,604182600
1470557170,3787,604154952
1470816906,3788,604129352
1470990650,3786,604120136
1471077089,3790,604145480
1471163701,3789,604131144
1471424067,3788,604106568
1471510830,3789,604097352
1471597488,3792,604083016
1471770634,3790,604047176
1471944185,3793,604034632
1472117840,3794,604017224
1472204611,3794,604001864
1472291051,3797,603988808
1472378436,3795,603978568
1472638058,3795,603971400
1472724711,3798,603959112
1472812069,3795,603944776
1472985104,3801,603953480
1473159035,3800,603946312
1473245727,3801,603930952
1473418876,3801,603905352
1473591923,3802,603892040
1473766590,3801,603876680
1473939943,3804,603840840
1474026617,3802,603823432
1474113097,3802,603808072
1474374076,3800,603787592
1474461215,3803,603776328
1474547644,3803,603768136
1474720766,3814,604025928
1474981207,3810,604016200
1475067731,3811,603995720
1475154278,3811,603983432
1475328026,3811,603956040
1475587963,3810,603939912
1475761232,3814,603906120
1475934453,3811,603886664
1476021043,3815,603871304
1476280718,3815,603839560
1476453605,3813,603827272
1476540634,3814,603796552
1476800252,3815,603785288
1476887019,3816,603764808
1476973603,3814,603755592
1477060243,3816,603738184
1477233335,3815,603725896
1477493322,3818,603707976
1477579962,3818,603675208
1477666543,3818,603665992
1477753034,3818,603649608
1478012922,3817,603639368
1478186065,3821,603615560
1478272662,3825,603604040
1478532582,3823,603593288
1478619147,3826,603579464
1478705741,3826,603565640
1478792382,3829,603558472
1478879000,3833,603546440
1478965484,3835,603537224
1479224889,3834,603521096
1479312008,3836,603510088
1479398637,3839,603497288
