DateTime,AddedIPs,RemovedIPs
1440269415,2,0
1440356413,2,0
1440443403,1,0
1440530403,1,0
1440617407,3,0
1440791408,4,0
1440878411,3,0
1440965448,3,0
1441052407,3,0
1441139419,2,0
1441487411,3,0
1441574608,2,0
1441749034,4,0
1441836021,2,0
1441923003,4,0
1442010002,4,0
1442097003,3,0
1442184059,4,0
1442271037,2,0
1442358011,2,0
1442532003,7,0
1442619302,2,0
1442706071,1,0
1442880003,7,0
1442967016,3,0
1443054034,4,0
1443141014,12,0
1443228012,1,0
1443315055,2,0
1443402012,5,0
1443489304,3,0
1443576157,2,0
1443663158,1,0
1443750321,3,0
1443924002,1,0
1444011026,4,0
1444098021,3,0
1444185026,1,0
1444359025,1,0
1444533102,2,0
1444707191,3,0
1444794085,6,0
1444968009,1,0
1445055016,1,0
1445142005,2,0
1445403019,1,0
1445490007,2,0
1445577309,4,0
1445664533,1,0
1445751342,1,0
1445838342,2,0
1445925604,2,0
1446012603,2,0
1446099605,2,0
1446447603,5,0
1446534621,3,0
1446621611,2,0
1446708607,2,0
1447056647,1,0
1447143645,4,0
1447317641,1,0
1447404639,1,0
1447491606,1,0
1447665654,1,0
1447752604,4,0
1447926660,2,0
1448274614,2,0
1448361912,5,0
1448448749,3,0
1448535605,4,0
1448709632,4,0
1448796615,5,0
1448883615,3,0
1448970617,4,0
1449057603,1,0
1449144641,1,0
1449232042,3,0
1449318635,2,0
1449405914,6,0
1449666626,6,1
1449753618,1,0
1449840616,3,0
1449927636,4,0
1450101616,4,0
1450188714,3,0
1450276072,1,0
1450362610,3,0
1450449928,2,0
1450623611,2,0
1450710630,1,0
1450797610,2,0
1450884613,5,0
1450971614,3,0
1451058610,1,0
1451232644,1,0
1451406613,1,0
1451580629,1,0
1451754612,3,0
1451841611,1,0
1451928618,2,0
1452015604,5,0
1452102650,4,0
1452189606,2,0
1452276862,1,0
1452363650,7,0
1452450618,5,0
1452537613,2,0
1452624695,2,0
1452711603,1,0
1452798618,4,0
