DateTime,AddedIPs,RemovedIPs
1440355836,490,546
1440442806,457,489
1440529810,507,422
1440616855,510,525
1440703807,488,488
1440790839,514,521
1440877829,497,494
1440964806,443,447
1441051810,517,515
1441138821,559,498
1441225804,606,542
1441312828,495,498
1441399844,544,517
1441486819,510,523
1441573827,471,457
1441660830,485,513
1441747805,491,485
1441834809,482,469
1441921831,463,511
1442008805,512,539
1442095823,474,460
1442182840,504,467
1442269804,473,490
1442356808,590,504
1442443816,531,559
1442530808,510,504
1442617811,480,457
1442704855,482,437
1442878809,616,627
1442965823,465,508
1443052817,509,479
1443139853,463,467
1443226824,490,475
1443313806,526,523
1443400812,485,485
1443487819,521,476
1443574816,503,527
1443661858,483,444
1443748881,594,546
1443835802,484,466
1443922873,525,490
1444009818,492,479
1444096820,477,491
1444183844,432,474
1444270814,505,578
1444357807,433,424
1444444918,467,492
1444531865,481,487
1444618814,458,447
1444705811,464,504
1444792814,505,483
1444966852,607,637
1445053826,513,510
1445140803,428,433
1445227814,502,485
1445401806,602,604
1445488819,499,508
1445575821,478,433
1445662817,486,498
1445749805,537,483
1445836804,609,593
1445923804,502,497
1446010808,484,485
1446097805,515,518
1446184812,517,555
1446271816,604,484
1446445804,751,610
1446532805,471,580
1446619804,548,531
1446706805,462,495
1446793806,497,503
1446880866,551,508
1447054823,584,606
1447141824,510,517
1447315806,691,615
1447402826,512,587
1447489803,532,519
1447663810,616,634
1447750809,524,525
1447924827,688,626
1448098842,687,644
1448272810,632,672
1448359809,545,563
1448446813,551,545
1448533804,542,552
1448707829,677,658
1448794808,480,457
1448881820,504,562
1448968803,626,523
1449055804,591,525
1449142833,517,560
1449229816,532,465
1449316815,564,543
1449403804,500,525
1449490851,467,456
1449664810,677,628
1449751820,476,472
1449838809,540,519
1449925823,456,442
1450099803,627,669
1450186823,531,546
1450273805,576,544
1450360811,537,553
1450447832,494,481
1450534828,511,492
1450621804,487,513
1450708821,526,520
1450795816,466,467
1450882813,497,518
1450969818,458,481
1451056802,476,502
1451143803,487,500
1451230907,442,437
1451317831,519,532
1451404815,481,441
1451491910,523,506
1451578847,546,559
1451665805,544,476
1451752819,539,560
1451839824,524,523
1451926811,578,458
1452013818,559,500
1452100804,539,544
1452187803,515,535
1452274812,599,519
1452361832,527,606
1452448813,547,365
1452535830,596,785
1452622819,511,484
1452709804,508,529
1452796815,548,546
1452883815,541,551
1452970806,523,531
1453144809,666,663
1453231805,562,518
1453318811,562,552
1453492810,675,707
1453579845,558,589
1453666804,496,466
1453753807,525,403
1453927816,805,942
1454014803,554,534
1454101811,447,470
1454275803,691,682
1454362834,582,560
1454449821,575,480
1454536808,549,542
1454623820,603,529
1454710806,535,549
1454797804,540,562
1454884822,497,465
1454971883,513,548
1455058810,541,557
1455145826,530,561
1455232803,500,483
1455319804,547,574
1455493806,669,677
1455667808,517,540
1455841804,812,786
1455928833,561,568
1456015811,544,553
1456102804,536,549
1456189812,530,527
1456276807,541,525
1456537812,792,825
1456624807,498,552
1456798806,665,672
1456885805,536,455
1456972810,602,556
1457146805,696,680
1457233817,517,542
1457581803,822,863
1457668804,462,477
1458016811,786,870
1458103808,580,536
1458190806,513,531
1458277803,646,620
1458364803,550,541
1458451804,439,444
1458538807,493,500
1458625806,546,541
1458712804,525,511
1458799803,522,565
1458886809,526,452
1458973804,474,531
1459060804,501,511
1459147815,503,487
1459234810,545,583
1459321805,508,501
1459495806,712,630
1459582803,526,494
1459669819,518,536
1459843813,671,643
1459930809,537,569
1460017804,501,465
1460104803,513,481
1460278806,593,614
1460452813,606,677
1460539805,516,507
1460626838,471,466
1460800807,624,630
1460887823,523,501
1460974823,487,483
1461061804,511,549
1461148806,516,511
1461496817,774,816
1461583802,437,464
1461670834,514,530
1461757812,486,487
1461844804,453,454
1461931807,513,519
1462018803,479,525
1462105803,549,521
1462192806,503,454
1462279807,500,563
1462366807,553,501
1462453806,509,561
1462540840,514,486
1462627805,488,534
1462714807,461,453
1462801805,500,476
1462888804,460,442
1462975821,472,519
1463062818,460,510
1463149806,547,489
1463236815,419,427
1463323807,506,536
1463410804,515,483
1463497808,482,500
1463584267,449,445
1463670724,486,489
1463757183,441,429
1463843643,486,484
1463930104,467,486
1464016563,440,429
1464103033,486,473
1464189488,507,481
1464275946,456,474
1464362425,491,493
1464448865,455,528
1464535336,439,457
1464621786,431,402
1464708248,491,453
1464794706,538,522
1464881164,492,443
1464967627,471,465
1465054084,487,466
1465140546,422,426
1465313479,585,572
1465399933,421,434
1465486385,449,471
1465572846,484,474
1465745773,567,569
1465832230,406,416
1465918683,468,507
1466005143,560,484
1466091627,516,508
1466178082,468,520
1466264531,477,505
1466350996,391,445
1466437444,483,461
1466523910,511,517
1466610365,433,442
1466696828,494,451
1466783284,534,501
1466869745,446,447
1466956219,458,450
1467042680,458,466
1467129137,487,479
1467215584,459,489
1467302050,500,469
1467388504,555,546
1467474964,497,488
1467561439,446,477
1467647897,445,455
1467734342,505,469
1467820804,470,498
1467993722,577,654
1468080184,470,495
1468166651,415,405
1468253102,446,435
1468339563,469,466
1468426022,452,460
1468512484,437,457
1468598948,492,516
1468685404,462,441
1468858325,526,570
1468944792,482,464
1469031248,475,468
1469117704,395,401
1469204171,451,495
1469290629,461,484
1469463543,508,525
1469636464,590,544
1469722929,455,446
1469809383,377,297
1469895846,493,546
1469982309,388,419
1470068765,493,476
1470155229,469,442
1470241683,468,464
1470328146,494,475
1470414604,440,415
1470587525,551,581
1470760459,583,575
1470846904,453,457
1471019836,584,582
1471106285,433,475
1471192744,437,431
1471365665,590,565
1471452132,453,440
1471538587,432,468
1471625044,472,529
1471797970,619,558
1471884424,426,415
1471970887,502,497
1472057345,483,470
1472143805,422,436
1472230288,484,459
1472316725,456,477
1472403212,418,441
1472489643,462,414
1472576108,492,482
1472662565,466,480
1472749024,515,478
1472835482,527,488
1473008402,611,574
1473181323,599,590
1473267782,507,508
1473354249,480,460
1473440704,406,426
1473613623,566,547
1473700087,436,452
1473786544,431,413
1473959467,566,576
1474045928,483,458
1474132387,425,438
1474218842,460,460
1474305302,464,451
1474391766,453,435
1474478226,474,476
1474564689,463,428
1474651145,488,479
1474737608,474,457
1474824069,429,459
1474910524,467,471
1474996986,447,446
1475083452,458,462
1475169911,460,475
1475256367,437,433
1475342824,509,491
1475429291,461,448
1475515752,428,409
1475602202,520,522
1475688665,439,468
1475775123,424,438
1475861590,443,459
1475948199,482,484
1476034027,422,419
1476120497,444,466
1476206945,478,470
1476293404,443,470
1476379868,487,497
1476466325,461,481
1476552786,449,444
1476639248,444,454
1476684216,474,462
1476770643,403,434
1476857106,489,467
1476943566,466,482
1477030025,425,419
1477116482,466,518
1477202950,466,449
1477349225,472,501
1477435686,482,467
1477522157,431,395
1477608613,444,428
1477695080,458,474
1477781534,459,485
1477867988,397,392
1477954445,445,455
1478040906,488,414
1478127367,520,486
1478213825,460,480
1478300287,513,490
1478386758,453,458
1478559669,459,490
1478646127,554,581
1478732586,403,363
1478819048,578,634
1478905504,493,451
1478991962,402,405
1479164889,560,585
1479251344,426,455
1479337804,477,442
1479424262,464,454
