DateTime,Entries,UniqueIPs
1434197235,5353,56155648
1434283635,5353,56155648
1434283635,5353,56155648
1434456432,5354,56156672
1434542832,5357,56159744
1434629234,5358,56160000
1434629234,5358,56160000
1434629234,5358,56160000
1434715632,5359,56160256
1434802034,5360,56161280
1435061229,5361,56162560
1435147643,5362,56162816
1435234037,5363,56163328
1435406833,5367,56165888
1435838844,5370,56168448
1436011633,5373,56172032
1436270833,5372,56171776
1436443632,5373,56172288
1436530034,5372,56170240
1436616437,5377,56172800
1436875649,5379,56173312
1436962042,5382,56175616
1437221233,5383,56175872
1437480442,5386,56178432
1437566840,5385,56178688
1437653234,5389,56179968
1437739633,5390,56180992
1437826038,5392,56182784
1438085235,5393,56183808
1438171637,5398,56187648
1438258044,5400,56188928
1438430834,5402,56190464
1438690037,5403,56191488
1438776441,5404,56194560
1438862836,5406,56196608
1438949235,5407,56196864
1439035640,5409,56196096
1439122061,5409,56196096
1439122061,5409,56196096
1439122061,5409,56196096
1439208442,5409,56196096
1439381237,5411,56198144
1439554041,5413,56199424
1439640436,5415,56200960
1439640436,5415,56200960
1439899637,5418,56202752
1439986039,5417,56203008
1440158843,5421,56205824
1440158843,5421,56205824
1440245241,5422,56206848
1440504438,5423,56207872
1440590838,5426,56211200
1440590838,5426,56211200
1440677238,5427,56212224
1440763639,5430,56214016
1441109235,5432,56216064
1441282034,5438,56221440
1441368438,5439,56222720
1441454835,5440,56222976
1441714034,5445,56226304
1441800441,5446,56227328
1441973236,5447,56228096
1442059634,5446,56227840
1442318841,5447,56228352
1442405238,5449,56229376
1443096438,5458,56237568
1443182843,5462,56238848
1443528434,5464,56240896
1443701235,5466,56241664
1443787639,5465,56240640
1443874040,5470,56245760
1444219636,5473,56248064
1444306034,5474,56248832
1444392440,5476,56250368
1444478841,5478,56254208
1444738037,5479,56255232
1444824441,5482,56257280
1444910840,5485,56259328
1444997241,5486,56259840
1445083643,5487,56260096
1445342838,5489,56261888
1445515642,5494,56264960
1445602049,5496,56265728
1445688443,5497,56266752
1446034032,5498,56267008
1446120433,5500,56267520
1446552431,5502,56268544
1446638836,5503,56269568
1446725237,5505,56271616
1446811634,5504,56269824
1447157234,5506,56271872
1447330034,5508,56274944
1447416435,5510,56278784
1447848451,5511,56278016
1447934834,5513,56280064
1448107632,5515,56282624
1448366834,5516,56283648
1448453236,5519,56285952
1448539639,5521,56288000
1448626036,5523,56289280
1449058037,5523,56256512
1449144435,5528,56259584
1449230836,5530,56261632
1449576434,5528,56259584
1449662831,5529,56260096
1449749230,5529,56256256
1449922031,5532,56259328
1450181232,5534,56261376
1450267629,5536,56263424
1450440431,5537,56263680
1450526828,5539,56265728
1450786029,5542,56267264
1450872443,5543,56268288
1450958828,5546,56271360
1451045230,5549,56273664
1451477227,5550,56273920
1451650029,5550,56272896
1452168428,5552,56274944
1452254830,5552,56275456
1452341228,5552,56260096
1452600431,5557,56263936
1452686834,5560,56266240
1452773231,5558,56266496
1452946030,5560,56267520
1453118828,5560,56267520
1453205231,5560,56267520
1453291628,5561,56267776
1453378031,5560,56235008
1453464429,5562,56237056
1453550832,5564,56238336
1453637228,5564,56238336
1453723630,5564,56238336
1453810031,5565,56174336
1453982829,5566,56174592
1454069232,5568,56176128
1454155631,5569,56177152
1454414837,5571,56178432
1454501231,5573,56179712
1454587633,5577,56182528
1454674027,5578,56183552
1454846830,5580,56185600
1455019629,5583,56188928
1455192428,5585,56190976
1455278830,5591,56194560
1455365229,5592,56195072
1455624426,5594,56198144
1455710828,5597,56200704
1455797229,5598,56200192
1455883630,5599,56201216
1455970028,5601,56203264
1456229231,5604,56205056
1456315628,5607,56198912
1456402028,5608,56199424
1456488429,5610,56200960
1456574828,5609,56199936
1456834083,5611,56201472
1456920439,5611,56200448
1457006830,5614,56202240
1457093231,5618,56205056
1457179633,5620,56205824
1457438832,5624,56207872
1457525231,5625,56208896
1457611629,5628,56210176
1457698029,5629,56210432
1458130029,5631,56212480
1458216431,5633,56214016
1458302829,5636,56214784
1458648433,5639,56217856
1458734832,5641,56219136
1458821236,5644,56221440
1458907632,5646,56221952
1459339631,5650,56226048
1459426055,5651,56223232
1459512429,5655,56227072
1459598829,5659,56230912
1459858029,5662,56233472
1459944428,5664,56234752
1460203629,5665,56235776
1460462834,5668,56237824
1460549236,5669,56238080
1460635632,5670,56239616
1460722080,5673,56242176
1460808431,5676,56245248
1461067631,5675,56244736
1461154032,5677,56245504
1461240435,5681,56248064
1461326831,5683,56250624
1461413232,5686,56253184
1461758834,5687,56254208
1462018032,5688,56254720
1462363631,5692,56258560
1462450032,5694,56260608
1462536430,5695,56261120
1462622834,5697,56262656
1462882035,5700,56264448
1462968433,5703,56267008
1463141233,5704,56267520
1463486834,5705,56267776
1463573235,5706,56268288
1463659633,5708,56269568
1463746032,5710,56270336
1464091638,5711,56270592
1464178039,5712,56271104
1464350836,5713,56271616
1464437235,5714,56271872
1464696436,5714,56272384
1464782834,5714,56272896
1464869232,5715,56273408
1464955633,5719,56276736
1465042040,5719,56268800
1465301234,5723,56272384
1465387634,5724,56273408
1465474034,5725,56273664
1465560433,5724,56273920
1465646832,5723,56273664
1465906032,5726,56276224
1465992446,5729,56277248
1466078843,5731,56278016
1466251631,5731,56271616
1466510835,5732,56271872
1466597234,5732,56271616
1466683635,5733,56271872
1466770034,5734,56272384
1466856433,5737,56273152
1467115632,5738,56273408
1467202033,5749,56268032
1467288434,5753,56272896
1467374840,5772,56271872
1467461235,5772,56271360
1467720434,5774,56271872
1467806835,5784,56271104
1467893235,5785,56272128
1467979632,5787,56273664
1468066030,5791,56276736
1468325233,5801,56282368
1468670832,5804,56284672
1468930035,5806,56286720
1469102833,5808,56286464
1469189253,5811,56288256
1469275636,5811,56289024
1469534833,5813,56290304
1469621235,5814,56259584
1469707634,5819,56261888
1469794300,5820,56262400
1469880435,5819,56262656
1470139636,5822,56264704
1470226036,5823,56265728
1470312438,5823,56266496
1470398835,5825,56268544
1470485235,5838,56267776
1470744436,5855,56267520
1471090038,5857,56268032
1471349237,5860,56269824
1471435638,5860,56268544
1471522039,5861,56268032
1471608437,5863,56268800
1471694834,5864,56269824
1472040439,5867,56271616
1472126837,5867,56272896
1472213237,5871,56274176
1472299636,5873,56274176
1472558843,5874,56276736
1472645239,5875,56276992
1472731636,5876,56278016
1472818056,5877,56278016
1473163653,5878,56278272
1473336438,5879,56278784
1473422845,5880,56279040
1473509244,5885,56284160
1473768435,5888,56285696
1473854835,5890,56287744
1473941240,5890,56287744
1474114037,5891,56288000
1474459641,5890,56286976
1474632440,5892,56288256
1474718845,5892,56288512
1474978038,5891,56272128
1475064435,5894,56273920
1475150841,5895,56274176
1475323638,5896,56274432
1475669243,5900,56283648
1475755664,5899,56282368
1475842040,5899,56289536
1475928440,5901,56290304
1476187663,5903,56290816
1476360441,5904,56292096
1476446847,5906,56284672
1476533237,5907,56285184
1476792441,5908,56285696
1476878841,5909,56286208
1476965245,5915,56279808
1477051635,5917,56280576
1477138039,5915,56272384
1477483639,5918,56273664
1477570039,5920,56209408
1477656438,5920,56209664
1477742836,5919,56209152
1478088440,5912,56193024
1478174838,5912,56193280
1478347636,5913,56177664
1478606837,5914,56177920
1478693237,5916,56178176
1478779641,5917,56178432
1478866040,5918,56179456
1478952441,5920,56179968
1479211638,5920,56179968
1479298036,5921,56180480
1479384444,5922,56180736
