DateTime,Entries,UniqueIPs
1434197235,2634,11723360
1434283635,2634,11723360
1434283635,2634,11723360
1434629234,2634,11723360
1434629234,2634,11723360
1434715632,2634,11719264
1434802034,2635,11720288
1435234037,2634,11712096
1435406833,2633,11679328
1435925231,2632,11678816
1436270833,2633,11679840
1436962042,2634,11680864
1437221233,2633,11680608
1437566840,2632,11680352
1437739633,2631,11680096
1437826038,2632,11681120
1438085235,2631,11680864
1438258044,2631,11681632
1438344436,2632,11682656
1438690037,2633,11683680
1439035640,2634,11684704
1439122061,2634,11684704
1439122061,2634,11684704
1439122061,2634,11684704
1439208442,2634,11684704
1439467637,2633,11684192
1439640436,2633,11684192
1439986039,2632,11667808
1440158843,2632,11667808
1440245241,2631,11666784
1440504438,2630,11666528
1440590838,2631,11667552
1440590838,2631,11667552
1440763639,2632,11668576
1443096438,2633,11669600
1443528434,2631,11668320
1443701235,2632,11669344
1443787639,2632,11669600
1443874040,2633,11670624
1444219636,2632,11670368
1444392440,2631,11670880
1444478841,2632,11671136
1444824441,2633,11672160
1444910840,2634,11674208
1445515642,2634,11657824
1446120433,2635,11666016
1446206833,2636,11667040
1446725237,2637,11668064
1447243636,2637,11668320
1447330034,2638,11672416
1447503066,2639,11673440
1447848451,2640,11674464
1448021233,2641,11674976
1448366834,2642,11676000
1448453236,2643,11677024
1448539639,2644,11678048
1448712434,2645,11679072
1449144435,2646,11680096
1449576434,2647,11681120
1449662831,2648,11682144
1449922031,2647,11680096
1450440431,2645,11677024
1450526828,2647,11678560
1450872443,2648,11678304
1451390827,2648,11670112
1451650029,2647,11669856
1451995628,2647,11665760
1452168428,2646,11663712
1452686834,2644,11661408
1452946030,2645,11663456
1453118828,2645,11663456
1453205231,2645,11663456
1453291628,2644,11662432
1453378031,2643,11661408
1453464429,2643,11661408
1453550832,2643,11661408
1453637228,2643,11661408
1453723630,2643,11661408
1454587633,2644,11662432
1455019629,2645,11663456
1455192428,2646,11664480
1455365229,2650,11664224
1455710828,2651,11664736
1455797229,2652,11665760
1456229231,2653,11666784
1457525231,2653,11666272
1457611629,2654,11667296
1457784429,2653,11666272
1458043630,2655,11668320
1458130029,2656,11669344
1458302829,2657,11669856
1458821236,2657,11668832
1459426055,2656,11668576
1459512429,2657,11669600
1459598829,2658,11670624
1459858029,2659,11671648
1459944428,2660,11671648
1460203629,2661,11672672
1460722080,2662,11673696
1461672435,2665,11676768
1461931631,2666,11677792
1462363631,2665,11677536
1462450032,2666,11678560
1462882035,2667,11679584
1462968433,2668,11680608
1463054832,2665,11678048
1463141233,2666,11674464
1464091638,2667,11675488
1464178039,2668,11676512
1464350836,2669,11677536
1464955633,2670,11678560
1465042040,2671,11679584
1465474034,2672,11680608
1466078843,2674,11682656
1466510835,2674,11683424
1466770034,2672,11682400
1466856433,2671,11681376
1467115632,2673,11680352
1467374840,2673,11672160
1467720434,2673,11671648
1467979632,2674,11672672
1468325233,2675,11673696
1468584435,2676,11674720
1469102833,2679,11677792
1469189253,2679,11677536
1469794300,2680,11678560
1469880435,2679,11677536
1470226036,2680,11678560
1470398835,2681,11679584
1470830837,2680,11679328
1470917236,2681,11679584
1471003642,2682,11680608
1471694834,2682,11680864
1472645239,2681,11680352
1472904439,2682,11688544
1473163653,2680,11687520
1473250034,2683,11690592
1473422845,2684,11692640
1473854835,2686,11693920
1474114037,2688,11695968
1474459641,2690,11696736
1474546040,2690,11697248
1475842040,2691,11697504
1476274047,2692,11698528
1476792441,2693,11699552
1476878841,2695,11699040
1477397238,2697,11701088
1477483639,2699,11701856
1477570039,2699,11702368
1477656438,2699,11702112
1478088440,2701,11702624
1478174838,2702,11703648
1478347636,2702,11703648
1478693237,2704,11705184
1478866040,2703,11704928
1478952441,2702,11700832
1479298036,2703,11701856
1479384444,2704,11702880
