DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,40,76288
1438136187,40,76288
1438136187,40,76288
1440631768,45,76800
1440631768,45,76800
1443512099,43,76288
1446103148,44,77312
1448836885,45,77568
1451465577,47,78080
1454025634,48,78336
1454452580,47,78080
1456617637,49,77312
1457913920,48,77056
1459215119,47,76800
1461880281,50,74752
1464584821,51,75008
1465357136,50,74752
1467243763,51,75008
1469759141,49,74496
1472424244,48,74240
1475106770,49,73472
1477611060,48,73216
