DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,372,1337600
1438136187,372,1337600
1438136187,372,1337600
1440631768,357,1304320
1440631768,357,1304320
1443512099,409,1345536
1446103148,369,1328640
1448836885,370,1326592
1451465577,379,1357312
1454025634,367,1312256
1454452580,362,1312256
1456617637,347,1318144
1461880281,349,1318656
1464584821,352,1311744
1465357136,351,1311488
1467243763,355,1321472
1469759141,269,1277440
1472424244,343,1318656
1475106770,311,1304832
1477611060,309,1307392
1479089381,310,1309184
