DateTime,AddedIPs,RemovedIPs
1453601312,0,12
1453615968,1,0
1453645228,26,35
1453659858,5,0
1453674492,0,1
1453689385,1,25
1453733293,28,22
1453748049,4,22
1453762572,4,0
1453791869,3,23
1453821138,29,18
1453850374,11,20
1453865058,0,1
1453879697,3,0
1453908970,5,18
1453923631,4,5
1453938256,3,4
1453952896,3,0
1453982174,33,37
1453996862,24,0
1454011451,12,21
1454026164,2,10
1454040735,0,16
1454055379,3,0
1454070024,29,2
1454084658,20,2
1454113941,8,0
1454143222,32,26
1454173221,28,45
1454187864,6,0
1454202501,3,9
1454217653,5,1
1454232263,30,11
1454261552,25,0
1454276187,17,29
1454305457,7,0
1454320092,31,8
1454334743,21,24
1454349388,20,11
1454364045,8,5
1454378658,0,4
1454407940,28,11
1454422830,23,21
1454437459,25,0
1454452090,0,9
1454466750,4,3
1454496020,26,14
1454510645,23,22
1454525314,11,18
1454539941,5,0
1454554572,5,3
1454569214,1,0
1454583913,28,0
1454598493,21,25
1454613156,6,0
1454627790,0,21
1454671690,24,26
1454700975,4,16
1454730270,1,16
1454744895,1,0
1454774175,22,48
1454788840,11,0
1454803463,20,19
1454818094,0,2
1454847380,30,7
1454876650,23,8
1454891288,3,10
1454905944,7,6
1454935248,21,45
1454949849,12,10
1454964509,5,14
1454979148,11,7
1454993789,0,24
1455037712,16,36
1455066975,3,8
1455096284,28,20
1455110907,14,28
1455125579,16,28
1455154810,8,12
1455169463,2,0
1455184095,25,21
1455198738,29,28
1455228033,4,29
1455257302,5,2
1455271951,24,24
1455286579,26,23
1455315851,13,9
1455330548,1,7
1455345135,0,1
1455359771,32,22
1455374411,20,20
1455389056,3,24
1455418332,5,1
1455432976,1,16
1455447632,1,8
1455462277,27,0
1455476895,16,27
1455506425,12,14
1455535693,22,36
1455550358,13,2
1455564970,10,29
1455579626,6,1
1455608917,4,9
1455623542,31,15
1455638172,16,0
1455652819,10,6
1455682328,16,5
1455697247,1,25
1455726489,27,32
1455741154,17,0
1455755784,8,1
1455770437,3,25
1455785050,2,26
1455799694,20,19
1455814338,10,8
1455843707,10,32
1455872913,13,15
1455902196,22,6
1455932230,9,29
1455961457,9,21
1455976103,25,28
1455990752,0,5
1456005397,0,9
1456020034,0,10
1456034668,0,24
1456063954,24,15
1456078597,12,10
1456093218,12,14
1456122488,6,29
1456137186,26,17
1456166419,29,28
1456195770,2,3
1456224978,26,29
1456239625,18,7
1456268929,9,3
1456283545,6,1
1456312819,30,22
1456342145,19,12
1456371393,6,5
1456386011,1,23
1456400680,27,0
1456415292,8,14
1456429933,16,0
1456444587,7,0
1456473854,0,24
1456503376,28,3
1456518039,4,0
1456532669,6,0
1456547318,1,15
1456576574,26,29
1456591208,16,14
1456605853,3,5
1456635138,1,2
1456649774,31,19
1456679059,21,22
1456693709,7,11
1456708335,3,21
1456737922,26,30
1456782049,23,28
1456796669,4,6
1456811288,2,17
1456825947,30,25
1456840583,18,0
1456855216,17,18
1456869866,8,10
1456899605,8,24
1456928907,24,45
1456943669,12,15
1456973068,10,1
1456987695,6,25
1457002332,29,29
1457031623,4,15
1457060906,0,31
1457090457,33,24
1457105073,18,10
1457119689,17,2
1457148973,9,12
1457178246,30,35
1457192914,23,9
1457207551,9,1
1457222195,15,0
1457236812,1,2
1457266095,24,26
1457280752,25,14
1457310027,13,0
1457339298,11,6
1457368597,23,10
1457398373,11,19
1457412967,1,29
1457442263,23,26
1457456946,17,0
1457486197,12,4
1457515458,6,25
1457530102,23,13
1457544746,6,5
1457559399,13,12
1457588657,22,23
1457603452,2,0
1457618180,21,0
1457647479,31,8
1457662122,1,21
1457691405,28,16
1457706023,27,16
1457721755,10,7
1457751133,22,2
