DateTime,AddedIPs,RemovedIPs
1476496216,79,30
1476499816,68,38
1476503416,95,50
1476507017,100,50
1476510617,102,37
1476514217,109,39
1476517818,145,27
1476521418,135,44
1476525018,118,121
1476528618,99,123
1476532218,92,116
1476535818,105,85
1476539418,121,90
1476543018,163,80
1476546619,163,122
1476550219,118,87
1476553819,110,76
1476557419,111,89
1476561020,110,48
1476564620,62,62
1476568220,77,142
1476571820,62,113
1476575420,74,126
1476579020,72,125
1476582620,53,129
1476586220,66,97
1476589820,69,70
1476593421,79,86
1476597020,94,37
1476600621,80,81
1476604221,64,70
1476607821,60,72
1476611421,76,103
1476615020,77,98
1476618621,62,93
1476622223,34,68
1476625823,62,134
1476629423,131,167
1476633023,105,134
1476636623,66,150
1476640224,66,190
1476643825,60,170
1476647426,62,131
1476651026,92,118
1476654626,97,99
1476658227,70,85
1476661826,74,68
1476665426,56,65
1476669027,63,77
1476672627,100,69
1476676227,92,89
1476679828,91,101
1476683428,113,107
1476687028,98,104
1476690628,142,140
1476694228,127,140
1476697828,97,126
1476701428,140,93
1476705028,190,93
1476708628,133,106
1476712228,99,119
1476715828,116,161
1476719428,98,168
1476723028,121,118
1476726627,207,109
1476730227,126,107
1476733827,110,119
1476737428,73,60
1476741027,82,78
1476744628,81,64
1476748228,73,68
1476751828,71,76
1476755428,61,54
1476759028,82,65
1476762629,79,72
1476766229,118,77
1476769828,112,96
1476773429,89,75
1476777029,79,67
1476780629,95,59
1476784229,129,74
1476787828,146,79
1476791428,103,64
1476795028,143,34
1476798628,130,56
1476802228,160,127
1476805828,128,113
1476809428,98,66
1476813028,137,62
1476816628,182,66
1476820228,124,61
1476823827,97,83
1476827427,111,98
1476831028,75,79
1476834628,84,70
1476838228,101,55
1476841828,78,68
1476845429,77,90
1476849029,97,98
1476852629,163,89
1476856229,69,112
1476859829,36,102
1476863430,49,128
1476867030,35,141
1476870630,130,91
1476874230,158,143
1476877830,98,180
1476881430,115,142
1476885030,110,98
1476888630,65,119
1476892230,94,105
1476895830,93,101
1476899431,118,211
1476903031,111,131
1476906631,104,114
1476910231,59,75
1476913831,78,85
1476917431,70,78
1476921031,77,76
1476924631,65,70
1476928232,64,62
1476931832,68,81
1476935432,55,76
1476939031,47,118
1476942632,65,103
1476946232,51,97
1476949832,45,81
1476953432,40,97
1476957032,92,114
1476960632,119,156
1478109008,124,4478
1478112608,266,0
1478116208,292,0
1478119807,280,0
1478123407,234,0
1478127007,218,0
1478130607,191,0
1478134207,225,0
1478137808,219,0
1478141407,206,0
1478145008,196,0
1478148608,81,0
1478152208,87,0
1478155808,91,0
1478159408,49,0
1478163008,40,0
1478166608,97,0
1478170208,154,0
1478173808,218,0
1478177408,48,0
1478181008,91,0
1478184608,220,0
1478188208,182,0
1478191808,173,0
1478195408,154,0
1478199008,163,0
1478202609,123,0
