DateTime,AddedIPs,RemovedIPs
1434744970,23335,24273
1434831360,8343,17826
1434917772,6377,11445
1435004171,11296,9652
1435090555,13177,7600
1435176940,11410,9603
1435263391,10873,10681
1435350338,10673,12126
1435437391,9795,13227
1435524338,8697,15953
1435611340,11959,7652
1435698063,12142,7502
1435785049,11156,9751
1435871809,13216,2068
1435958749,35446,12555
1436045798,39197,9513
1436132747,10484,10958
1436220054,13133,8317
1436306792,16348,33690
1436393186,15556,51037
1436479569,9471,9249
1436566801,5858,30366
1436653597,5727,13153
1436740590,12017,11521
1436827095,15043,11471
1436914002,15910,10185
1437000654,17513,14137
1437087094,16071,15319
1437173485,17051,50067
1437259898,40274,30643
1437346299,37286,34539
1437432676,35725,8409
1437519080,16158,6315
1437660682,41996,15778
1437747097,29780,11648
1437833813,12026,10423
1437920411,14255,9836
1438007234,13352,10648
1438094185,15479,8306
1438180865,14724,11334
1438267265,16030,12329
1438353672,43743,10703
1438440364,32035,10747
1438527100,10144,15583
1438613461,11581,51793
1438699898,30325,19551
1438786286,32955,10872
1438948609,20842,29738
1439037386,10679,15213
1439132824,9436,7026
1439219205,14219,4952
1439305624,13201,9456
1439392039,8656,12862
1439478984,7222,14687
1439565992,3368,16387
1439653902,0,15212
1439740289,0,14866
1439826727,0,27172
1439913107,57237,27503
1439999491,37976,48253
1440086765,48262,15482
1440173766,14625,12756
1440260752,13580,30002
1440347758,9355,30756
1440435395,13910,11276
1440522396,18124,13686
1440609406,19633,13863
1440696448,41413,15527
1440783367,25585,14944
1440870900,17916,17229
1440957967,13019,39196
1441045562,15625,32850
1441132569,17604,11559
1441220782,12562,14874
1441307769,15159,34042
1441394763,13827,38281
1441493153,13064,13215
1441580810,12825,15753
1441623665,12717,4127
1441843562,39260,29751
1441930578,15020,13949
1442017584,12743,9600
1442104592,12923,9661
1442191910,12090,12590
1442279191,16462,10759
1442366243,58768,8660
1442453219,20733,10914
1442540220,10954,11829
1442627535,11817,44923
1442714863,0,636032
1442801815,608920,0
1442888783,16857,12404
1442975756,10512,11589
1443063293,4849,15444
1443150385,7795,15794
1443237613,4117,18624
1443325016,3550,55204
1443412272,7532,23269
1443499255,13787,16677
1443586557,6907,13730
1443673553,3584,16036
1443760562,3775,18562
1443848443,7754,14261
1443935743,9176,14163
1444022739,11498,14109
1444109854,10369,12392
1444197342,11089,13993
1444284635,11815,16584
1444371934,16186,16674
1444458934,6699,15968
1444545938,4083,16431
1444633235,5243,12274
1444720543,38866,12885
1444807539,6597,14169
1444894546,5141,18087
1444982130,4921,67181
1445069173,11646,22442
1445156431,3849,12290
1445244632,7302,12190
1445331627,10977,11132
1445418928,46402,16036
1445505925,12875,17450
1445592930,13607,11758
1445679944,15226,5964
1445767229,9435,8676
1445854528,12318,3986
1445941528,15898,3498
1446028529,15017,11461
1446115526,19382,8809
1446202841,18036,18747
1446290413,15736,31911
1446377832,6977,3739
1446465216,7841,6578
1446552242,7607,9820
1446639509,3578,10992
1446726996,2446,13047
1446814291,18343,12714
1446901349,2667,12590
1446988180,3054,20809
1447075623,3210,7332
1447162627,4041,4758
1447293577,10097,31844
1447380465,5584,18013
1447467438,44871,7321
1447554463,3354,9483
1447641773,2704,12488
1447729114,14154,4104
1447859579,6060,8857
1447946753,3896,9363
1448033729,4375,43968
1448121392,3630,10367
1448208273,2067,10792
1448295499,0,9244
1448383080,11118,12133
1448486925,10555,11982
1448579463,5303,9461
1448666754,5668,15698
1448753860,2940,23614
1448841280,2386,25311
1448928583,12471,7750
1449015879,8741,6038
1449102879,15440,9643
1449189879,10490,5788
1449276881,19441,2932
1449364182,12185,11771
1449451490,12582,8899
1449538486,11852,2670
1449625492,31304,3614
1449719990,33550,4291
1449807594,31672,5614
1449894897,31662,8715
1449981896,13610,5803
1450068893,37542,46157
1450157095,36831,2397
1450244099,34244,2688
1450331104,28040,14244
1450418399,21000,3321
1450505702,9783,3342
1450592717,9509,4541
1450679702,10424,3909
1450766706,8743,2934
1450854003,7201,228
1450941604,9581,3846
1451028905,6979,13314
1451117708,7362,4463
1451204940,8688,6017
1451292311,9155,4439
1451379607,8904,2098
1451467208,7689,2471
1451554516,8844,9741
1451641516,7454,9465
1451728820,5906,12321
1451816408,6076,12377
1451903719,8946,16436
1451993409,11938,11879
1452080706,8345,11650
1452168006,9411,13091
1452255604,12577,33269
1452342917,12251,33803
1452429905,12757,31959
1452517206,11117,27815
1452604801,11694,22758
1452692417,9820,34916
1452779704,10489,46323
1452872696,10264,35635
1452965400,10206,39599
1453052693,7729,12414
1453139698,8590,9740
1453226992,6225,10608
1453313996,6887,9728
1453400993,7117,7611
1453487992,2956,8572
1453575229,721,6436
1453662291,0,9156
1453749596,0,7853
1453836822,0,8021
1453923886,0,9846
1454010895,10802,7484
1454098190,3770,9229
1454185214,3068,9204
1454272189,1706,5807
1454359187,2463,5301
1454393387,1458,2381
1454741684,13269,37921
1454828387,5355,12646
1454915380,2546,12740
1455002078,3062,11204
1455089077,4203,12424
1455176084,3746,11978
1455263080,3443,9527
1455350073,2976,11727
1455437075,3064,9415
1455524372,2390,10265
1455611372,4443,8822
1455698377,50870,7507
1455785377,37057,7205
1455872383,35315,7530
1455959405,20045,6878
1456046387,1402,4464
1456133382,3073,2821
1456220080,3975,152
1456307081,2404,164
1456394082,2043,123
1456481090,3188,100
1456568085,3302,6460
1456655082,2902,6634
1456742084,3004,2634
1456829083,4521,3412
1456916083,3352,163
1457003084,3364,4751
1457090386,4103,4773
1457177393,3173,2208
1457264387,3183,2892
1457351391,4399,4196
1457438384,4909,4768
1457525385,6304,2851
1457612388,18809,2442
1457699395,56993,4539
1457786100,29331,4121
1457873107,21964,3173
1457960099,26117,2193
1458047099,21907,3790
1458134101,30131,2249
1458221107,36967,16334
1458308099,14980,43045
1458438602,31041,51138
1458525602,19757,29409
1458612597,53492,1968
1458699372,201042,2063
1458785898,151021,4362
1458873036,80229,2524
1458960041,44603,1374
1459047066,12354,2905
1459134070,12967,3690
1459208980,103041,1903
1459295772,114969,3223
1459382873,144671,4001
1459470232,75100,3740
1459557303,93255,3587
1459644256,12870,2878
1459731293,8623,3813
1459818391,59034,2839
1459905566,39797,3938
1459992498,51248,4785
1460079559,35864,4940
1460210629,11947,30633
1460297368,6951,44672
1460384535,7613,23504
1460471526,30643,9324
1460558802,31710,24731
1460645805,42905,17876
1460732952,18142,25380
1460863543,23556,39375
1460950373,6074,14635
1461037315,4891,14133
1461124306,42920,16830
1461211315,13618,34974
1461298304,7638,184010
1461385294,10957,144561
1461472317,22346,107020
1461559295,17171,46764
1461646288,7466,12201
1461733285,10090,13790
1461820126,204585,102692
1461907061,198750,100254
1461993995,86139,143768
1462081175,6724,68752
1462168286,6760,103209
1462255282,8010,11598
