DateTime,AddedIPs,RemovedIPs
1435065423,1,0
1435238222,1,0
1437052622,109,0
1437139022,78,0
1437225422,22,0
1437311822,125,1
1437398222,104,0
1437484622,34,0
1437571023,67,1
1437657425,36,0
1437743823,1,0
1437830225,4,0
1437916623,2,0
1438003023,1,0
1438175822,2,1
1438262223,0,16
1438521425,1,0
1438780622,3,0
1438953423,1,5
1439299023,2,0
1439385427,1,0
1439558226,0,6
1439644623,0,16
1439731022,0,47
1439817423,0,26
1439903823,0,66
1439990222,0,160
1440076623,0,56
1440163023,0,82
1440249422,0,85
1440335822,0,2
1440595023,0,1
1440681422,0,1
1441027023,0,1
1441199823,0,2
1441286222,0,1
1441372622,0,3
1441459022,0,1
1441545422,0,1
1441631822,0,1
1441718225,0,2
1441804623,68,2
1441891024,53,1
1441977423,64,26
1442063827,38,0
1442150223,32,0
1442236623,23,0
1442323023,20,2
1442409422,44,1
1442495823,48,3
1442582223,52,1
1442668623,37,0
1442755023,8,0
1442841423,4,0
1442927823,6,0
1443014223,2,0
1443100623,8,0
1443187023,5,0
1443273423,3,1
1443359823,1,0
1443446223,4,0
1443532623,3,0
1443619024,3,0
1443705423,4,0
1443791823,2,0
1443878224,6,0
1443964623,1,0
1444051024,2,0
1444396624,0,12
1444483024,0,29
1444569423,0,43
1444655824,0,47
1444742223,0,41
1444828628,0,33
1444915026,0,17
1445001425,0,35
1445087824,0,45
1445174223,0,68
1445260624,0,55
1445347023,0,4
1445433423,32,3
1445519823,1,5
1445606224,0,4
1445692624,0,2
1445779024,0,5
1445865423,0,2
1445951823,0,2
1446038224,0,5
1446124624,0,7
1446211023,0,4
1446297424,0,8
1446387424,0,6
1446473823,0,7
1446560223,0,8
1446646624,0,37
1446905824,0,6
1446992224,18,2
1447078623,22,1
1447165023,29,0
1447251424,33,1
1447337824,43,0
1447424224,36,0
1447510624,31,0
1447597024,22,0
1447683423,26,0
1447769823,42,0
1447856224,38,0
1447942625,7,0
1448029026,24,4
1448115425,64,19
1448201824,48,0
1448288224,44,0
1448374624,41,0
1448461024,28,0
1448547423,18,0
1448633824,10,0
1448720224,9,0
1448806624,22,0
1448893025,31,0
1448979425,25,0
1449065824,41,0
1449152225,26,0
1449238624,32,0
1449325025,37,0
1449411425,26,0
1449497826,40,0
1449584225,29,2
1449670625,21,1
1449757025,22,15
1449843425,11,21
1449929825,14,33
1450016225,6,24
1450102625,16,22
1450189025,42,25
1450275424,16,19
1450361825,16,34
1450448225,24,38
1450534627,30,4
1450621025,20,12
1450707426,24,45
1450793825,29,31
1450880225,20,34
1450966625,20,42
1451053025,30,31
1451139425,6,15
1451225827,12,8
1451312225,7,9
1451398625,20,16
1451485025,34,19
1451571425,39,32
1451657822,26,43
1451744221,8,28
1451830621,1,29
1451917021,9,35
1452003422,5,35
1452089822,5,41
1452176222,3,31
1452262622,3,25
1452349021,3,27
1452435421,3,13
1452521822,1,17
1452608221,9,13
1452694622,0,14
1452781021,6,20
1452867422,3,22
1452953822,10,14
1453040222,2,42
1453126622,3,23
1453213021,0,24
1453299422,4,23
1453385822,7,43
1453472221,2,20
1453558622,9,43
1453645022,2,24
1453731421,1,2
1453817821,0,17
1453904222,3,15
1453990622,1,15
1454077022,3,42
1454163422,0,42
1454249821,3,49
1454336221,0,3
1454422622,0,4
1454509021,0,3
1454595422,0,4
1454681821,0,4
1454768222,0,5
1454854622,0,5
1454941022,0,6
1455027422,0,4
1455113821,0,4
1455200222,0,5
1455286622,0,6
1455373022,0,4
1455459422,0,4
1455545821,0,4
1455632221,0,2
1455718621,0,3
1455805021,0,6
1455891421,0,11
1455977822,0,9
1456064221,0,3
1456150621,0,3
1456237022,0,8
1456323421,0,9
1456496221,0,8
1456669022,0,9
1456841821,0,39
1457014622,0,26
1457187422,58,0
1457273822,17,0
1457360222,12,0
1457446621,17,1
1457533021,21,0
1457619421,15,0
1457705822,10,0
1457792222,14,0
1457875021,12,0
1457961422,12,0
1458047822,9,0
1458134221,2,0
1458220622,21,0
1458307022,15,1
1458393421,17,0
1458479822,9,0
1458566222,7,0
1458652622,8,0
1458739022,5,2
1458825422,7,0
1458911822,15,0
1458998222,14,0
1459084622,18,0
1459171022,12,0
1459257422,4,0
1459343823,3,0
1459430223,8,0
1459516622,23,0
1459603022,20,0
1459689422,24,0
1459775822,70,18
1459862222,7,14
1459948622,2,5
1460035022,2,20
1460121423,1,17
1460207823,2,11
1460294223,5,7
1460380623,2,19
1460467022,1,6
1460553422,3,14
1460639823,2,18
1460726223,1,4
1460812623,0,8
1460899023,1,16
1460985423,0,14
1461071823,1,10
1461158223,2,3
1461244622,2,8
1461331022,0,10
1461417423,3,9
1461503822,3,14
1461590222,0,12
1461676623,3,5
1461763022,2,16
1461849423,1,14
1461935824,1,4
1462022222,1,16
1462108623,1,11
1462195024,0,29
1462281423,1,21
1462367823,0,52
1462454223,1,3
1462627023,1,1
1462713423,0,1
1462799823,1,1
1462886223,4,0
1462972623,1,1
1463059023,2,2
1463145423,2,2
1463231823,0,1
1463318224,1,1
1463404623,0,1
1463491024,0,2
1463577423,1,0
1463663824,0,2
1463750223,0,1
1463836623,1,3
1463923023,0,1
1464009423,1,0
1464095823,0,1
1464182223,0,1
1464268624,1,0
1464355023,1,2
1464441423,1,3
1464527823,0,1
1464614224,0,1
1464700624,1,2
1464787023,0,1
1464873423,1,0
1464959824,0,2
1465046224,1,0
1465132624,1,2
1465219024,0,2
1465305424,1,2
1465391824,2,1
1465478224,1,1
1465564624,3,1
1465651024,2,1
1465737423,0,1
1465910224,1,1
1466083024,1,1
1466169423,1,0
1466255823,0,1
1466342223,1,0
