DateTime,AddedIPs,RemovedIPs
1438799423,131,118
1438947023,199,327
1439033423,144,171
1439119823,129,141
1439206222,162,168
1439292621,195,161
1439379023,119,120
1439465433,173,174
1439551836,175,145
1439638229,151,117
1439724636,157,167
1439811023,135,74
1439897425,162,140
1439983875,3585,143
1440070228,200,173
1440158429,215,178
1440244823,211,119
1440331223,162,161
1440417694,189,167
1440504022,1853,146
1440590454,3509,186
1440676830,3367,144
1440763228,3600,166
1440849629,2493,2685
1440936099,3299,189
1441022424,3175,189
1441108824,188,201
1441195253,2326,163
1441281639,4077,195
1441368024,2002,1301
1441454424,189,2590
1441540825,184,2629
1441627226,196,3178
1441713630,673,2406
1441800027,209,3330
1441886423,196,3714
1441972824,198,174
1442059224,169,3222
1442145624,185,5379
1442232029,211,2556
1442318424,200,183
1442404829,136,200
1442491230,159,194
1442577624,151,956
1442664024,187,212
1442750433,157,186
1442836825,178,203
1442923226,187,164
1443009624,254,153
1443096024,165,206
1443182425,176,193
1443268824,198,135
1443355224,195,156
1443441626,188,201
1443528027,146,188
1443614427,209,160
1443700826,150,189
1443787225,167,204
1443873624,276,216
1443960028,133,166
1444046424,150,173
1444132826,147,190
1444219227,188,176
1444305625,175,184
1444392024,191,156
1444478426,382,208
1444564825,198,169
1444651227,160,157
1444737626,234,274
1444824028,200,135
1444910425,209,166
1444996830,215,153
1445083240,189,152
1445169624,170,168
1445256031,151,190
1445342425,206,412
1445428823,450,207
1445536824,294,202
1445623226,129,225
1445709624,289,189
1445796035,166,192
1445882442,221,186
1445968836,212,166
1446057024,202,185
1446143424,189,168
1446229839,147,198
1446316225,167,475
1446402628,135,264
1446489023,165,127
1446575425,158,306
1446708627,292,320
1446795025,207,190
1446881430,174,214
1446967828,135,181
1447054224,170,165
1447140630,165,152
1447227024,180,134
1447313424,155,167
1447399827,176,161
1447486225,167,167
1447572624,169,209
1447659025,127,216
1447745424,144,169
1447831824,126,131
1447918224,168,193
1448004623,152,167
1448089782,23,224
1448175624,32,165
1448262023,52,188
1448348587,111,153
1448434822,80,188
1448521222,101,150
1448607622,105,195
1448694022,90,146
1448780422,121,162
1448866822,118,100
1448953226,176,43
1449039623,162,18
1449126024,139,53
1449212422,135,87
1449298831,112,91
1449385221,103,96
1449471623,121,117
1449558054,154,93
1449644423,113,98
1449730822,125,107
1449820822,120,175
1449907223,94,146
1449993623,118,130
1450080022,114,112
1450166428,127,110
1450252823,154,102
1450339223,155,117
1450425623,168,134
1450512024,95,110
1450598423,94,122
1450684823,109,106
1450771225,142,89
1450900826,195,173
1450987226,132,131
1451080833,204,157
1451174423,136,147
1451260839,138,142
1451347224,153,116
1451433624,161,94
1451520025,145,127
1451606425,147,111
1451692836,144,157
1451779226,128,87
1451865625,116,139
1451952040,162,174
1452038426,200,128
1452124825,233,134
1452211226,348,180
1452297630,136,172
1452384024,135,163
1452470440,85,125
1452556823,198,144
1452643223,204,123
1452729627,186,118
1452816023,163,164
1452902425,164,185
1452988824,152,235
1453075224,172,356
1453161625,180,128
1453248029,186,142
1453334428,201,77
1453420825,181,180
1453507227,241,202
1453593626,175,201
1453680025,144,164
1453766430,155,151
1453852827,185,137
1453939225,146,140
1454025625,139,177
1454112025,161,186
1454198427,153,214
1454284825,145,175
1454371231,211,163
1454457660,173,156
1454544029,205,146
1454630426,128,150
1454716829,165,191
1454803227,135,149
1454889626,122,141
1454976028,141,153
1455062426,150,153
1455148827,126,140
1455235226,133,180
1455321626,123,202
1455408026,119,220
1455494426,127,160
1455580844,140,146
1455667251,189,141
1455753645,174,112
1455840026,175,113
1455926426,141,142
1456012828,149,124
1456099226,114,135
1456185631,171,129
1456272026,178,131
1456358427,187,151
1456444837,166,124
1456531227,175,172
1456617627,153,173
1456704027,143,188
1456790427,181,146
1456876826,204,142
1456963227,264,133
1457049628,217,184
1457136028,247,167
1457222429,119,182
1457308826,181,172
1457395226,166,172
1457481627,179,158
1457568027,165,158
1457654442,145,232
1457740830,292,224
1457827227,177,245
1457913626,146,212
1458000031,129,225
1458086426,128,129
1458172828,155,170
1458259226,112,185
1458345626,137,187
1458432026,146,161
1458518428,128,149
1458604827,107,215
1458691228,169,171
1458777713,156,158
1458864050,147,155
1458950429,197,152
1459036829,118,109
1459123228,95,120
1459209626,117,134
1459296027,163,129
1459382426,136,109
1459468826,155,114
1459555228,162,169
1459641629,165,151
1459728028,168,149
1459814427,226,181
1459900829,162,132
1459987226,190,135
1460073626,143,119
1460160027,159,174
1460246427,143,147
1460332826,127,168
1460419226,145,153
1460505628,151,153
1460592027,146,140
1460678427,191,166
1460764828,110,171
1460851227,130,195
1460937627,131,144
1461024029,149,167
1461110427,128,151
1461196827,139,148
1461283230,164,166
1461369629,150,179
1461456030,118,165
1461542428,161,163
1461628831,164,114
1461715231,144,121
1461801687,145,114
1461888059,185,135
1461974428,202,139
1462060839,148,131
1462147232,131,174
1462233628,207,122
1462320028,181,130
1462406428,173,178
1462492828,211,160
1462579227,184,155
1462665628,106,147
1462752029,151,185
1462838436,203,152
1462924827,134,134
1463011226,144,123
1463097627,105,226
1463184028,112,187
1463270428,112,149
1463356828,117,204
1463443228,126,171
1463529643,163,138
1463616069,140,171
1463702429,142,239
1463788828,173,174
1463875229,119,142
1463961630,104,123
1464048028,139,127
1464134434,117,137
1464220832,132,120
1464307231,156,137
1464393628,150,161
1464480028,145,136
1464566436,100,131
1464652829,128,175
1464739231,150,118
1464825677,232,106
1464912127,234,132
1464998461,147,111
1465084830,147,107
1465171235,98,127
1465257650,97,142
1465344031,152,122
1465428629,131,107
1465515030,138,132
1465601430,133,145
1465687830,155,191
1465774232,158,227
1465860629,178,142
1465947045,166,151
1466033429,135,118
1466119829,208,126
1466206239,226,116
1466292634,218,117
1466379031,147,185
1466465433,140,159
1466551830,171,131
1466638230,157,127
1466724635,154,187
1466811046,165,121
1466897437,125,113
1466983831,161,167
1467070233,161,222
1467156633,149,234
1467243033,139,155
1467329433,187,152
1467415842,133,200
1467502230,122,145
1467588631,117,140
1467675031,135,172
1467761430,149,160
1467847830,149,158
1467934231,91,189
1468020658,152,166
1468107031,106,160
1468193431,294,163
1468279831,154,125
1468366231,177,100
1468452630,149,119
1468539030,167,145
1468625430,146,173
1468711831,122,171
1468798229,149,103
1468884629,164,150
1468971031,149,102
1469057431,144,238
1469143829,119,184
1469230229,131,185
1469316631,123,161
1469403030,218,150
1469489430,184,156
1469575829,147,161
1469662230,185,107
1469748630,130,147
1469835030,136,142
1469921430,116,125
1470007830,111,111
1470094231,109,151
1470180632,146,106
1470267036,115,182
1470353430,135,223
1470439831,140,169
1470526231,112,206
1470612630,94,149
1470699030,120,150
1470785434,179,134
1470871832,216,137
1470958233,145,113
1471044633,142,140
1471131060,100,118
1471217431,112,152
1471303830,101,131
1471390231,129,120
1471476635,130,89
1471563031,128,130
1471649430,154,145
1471735830,116,191
1471822230,92,148
1471908630,129,165
1471995031,145,112
1472081433,180,124
1472167831,138,112
1472254231,156,129
1472340631,134,144
1472427031,116,134
1472513430,123,150
1472599836,142,127
1472686233,190,99
1472772631,315,136
1472859031,133,139
1472945433,245,170
1473031831,269,125
1473118235,256,151
1473204631,224,135
1473291031,158,130
1473377431,139,121
1473463831,153,155
1473550231,147,194
1473591643,47,96
1473768029,117,437
1473854439,80,243
1473940830,131,221
1474027230,95,281
1474113651,147,215
1474200032,122,188
1474286436,90,192
1474372830,120,168
1474459232,170,127
1474545646,169,1
1474632034,152,104
1474718432,141,72
1474804831,143,107
1474891231,136,89
1474977631,142,144
1475064054,130,145
1475150434,152,104
1475236838,147,113
1475323233,111,160
1475409632,135,164
1475496033,102,148
1475582448,166,130
1475668836,169,108
1475755231,133,114
1475841633,173,129
1475928048,218,111
1476014432,300,158
1476100833,211,139
1476187232,157,129
1476273632,161,140
1476360049,181,99
1476446432,164,154
1476532832,154,172
1476619233,121,130
1476705632,122,179
1476792032,122,211
1476878433,167,286
1476964833,201,216
1477051241,182,166
1477137633,164,177
1477224032,139,179
1477310434,195,175
1477396848,176,176
1477483233,221,132
1477569635,257,132
1477656033,275,123
1477742433,148,152
1477828832,183,193
1477915232,182,193
1478001631,225,146
