DateTime,Entries,UniqueIPs
1433887503,0,0
1434146704,0,0
1434233106,0,0
1434233106,0,0
1434233106,0,0
1434233106,0,0
1434233106,0,0
1434233106,0,0
1434233106,0,0
1434578703,0,0
1434665103,0,0
1435356306,7,7
1435442706,12,12
1435529106,18,18
1435615506,21,21
1435701924,4155,4155
1435788325,4161,4161
1435874726,4165,4165
1435961123,4170,4170
1436047527,4174,4174
1436133927,4180,4180
1436306704,34,34
1436393102,31,31
1436479504,32,32
1436565903,36,36
1436652304,40,40
1436738703,36,36
1436825103,41,41
1436911504,46,46
1436997905,55,55
1437170704,51,51
1437257104,47,47
1437429906,50,50
1437516305,54,54
1437602703,52,52
1437689105,64,64
1437775506,66,66
1437861904,78,78
1437948304,85,85
1438034704,91,91
1438121103,93,93
1438207503,103,103
1438293918,112,112
1438380313,4396,4396
1438466713,4416,4416
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
1438553115,4431,4431
1444341903,4,4
1444428305,13,13
1444514703,26,26
1444601104,39,39
1444687504,63,63
1444773903,73,73
1444860303,79,79
1444946705,80,80
1445033104,79,79
1445119502,76,76
1445205904,78,78
1445292303,57,57
1445378703,60,60
1445465106,56,56
1445551503,57,57
1445637906,69,69
1445724304,72,72
1445814303,74,74
1445900703,76,76
1445987104,78,78
1446073506,96,96
1446159903,97,97
1446246304,95,95
1446332710,4701,4701
1446419114,4710,4710
1446505514,4719,4719
1446591912,4729,4729
1446678316,4741,4741
1446764712,4749,4749
1446851103,83,83
1446937504,88,88
1447023904,70,70
1447110305,68,68
1447196704,66,66
1447283103,58,58
1447369504,57,57
1447455903,54,54
1447542304,63,63
1447628703,69,69
1447715103,69,69
1447801504,73,73
1447887905,68,68
1447974304,70,70
1448060704,68,68
1448147104,68,68
1448233516,70,70
1448319903,69,69
1448406304,70,70
1448492705,75,75
1448579105,71,71
1448665504,75,75
1448751904,70,70
1448838304,61,61
1448924713,4949,4949
1449011112,4961,4961
1449097515,4964,4964
1449443103,17,17
1449615903,3,3
1450825503,6,6
1450911902,18,18
1450998304,31,31
1451084703,38,38
1451171104,47,47
1451257503,54,54
1451343904,63,63
1451430305,67,67
1451516704,65,65
1451603114,5036,5036
1451689517,5043,5043
1451775913,5049,5049
1451862314,5056,5056
1451948713,5062,5062
1452035115,5069,5069
1452121504,52,52
1452207904,59,59
1452294305,61,61
1452380704,66,66
1452467104,68,68
1452553505,65,65
1452639904,63,63
1452726303,69,69
1452812704,75,75
1452899103,70,70
1452985504,72,72
1453071908,65,65
1453158307,65,65
1453244705,69,69
1453331103,74,74
1453417504,68,68
1453503905,61,61
1453590305,58,58
1453676705,58,58
1453763104,59,59
1453849505,57,57
1453935905,50,50
1454108704,46,46
1454195104,54,54
1454281528,5238,5238
1455836401,40,40
1455922801,45,45
1456009201,50,50
1456095601,55,55
1456182001,69,69
1456268401,69,69
1456354801,64,64
1456441201,61,61
1456527601,72,72
1456614001,81,81
1456700401,85,85
1456786802,180,180
1456873201,199,199
1456959602,213,213
1457046001,219,219
1457132402,224,224
1457218801,228,228
1457305201,114,114
1457391602,130,130
1457478002,109,109
1457564402,80,80
1457650802,82,82
1457737201,75,75
1457823601,75,75
1457910001,69,69
1457996402,58,58
1458082802,61,61
1458169202,56,56
1458255601,52,52
1458342002,55,55
1458428401,58,58
1458514802,64,64
1458601202,65,65
1458687601,63,63
1458774002,63,63
1458860402,65,65
1458946802,66,66
1459033202,61,61
1459116002,60,60
1459202402,59,59
1459288802,57,57
1459375201,64,64
1459461602,387,387
1459548002,396,396
1459634402,405,405
1459720802,411,411
1459807202,416,416
1459893602,421,421
1459980002,64,64
1460066402,78,78
1460152801,76,76
1460239202,75,75
1460325602,81,81
1460412002,82,82
1460498401,85,85
1460584802,87,87
1460671202,84,84
1460757602,81,81
1460844002,83,83
1460930402,96,96
1461016802,117,117
1461103202,119,119
1461189602,117,117
1461276002,107,107
1461362402,104,104
1461448802,102,102
1461535202,102,102
1461621602,105,105
1461708002,107,107
1461794402,122,122
1461880802,144,144
1461967202,166,166
1462053602,738,738
1462140002,754,754
1462226403,768,768
1462312802,782,782
1462399202,789,789
1462485603,802,802
1462572002,107,107
1462658402,117,117
1462744803,105,105
1462831202,96,96
1462917602,82,82
1463004002,100,100
1463090402,111,111
1463176802,130,130
1463263202,143,143
1463349602,152,152
1463436002,161,161
1464386402,3,3
1464472802,19,19
1464559202,35,35
1464645602,52,52
1464732003,1014,1014
1464818403,1019,1019
1464904802,1027,1027
1464991202,1042,1042
1465077602,1059,1059
1465142924,1067,1067
1465164002,1069,1069
1465250402,1079,1079
1465336801,103,103
1465423202,142,142
1465509603,168,168
1465596003,165,165
1465682402,151,151
1465768802,142,142
1465855201,133,133
1465941603,120,120
1466028001,78,78
1466114414,47,47
1466200802,37,37
1466287202,45,45
1466373602,47,47
1466460002,61,61
1466546403,62,62
1466632802,63,63
1466719203,70,70
1466805602,71,71
1466892002,72,72
1466978402,71,71
1467064802,65,65
1467151201,64,64
1467237602,61,61
1467324002,1278,1278
1467410402,1315,1315
1467496802,1353,1353
1467583202,1359,1359
1467669603,1375,1375
1467756002,1395,1395
1467842403,1402,1402
1467928802,168,168
1468015202,144,144
1468101601,116,116
1468188002,125,125
1468274402,121,121
1468360802,142,142
1468447202,138,138
1468533602,154,154
1468620002,162,162
1468706402,158,158
1468792802,152,152
1468879202,145,145
1468965602,115,115
1469052002,124,124
1469138403,122,122
1469224802,138,138
1469311202,131,131
1469397602,158,158
1469484003,181,181
1469570402,223,223
1469656803,243,243
1469743202,255,255
1469829602,258,258
1469916002,312,312
1470002403,1941,1941
1470088803,1983,1983
1470175202,2002,2002
1470261602,2034,2034
1470348002,2054,2054
1470434404,2076,2076
1470520803,2082,2082
1470607202,216,216
1470693602,206,206
1470780002,236,236
1470866403,291,291
1470952802,321,321
1471039202,355,355
1471125603,396,396
1471212002,432,432
1471298402,454,454
1471384803,435,435
1471471202,375,375
1471557602,332,332
