DateTime,AddedIPs,RemovedIPs
1472223122,15,4
1472237522,6,11
1472251922,6,6
1472266322,8,10
1472280721,10,7
1472295122,6,8
1472309821,7,6
1472324222,7,9
1472338622,5,7
1472353022,8,12
1472367421,14,8
1472381822,10,13
1472396222,1,16
1472411222,9,14
1472425921,5,6
1472440322,9,8
1472454721,8,8
1472469121,9,13
1472483822,5,12
1472498222,8,11
1472512622,13,6
1472527022,12,9
1472541422,12,13
1472555822,9,10
1472570221,9,15
1472584622,4,6
1472599022,5,9
1472613722,7,9
1472628122,11,11
1472642822,4,13
1472657522,8,8
1472671921,9,4
1472686321,10,12
1472700722,12,6
1472715122,8,14
1472729522,10,9
1472743922,15,28
1472758322,7,17
1472772721,9,15
1472787122,11,21
1472801521,12,17
1472815922,11,19
1472830322,7,9
1472844722,8,12
1472859122,13,11
1472873526,5,11
1472887922,3,11
1472902322,13,14
1472916722,5,19
1472931122,9,12
1472945522,10,4
1472959921,8,9
1472974324,5,9
1472988722,7,8
1473003122,7,9
1473017522,5,7
1473031922,2,9
1473046322,5,6
1473060721,8,10
1473075122,4,9
1473089522,5,8
1473103922,8,10
1473118321,14,7
1473132722,8,7
1473147122,13,10
1473161522,11,2
1473175923,9,4
1473190322,10,9
1473204722,10,12
1473219122,11,10
1473233521,7,9
1473247921,4,8
1473262322,7,5
1473276722,14,8
1473291122,5,2
1473305522,11,13
1473319922,14,4
1473334321,19,8
1473348722,10,5
1473363122,16,3
1473377522,13,15
1473391922,8,3
1473406322,11,10
1473420722,12,14
1473435122,36,7
1473449522,10,11
1473463922,11,13
1473478325,5,16
1473492721,7,13
1473507122,7,8
1473521522,12,8
1473535922,8,13
1473550322,6,9
1473564722,9,16
1473579122,7,14
1473593522,5,10
1473607921,6,11
1473622323,8,10
1473636722,8,13
1473651121,7,5
1473665521,9,7
1473679922,8,9
1473694322,13,6
1473708722,7,9
1473723122,9,10
1473737522,9,4
1473751921,13,6
1473766322,9,2
1473780722,10,6
1473795122,10,9
1473809822,6,10
1473824222,7,10
1473838622,12,7
1473853022,10,9
1473867422,10,5
1473881822,12,10
1473896222,7,8
1473910622,8,5
1473925022,10,10
1473939422,10,15
1473953821,9,11
1473968222,5,7
1473982622,8,11
1473997022,9,12
1474011422,7,6
1474025822,10,8
1474040222,9,9
1474054622,7,11
1474069022,9,11
1474083422,9,6
1474097822,5,8
1474112221,7,14
1474126622,10,15
1474141022,10,16
1474155422,97,16
1474169821,35,16
1474184222,17,17
1474198621,12,13
1474213022,12,21
1474227422,11,21
1474241822,8,16
1474256222,5,25
1474270622,6,10
1474285022,6,10
1474299422,68,16
1474313822,39,17
1474328222,24,5
1474342623,22,15
1474357322,14,13
1474372021,12,14
1474393922,6,28
1474408323,21,20
1474422723,20,18
1474437122,16,17
1474451522,14,14
1474465922,13,14
1474480322,12,10
1474494722,7,16
1474509122,8,17
1474523823,8,7
1474538222,17,14
1474552622,9,8
1474567022,8,15
1474581422,14,19
1474595822,4,22
1474610222,12,22
1474624622,10,24
1474639022,5,13
1474653422,10,16
1474667823,7,7
1474682222,10,19
1474696622,10,23
1474711022,6,10
1474725422,12,5
1474739822,14,11
1474754222,12,15
1474768622,10,14
1474783022,9,13
1474797422,6,17
1474811822,5,8
1474826223,10,11
1474840622,5,10
1474855022,10,10
1474869422,12,9
1474883822,13,7
1474898222,11,10
1474912622,3,9
1474927022,6,7
1474941422,9,15
1474955822,9,9
1474970222,6,9
1474984622,9,12
1474999022,8,4
1475013422,10,14
1475027823,4,13
1475042222,5,9
1475056622,12,4
1475071022,4,6
1475085423,10,9
1475099822,8,11
1475114227,7,8
1475128625,9,16
1475143022,12,4
1475157422,9,15
1475171822,11,7
1475186222,12,5
1475200622,15,7
1475215022,13,8
1475229422,16,10
1475243822,10,6
1475258221,12,13
1475272622,15,10
1475287021,11,19
1475301422,15,4
1475315822,31,14
1475330221,21,13
1475344622,21,12
1475359022,22,7
1475373422,16,9
1475387821,13,7
1475402221,16,12
1475416621,11,12
1475431021,15,11
1475445421,12,11
1475459822,9,8
1475474222,8,10
1475488622,11,9
1475503021,11,9
1475517421,4,8
1475531822,13,7
1475546222,8,8
1475560622,17,8
1475575022,10,7
1475589723,9,10
1475604422,9,8
1475619121,6,0
1475633522,11,5
1475648222,10,8
1475662622,8,4
1475677322,11,5
1475691722,10,8
1475706422,9,12
1475721121,15,11
1475735522,14,8
1475749922,20,14
1475764322,17,7
1475778722,12,9
1475793122,15,8
1475807522,13,5
1475821922,5,8
1475836322,21,8
1475850722,13,8
1475865122,11,8
1475879522,15,9
1475893922,17,10
1475908322,15,10
1475922722,21,13
1475937122,17,8
1475951523,7,17
1475965921,13,16
1475980322,12,8
1475994724,16,11
1476009121,10,9
1476023522,9,28
1476037921,11,7
1476052322,12,12
1476066722,13,11
1476081121,13,5
1476095522,7,9
1476109922,13,12
1476124322,14,9
1476138721,10,5
1476153121,9,10
1476167522,12,10
1476181922,9,9
1476196321,18,5
1476210722,38,9
1476225122,27,9
1476239522,26,11
1476253922,26,13
1476268322,25,8
1476282722,20,6
1476297122,24,6
1476311521,19,10
1476325921,22,10
1476340322,21,12
1476354722,13,8
1476369121,30,9
1476383522,31,11
1476397922,13,6
1476412322,23,8
1476426722,19,16
1476441121,9,7
1476455522,9,8
1476469922,16,10
1476484321,21,12
1476498722,15,5
1476513122,15,8
1476527522,18,7
1476541922,16,9
1476556322,21,7
1476570722,14,10
1476585122,7,11
1476599522,13,9
1476613922,11,11
1476628322,14,9
1476642722,14,14
1476657121,4,7
1476671521,13,11
1476685922,10,10
1476700322,9,6
1476714721,11,12
1476729122,16,13
1476743522,7,27
1476757921,7,19
1476772321,7,25
1476786722,10,31
1476801122,8,18
1476815522,10,15
1476829921,11,12
1476844322,5,8
1476858722,9,8
1476873122,9,9
1476887522,8,21
1476901922,20,19
1476916322,12,38
1476930722,15,42
1476945122,9,25
1476959522,12,19
1476973922,10,8
1476988322,5,18
1477002721,8,14
1477017122,15,21
1477031522,12,21
1477045921,14,23
1477060322,27,10
1477074722,16,11
1477089122,10,6
1477103522,6,7
1477117922,16,8
1477132322,14,17
1477146722,8,8
1477161123,13,10
1477175522,7,9
1477189922,10,6
1477204322,15,13
1477218722,14,14
1477233123,7,9
1477247523,7,8
1477261922,7,5
1477276322,10,6
1477290722,10,13
1477305122,12,8
1477319521,12,10
1477333922,9,15
1477348322,0,13
1477362722,0,7
1477377122,0,10
1477391522,55,7
1477405922,23,6
1477420322,30,10
1477434722,28,4
1477449122,20,17
1477463522,11,8
1477477921,19,20
1477492322,25,5
1477506722,24,7
1477521122,22,4
1477535522,17,5
1477549922,19,10
1477564322,21,6
1477578722,15,10
1477593122,15,6
1477607523,18,5
1477621922,20,9
1477636322,17,7
1477650722,15,14
1477665122,18,5
1477679523,25,8
1477693922,19,10
1477708321,16,4
1477722721,14,10
1477737122,15,8
1477751521,16,10
1477765922,20,9
1477780322,20,10
1477794722,15,12
