DateTime,Entries,UniqueIPs
1472208723,5404,5404
1472223122,5408,5408
1472237523,5400,5400
1472251922,5388,5388
1472266322,5385,5385
1472280722,5383,5383
1472295123,5380,5380
1472309822,5379,5379
1472324222,5373,5373
1472338622,5372,5372
1472353023,5375,5375
1472367422,5382,5382
1472381822,5379,5379
1472396223,5374,5374
1472411222,5374,5374
1472425922,5373,5373
1472440322,5369,5369
1472454722,5369,5369
1472469122,5373,5373
1472483822,5353,5353
1472498223,5355,5355
1472512622,5360,5360
1472527023,5358,5358
1472541422,5361,5361
1472555822,5359,5359
1472570222,5352,5352
1472584623,5350,5350
1472599022,5345,5345
1472613723,5341,5341
1472628422,5345,5345
1472643122,5330,5330
1472657522,5328,5328
1472671922,5330,5330
1472686322,5332,5332
1472700722,5331,5331
1472715123,5329,5329
1472729522,5330,5330
1472743923,5339,5339
1472758322,5338,5338
1472772722,5341,5341
1472787122,5345,5345
1472801522,5345,5345
1472815922,5349,5349
1472830323,5353,5353
1472844722,5353,5353
1472859122,5357,5357
1472873526,5355,5355
1472887922,5351,5351
1472902322,5354,5354
1472916723,5354,5354
1472931122,5359,5359
1472945522,5362,5362
1472959922,5361,5361
1472974324,5360,5360
1472988723,5361,5361
1473003122,5362,5362
1473017522,5363,5363
1473031922,5362,5362
1473046322,5359,5359
1473060722,5358,5358
1473075122,5358,5358
1473089522,5357,5357
1473103922,5354,5354
1473118322,5352,5352
1473132722,5348,5348
1473147122,5353,5353
1473161522,5359,5359
1473175923,5357,5357
1473190322,5359,5359
1473204722,5361,5361
1473219123,5357,5357
1473233522,5358,5358
1473247922,5357,5357
1473262323,5355,5355
1473276722,5359,5359
1473291122,5357,5357
1473305522,5360,5360
1473319922,5364,5364
1473334322,5366,5366
1473348723,5368,5368
1473363122,5379,5379
1473377522,5370,5370
1473391922,5367,5367
1473406323,5367,5367
1473420722,5371,5371
1473435123,5393,5393
1473449523,5392,5392
1473463923,5392,5392
1473478325,5386,5386
1473492722,5386,5386
