DateTime,Entries,UniqueIPs
1459436712,120,120
1459451111,117,117
1459465511,112,112
1459479911,103,103
1459494312,91,91
1459508712,91,91
1459523111,91,91
1459537511,87,87
1459551912,82,82
1459566311,82,82
1459580710,84,84
1459595110,91,91
1459609511,101,101
1459623910,101,101
1459638315,103,103
1459652717,103,103
1459667110,95,95
1459681511,97,97
1459695910,99,99
1459710311,98,98
1459724711,109,109
1459739115,105,105
1459753511,96,96
1459767911,99,99
1459782310,107,107
1459796711,114,114
1459811111,125,125
1459825510,129,129
1459839912,127,127
1459854312,126,126
1459868713,120,120
1459883111,127,127
1459897511,135,135
1459911915,132,132
1459926311,126,126
1459940711,113,113
1459955110,113,113
1459969511,109,109
1459983910,112,112
1459998316,110,110
1460012712,114,114
1460027112,109,109
1460041516,111,111
1460055911,109,109
1460070311,115,115
1460084711,120,120
1460099111,117,117
1460113511,119,119
1460127911,124,124
1460142310,126,126
1460156710,126,126
1460171109,127,127
1460185512,124,124
1460199910,119,119
1460214311,116,116
1460228710,112,112
1460243110,116,116
1460257511,130,130
1460271912,123,123
1460286311,128,128
1460300711,136,136
1460315111,134,134
1460329510,135,135
1460343914,130,130
1460358311,130,130
1460372710,130,130
1460387110,124,124
1460401511,109,109
1460415910,108,108
1460430310,111,111
1460444711,120,120
1460459111,119,119
1460473511,110,110
1460487911,108,108
1460502310,110,110
1460516710,108,108
1460531111,117,117
1460545510,122,122
1460559908,125,125
1460574311,121,121
1460588711,114,114
1460603111,110,110
1460617510,126,126
1460631910,142,142
1460646313,148,148
1460660709,145,145
1460675111,143,143
1460689511,143,143
1460703911,151,151
1460718310,148,148
1460732711,143,143
1460747110,130,130
1460761510,119,119
1460775910,124,124
1460790311,128,128
1460804711,140,140
1460819111,139,139
1460833512,137,137
1460847911,127,127
1460862311,135,135
1460876710,138,138
1460891111,149,149
1460905511,151,151
1460919911,149,149
1460934310,146,146
1460948710,143,143
1460963110,155,155
1460977511,165,165
1460991909,178,178
1461006309,176,176
1461020710,173,173
1461035110,174,174
1461049510,173,173
1461063911,165,165
1461078311,168,168
1461092710,162,162
1461107113,160,160
1461121509,147,147
1461135911,142,142
1461161110,141,141
1461175514,131,131
1461189912,135,135
1461204310,135,135
1461218711,133,133
1461233115,136,136
1461247512,157,157
1461261911,187,187
1461276311,215,215
1461290710,240,240
1461305111,244,244
1461319512,260,260
1461333910,268,268
1461348310,279,279
1461362711,289,289
1461377115,296,296
1461391512,293,293
1461405912,247,247
1461420311,228,228
1461434711,204,204
1461449110,191,191
1461463511,184,184
1461477911,182,182
1461492314,178,178
1461506710,167,167
1461521111,160,160
1461535510,153,153
1461549910,154,154
1461564311,149,149
1461578711,137,137
1461593111,142,142
1461607511,132,132
1461621911,126,126
1461636311,124,124
1461650711,124,124
1461665111,117,117
1461679513,122,122
1461693911,119,119
1461708310,127,127
1461722710,127,127
1461737111,131,131
1461751512,135,135
1461765910,139,139
1461780310,137,137
1461794710,131,131
1461809111,131,131
1461823511,134,134
1461837912,134,134
1461852311,135,135
1461866709,132,132
1461881114,127,127
1461895513,133,133
1461909911,133,133
1461924312,133,133
1461938712,137,137
1461953111,145,145
1461967522,148,148
1461981943,148,148
1461996316,157,157
1462010715,164,164
1462025111,161,161
1462039518,163,163
1462053924,166,166
1462068323,169,169
1462082712,169,169
1462097111,165,165
1462111513,168,168
1462125912,163,163
1462140313,157,157
1462154719,152,152
1462169111,154,154
1462183511,151,151
1462197947,153,153
1462212312,153,153
1462226711,160,160
1462241116,153,153
1462255511,150,150
1462269912,154,154
1462284315,154,154
1462298711,149,149
1462313116,142,142
1462327515,140,140
1462341911,131,131
1462356312,139,139
1462370711,133,133
1462385115,128,128
1462399510,119,119
1462413911,115,115
1462428313,117,117
1462442712,112,112
1462457112,121,121
1462471511,122,122
1462485911,128,128
1462500313,130,130
1462514711,129,129
1462529111,125,125
1462543513,123,123
1462557911,115,115
1462572311,108,108
1462586713,111,111
1462601112,109,109
1462615512,105,105
1462629912,101,101
1462644310,103,103
1462658710,106,106
1462673111,127,127
1462687511,153,153
1462701911,159,159
1462716312,173,173
1462730712,167,167
1462745112,166,166
1462759511,175,175
1462773912,176,176
1462788311,175,175
1462802710,167,167
1462817138,152,152
1462831529,135,135
1462845924,129,129
1462860322,130,130
1462874728,131,131
1462889145,139,139
1462903521,146,146
1462917910,135,135
1462932310,130,130
1462946711,131,131
1462961111,129,129
1462975511,128,128
1462989911,130,130
1463004311,127,127
1463018711,136,136
1463033111,135,135
1463047512,141,141
1463061914,148,148
1463076315,166,166
1463090711,174,174
1463105110,189,189
1463119509,199,199
1463133911,209,209
1463148310,215,215
1463162710,206,206
1463177110,209,209
1463191510,206,206
1463205910,197,197
1463220310,201,201
1463234710,194,194
1463249110,181,181
1463263511,167,167
1463277910,161,161
1463292311,152,152
1463306711,157,157
1463321110,155,155
1463335511,142,142
1463349911,138,138
1463364310,134,134
1463378710,150,150
1463393110,160,160
1463407510,164,164
1463421910,167,167
1463436309,162,162
1463450711,173,173
1463465110,170,170
1463479510,179,179
1463493913,182,182
1463508310,180,180
1463522713,160,160
1463537109,154,154
1463551510,162,162
1463565910,163,163
1463580321,168,168
1463594713,148,148
1463609114,147,147
1463623513,154,154
1463637910,171,171
1463652310,174,174
1463666724,180,180
1463681110,179,179
1463695510,173,173
1463709912,180,180
1463724312,193,193
1463738710,202,202
1463753111,218,218
1463767510,213,213
1463781911,217,217
1463796311,216,216
1463810710,226,226
1463825112,220,220
1463839511,221,221
1463853911,217,217
1463868311,209,209
1463882712,197,197
1463897110,184,184
1463911511,172,172
1463925913,154,154
1463940311,152,152
1463954710,136,136
1463969110,137,137
1463983510,135,135
1463997911,134,134
1464012310,133,133
1464026710,137,137
1464041111,137,137
1464055510,136,136
1464069910,136,136
1464084310,132,132
1464098710,130,130
1464113110,129,129
1464127510,131,131
1464141910,127,127
1464156311,138,138
1464170711,132,132
1464185110,131,131
1464199511,130,130
1464213910,120,120
1464228311,121,121
1464242710,122,122
1464257111,123,123
1464271517,128,128
1464285929,128,128
