DateTime,Entries,UniqueIPs
1472148002,2177,2177
1472162402,2137,2137
1472176802,2103,2103
1472191201,2073,2073
1472205602,2029,2029
1472220001,2033,2033
1472234402,2028,2028
1472248802,2065,2065
1472263201,2088,2088
1472277602,2118,2118
1472292002,2107,2107
1472306401,2128,2128
1472320801,2137,2137
1472335202,2119,2119
1472349602,2121,2121
1472364002,2123,2123
1472378401,2086,2086
1472392802,2098,2098
1472407201,2075,2075
1472421602,2027,2027
1472436001,1962,1962
1472450403,1946,1946
1472464802,1899,1899
1472479202,1905,1905
1472493602,1918,1918
1472508001,1924,1924
1472522402,1962,1962
1472536802,1993,1993
1472551202,2011,2011
1472565602,2067,2067
1472580002,2098,2098
1472594401,2152,2152
1472608802,2179,2179
1472623202,2195,2195
1472637602,2175,2175
1472652002,2164,2164
1472666402,2193,2193
1472680802,2146,2146
1472695202,2135,2135
1472709602,2107,2107
1472724002,2076,2076
1472738401,2058,2058
1472752802,2056,2056
1472767202,2007,2007
1472781602,2013,2013
1472796002,2031,2031
1472810402,2044,2044
1472824802,2074,2074
1472839202,2089,2089
1472853601,2095,2095
1472868002,2068,2068
1472882402,2058,2058
1472896802,2016,2016
1472911202,2012,2012
1472925601,1946,1946
1472940002,1924,1924
1472954402,1847,1847
1472968801,1808,1808
1472983201,1769,1769
1472997602,1735,1735
1473012002,1703,1703
1473026402,1676,1676
1473040801,1663,1663
1473055203,1656,1656
1473076803,1518,1518
1473091202,1539,1539
1473105602,1528,1528
1473120002,1509,1509
1473134402,1486,1486
1473148801,1492,1492
1473163201,1479,1479
1473177601,1505,1505
1473199202,1412,1412
1473213601,1390,1390
1473228001,1456,1456
1473242402,1433,1433
1473256802,1444,1444
1473271202,1456,1456
1473285602,1428,1428
1473300002,1384,1384
1473314402,1346,1346
1473328802,1302,1302
1473343201,1325,1325
1473357602,1340,1340
1473372001,1316,1316
1473386401,1313,1313
1473400802,1323,1323
1473415201,1307,1307
1473429601,1301,1301
1473444002,1331,1331
1473458402,1338,1338
1473472801,1346,1346
1473487202,1367,1367
1473501602,1373,1373
1473516002,1375,1375
1473530401,1389,1389
1473544802,1385,1385
1473559202,1363,1363
1473573602,1347,1347
1473588001,1348,1348
1473602402,1346,1346
1473616802,1331,1331
1473631201,1320,1320
1473645601,1306,1306
1473660003,1282,1282
1473674401,1267,1267
1473688802,1258,1258
1473703202,1276,1276
1473717601,1271,1271
1473732002,1277,1277
1473746401,1262,1262
1473760802,1245,1245
1473775202,1231,1231
1473789602,1233,1233
1473804002,1222,1222
1473818402,1245,1245
1473832802,1274,1274
1473847202,1345,1345
1473861601,1398,1398
1473876002,1448,1448
1473890402,1491,1491
1473904802,1613,1613
1473919202,1678,1678
1473948001,1663,1663
1473962402,1691,1691
1473998402,1381,1381
1474012802,1420,1420
1474027202,1496,1496
1474041602,1550,1550
