DateTime,Entries,UniqueIPs
1472148002,140,140
1472162402,138,138
1472176802,136,136
1472191201,138,138
1472205602,127,127
1472220001,142,142
1472234402,144,144
1472248802,140,140
1472263201,154,154
1472277602,153,153
1472292002,150,150
1472306401,146,146
1472320802,146,146
1472335202,150,150
1472349602,152,152
1472364002,152,152
1472378401,132,132
1472392802,120,120
1472407201,112,112
1472421602,88,88
1472436001,74,74
1472450403,69,69
1472464802,68,68
1472479202,73,73
1472493602,83,83
1472508001,85,85
1472522402,113,113
1472536802,138,138
1472551202,144,144
1472565602,163,163
1472580002,173,173
1472594401,196,196
1472608802,215,215
1472623202,219,219
1472637602,209,209
1472652002,216,216
1472666402,206,206
1472680802,202,202
1472695202,191,191
1472709602,206,206
1472724002,187,187
1472738401,185,185
1472752802,182,182
1472767202,185,185
1472781602,198,198
1472796002,197,197
1472810402,194,194
1472824802,222,222
1472839202,240,240
1472853601,230,230
1472868002,220,220
1472882402,221,221
1472896802,213,213
1472911202,194,194
1472925601,182,182
1472940002,173,173
1472954402,173,173
1472968801,173,173
1472983201,142,142
1472997602,109,109
1473012002,103,103
1473026402,101,101
1473040801,93,93
1473055203,97,97
1473076803,93,93
1473091202,122,122
1473105602,129,129
1473120002,134,134
1473134402,146,146
1473148801,151,151
1473163201,167,167
1473177601,190,190
1473199202,203,203
1473213601,212,212
1473228001,222,222
1473242402,205,205
1473256802,206,206
1473271202,211,211
1473285602,206,206
1473300002,207,207
1473314402,203,203
1473328802,182,182
1473343201,188,188
1473357602,182,182
1473372001,172,172
1473386401,175,175
1473400802,172,172
1473415201,159,159
1473429601,151,151
1473444002,147,147
1473458402,139,139
1473472801,139,139
1473487202,144,144
1473501602,131,131
1473516002,132,132
1473530401,137,137
1473544802,124,124
1473559202,125,125
1473573602,120,120
1473588001,127,127
1473602402,112,112
1473616802,119,119
1473631201,120,120
1473645601,127,127
1473660003,152,152
1473674401,160,160
1473688802,174,174
1473703202,183,183
1473717601,186,186
1473732002,190,190
1473746401,205,205
1473760802,218,218
1473775202,231,231
1473789602,228,228
1473804002,205,205
1473818402,184,184
1473832802,187,187
1473847202,178,178
1473861601,196,196
1473876002,193,193
1473890402,187,187
1473904802,178,178
1473919202,180,180
1473948001,173,173
1473962402,180,180
1473998402,154,154
1474012802,141,141
1474027202,151,151
1474041602,158,158
1474056002,161,161
1474070402,164,164
1474084802,157,157
1474099202,159,159
1474113602,138,138
1474128002,138,138
1474142402,143,143
1474156801,142,142
1474171202,126,126
1474185602,110,110
1474200002,93,93
1474214401,78,78
1474228802,65,65
1474243202,60,60
1474257602,69,69
1474272002,73,73
1474286402,84,84
1474300801,93,93
1474315202,110,110
1474329602,126,126
1474344002,134,134
1474358403,139,139
1474372802,143,143
1474387202,154,154
1474401601,155,155
1474416002,160,160
1474430402,168,168
1474444802,165,165
1474459202,160,160
1474473602,160,160
1474488001,150,150
1474502402,148,148
1474516802,149,149
1474531202,139,139
1474545601,142,142
1474560002,149,149
1474574402,146,146
1474588802,152,152
1474603202,166,166
1474617602,153,153
1474632002,154,154
1474646403,160,160
1474660802,157,157
1474675202,152,152
1474689602,157,157
1474704002,147,147
1474718401,133,133
1474732802,122,122
1474747202,101,101
1474761602,95,95
1474776002,75,75
1474790402,62,62
1474804802,64,64
1474819201,68,68
1474833602,117,117
1474848002,115,115
1474862402,115,115
1474876802,123,123
1474891202,134,134
1474905602,142,142
1474920002,172,172
1474934401,209,209
1474948802,238,238
1474963202,282,282
1474977602,276,276
1474992002,254,254
1475006401,273,273
1475020802,284,284
1475035202,272,272
1475049602,271,271
1475064002,276,276
1475078402,257,257
1475092802,226,226
1475107202,192,192
1475121602,182,182
1475136002,172,172
1475150402,156,156
1475164802,156,156
1475179202,148,148
1475193601,150,150
1475208003,160,160
1475222402,171,171
1475236802,161,161
1475251201,165,165
1475265602,174,174
1475280002,167,167
1475294402,183,183
1475308802,179,179
1475323202,172,172
1475337602,176,176
1475352002,165,165
1475366402,145,145
1475380802,123,123
1475395202,121,121
1475409602,110,110
1475424002,95,95
1475438402,92,92
1475452802,72,72
1475467202,73,73
1475481602,68,68
1475496002,86,86
1475510403,99,99
1475524803,113,113
1475539202,154,154
1475553602,175,175
1475568002,186,186
1475582402,210,210
1475596802,232,232
1475611202,253,253
1475625602,260,260
1475640002,266,266
1475654402,251,251
1475668802,250,250
1475683202,253,253
1475697602,215,215
1475712002,195,195
1475726402,189,189
1475740803,161,161
1475755203,138,138
1475769602,131,131
1475784002,128,128
1475798402,134,134
1475812802,159,159
1475827202,156,156
1475841604,152,152
1475856001,151,151
1475870402,151,151
1475884802,148,148
1475899202,150,150
1475913603,153,153
1475928002,141,141
1475942402,137,137
