DateTime,AddedIPs,RemovedIPs
1464357915,70,45
1464372310,47,41
1464386714,54,48
1464401112,55,63
1464415512,78,50
1464429910,70,48
1464444311,71,52
1464458714,76,44
1464473110,73,31
1464487512,67,51
1464501912,84,54
1464516311,66,70
1464530805,70,47
1464545207,72,49
1464559510,88,48
1464573915,71,85
1464588311,65,72
1464602712,95,77
1464617110,84,73
1464631517,68,73
1464645910,62,74
1464660311,69,82
1464674710,89,64
1464689111,93,73
1464703511,121,79
1464717914,109,83
1464732310,118,71
1464746710,98,58
1464761113,92,90
1464775512,105,80
1464789912,95,67
1464804312,90,62
1464818711,92,72
1464833110,88,89
1464847512,88,97
1464861911,78,124
1464876316,100,103
1464890714,92,116
1464905113,93,94
1464919510,102,85
1464933911,43,120
1464948311,141,97
1464962713,89,93
1464977109,96,92
1464991514,80,81
1465005910,76,84
1465020313,41,82
1465034710,113,93
1465049110,87,90
1465063510,80,89
1465077910,92,99
1465092310,54,80
1465106711,93,82
1465121112,86,76
1465135511,98,90
1465149910,69,75
1465164311,54,75
1465178711,66,75
1465193112,33,262
1465207512,64,110
1465221912,118,99
1465236311,85,81
1465250711,77,48
1465265111,93,83
1465279511,78,71
1465293911,63,92
1465308310,70,63
1465322714,67,55
1465337115,79,55
1465351511,63,33
1465365911,77,49
1465380314,12,101
1465394711,104,73
1465409116,77,56
1465423513,67,55
1465437911,59,76
1465452311,55,59
1465466712,82,67
1465481115,63,72
1465495525,58,76
1465509911,65,58
1465524312,74,76
1465538711,70,56
1465553111,76,57
1465567511,59,78
1465581911,83,68
1465596310,67,61
1465610711,65,48
1465625111,68,84
1465639511,62,66
1465653914,105,58
1465668316,96,68
1465682710,100,66
1465697111,113,76
1465711511,93,76
1465725910,77,55
1465740311,77,88
1465754714,59,63
1465769114,60,65
1465783511,65,66
1465797912,79,63
1465812311,73,99
1465826716,86,94
1465841114,67,96
1465855515,74,110
1465869915,70,96
1465884311,55,83
1465898711,60,79
1465913111,54,59
1465927508,6,856
1465941908,112,0
1465956309,105,0
1465970712,112,0
1465985112,75,0
1465999511,91,0
1466013917,75,0
1466028308,112,0
1466042711,79,0
1466057111,119,0
1466071512,84,0
1466085911,71,5
1466100311,63,68
1466114712,80,75
1466129109,87,93
1466143512,92,72
1466157911,78,83
1466172312,93,72
1466186711,80,109
1466197516,70,58
1466211911,78,96
1466226311,100,96
1466240713,85,74
1466255110,66,75
1466269510,75,78
1466283917,75,68
1466298313,90,93
1466312710,62,81
1466327122,82,105
1466341511,93,80
1466355909,95,85
1466370309,79,85
1466384709,84,100
1466399108,67,84
1466413512,69,64
1466427910,66,70
1466442309,76,80
1466456711,76,86
1466471108,71,65
1466485509,83,86
1466499911,92,91
1466514311,111,97
1466528709,77,75
1466543110,102,83
1466557509,101,70
1466571910,68,68
1466586312,117,67
1466600711,73,73
1466615111,86,72
1466629520,88,74
1466643907,77,81
1466658308,94,86
1466672705,81,104
1466687107,88,70
1466701506,92,105
1466715907,62,103
1466730307,84,69
1466744705,92,116
1466759105,98,73
1466773508,81,92
1466787905,94,84
1466802305,89,79
1466816705,72,97
1466831105,62,86
1466845506,98,86
1466859906,91,93
1466874306,99,65
1466888706,91,79
1466903106,90,89
1466917505,67,246
1466931906,245,74
1466946305,75,96
1466960705,80,89
1466975105,102,78
1466989506,112,56
1467003906,79,105
1467018309,88,92
1467032711,83,97
1467047105,75,82
1467061505,87,83
1467075907,100,87
1467090306,100,97
1467104710,97,82
1467119108,87,81
1467133505,76,103
1467147906,88,114
1467162305,63,78
1467176705,81,92
1467191106,94,79
1467205506,91,77
1467219905,78,86
1467234306,86,95
1467248705,75,98
1467263105,89,96
1467277505,90,92
1467291906,98,76
1467306308,75,94
1467320705,101,60
1467335105,85,79
1467349505,68,92
1467363906,80,88
1467378307,77,84
1467392705,78,77
1467407110,109,73
1467421505,74,89
1467435905,87,235
1467450306,223,90
1467464706,91,80
1467479106,69,250
1467493505,236,76
1467507906,83,68
1467522305,79,83
1467536706,77,75
1467551106,90,79
1467565506,85,103
1467579906,93,70
1467594306,90,107
1467608706,81,70
1467623107,79,94
1467637506,88,92
1467651905,95,83
1467666306,77,83
1467680711,86,73
1467695105,94,77
1467709506,75,90
1467723906,65,81
1467738307,70,90
1467752705,72,89
1467767105,75,83
1467781506,72,77
1467795905,83,88
1467810306,73,87
1467824706,80,84
1467839105,70,89
1467853505,95,95
1467867905,93,80
1467882305,96,55
1467896706,88,67
1467911107,79,79
1467925505,75,78
1467939905,81,69
1467954305,66,88
1467968705,89,79
1467983107,84,81
1467997506,63,72
1468011905,77,93
1468026306,81,92
1468040706,85,96
1468055106,74,89
1468069506,78,76
1468083907,77,70
1468098306,104,77
1468112705,73,67
1468127106,68,89
1468141506,74,81
1468155906,78,63
1468170311,72,80
1468184705,73,78
1468199105,67,86
1468213505,74,78
1468227906,75,78
1468242306,57,76
1468256706,75,102
1468271106,86,71
1468285508,59,64
1468299905,58,76
1468314311,84,81
1468328710,70,73
1468343106,78,67
1468357511,48,75
1468371906,91,65
1468386305,93,88
1468400707,70,51
1468415106,91,77
1468429505,93,86
1468443905,97,62
1468458305,76,65
1468472705,76,77
1468487106,95,77
1468501534,89,75
1468515906,80,48
1468530306,110,85
1468544705,87,93
1468559106,82,71
1468573505,91,99
1468587906,103,90
1468602305,97,100
1468616705,98,69
1468631105,91,76
1468645505,116,93
1468659906,101,92
1468674305,107,83
1468688707,100,108
1468703105,92,86
1468717505,98,80
1468731906,93,92
1468746305,95,106
1468760707,83,92
1468775105,94,93
1468789516,128,99
1468803906,103,111
1468818305,97,100
1468832705,96,113
1468847105,104,105
1468861506,101,90
1468875905,102,96
1468890306,96,97
1468904706,107,98
1468919106,92,73
1468933506,81,94
1468947906,82,122
1468962305,90,101
1468976705,95,100
1468991105,79,90
1469005505,78,101
1469019905,74,98
1469034306,93,159
1469048705,91,109
1469063105,166,105
1469077505,115,93
1469091905,100,83
1469106305,94,78
1469120707,115,95
1469135105,97,96
1469149506,96,75
1469163907,80,82
1469178305,83,68
1469192706,94,101
1469207105,106,85
1469221505,96,103
1469235906,63,230
1469250305,77,99
1469264706,99,91
1469279106,86,147
1469293507,209,98
1469307906,81,98
1469322305,90,75
1469336706,107,92
1469351105,57,258
1469365507,248,104
1469379907,88,111
1469394305,110,87
1469408705,89,69
1469423105,82,89
1469437506,97,84
1469451906,87,74
1469466306,89,73
1469480710,91,78
1469495106,95,95
1469509524,71,78
1469523906,94,110
1469538310,78,86
1469552705,92,104
1469567105,65,86
1469581505,107,77
1469595905,79,91
1469610305,86,86
1469624706,103,80
1469639105,104,84
1469653506,74,98
1469667905,39,115
1469682305,187,99
1469696706,92,82
1469711106,98,88
1469725507,80,62
1469739905,103,104
1469754305,103,82
1469768705,72,202
1469783107,228,93
1469797506,121,101
1469811908,50,214
1469826305,124,90
1469840705,37,131
1469862310,366,130
1469876705,73,88
1469891105,90,89
1469905506,85,86
1469919906,88,95
1469934311,74,80
1469948705,80,119
1469963105,74,109
1469977506,91,97
1469991905,64,82
1470006305,92,82
1470020705,37,244
1470035105,87,69
1470049506,125,79
1470063906,105,89
1470078306,116,80
1470092706,111,71
1470107105,146,78
1470121506,124,69
1470135906,125,87
1470150307,120,57
1470164711,117,84
1470171906,80,12
1470215105,344,251
1470229506,105,109
1470243907,118,97
1470258309,158,120
1470272706,118,139
1470287105,103,250
1470301507,210,116
1470315905,129,114
1470330306,143,130
1470344711,150,119
1470359106,122,115
1470373509,123,121
1470387906,115,107
1470402306,177,113
1470416708,61,215
1470431105,217,168
1470445505,188,122
1470459905,145,109
1470474306,147,141
1470488706,166,138
1470503106,65,269
1470517506,172,146
1470531906,329,123
1470546305,175,113
1470560706,99,133
1470575110,157,113
1470589506,165,129
1470603907,144,113
1470618306,128,148
1470632706,97,151
1470647106,158,162
1470661512,195,130
1470675907,164,154
1470690308,162,137
1470704705,42,175
1470719107,0,101
1470733509,0,157
1470747906,0,165
1470762308,0,146
1470776706,0,135
1470791105,0,133
1470812705,0,265
1470827106,0,187
1470841506,0,190
1478649906,295,162
1478664305,301,0
1478693108,551,0
1478707509,285,0
1478721909,291,0
1478736308,228,0
1478750707,346,0
1478765109,261,0
1478779513,239,0
1478793918,228,18
1478808309,205,260
1478822714,161,260
1478837107,166,259
1478851507,79,259
1478865911,443,233
1478880308,205,264
1478894709,234,235
1478909112,46,267
1478923508,332,528
1478937910,280,225
1478952314,719,258
1478966709,289,235
1478981108,321,256
1478995509,333,225
1479009908,258,215
1479024308,107,499
1479038711,272,233
1479053109,276,271
1479067508,290,212
1479081907,256,269
1479096309,375,282
1479110708,313,282
1479125109,279,282
1479139512,317,264
1479153907,322,271
1479168308,307,252
1479182708,316,43
1479211507,423,539
1479225960,582,259
1479240321,337,295
1479254706,84,316
1479269111,506,461
1479283513,233,290
1479297907,673,298
1479312323,275,302
1479326721,322,303
1479341106,281,317
1479355513,164,552
1479369908,20,434
1479384317,960,307
1479398715,274,344
