DateTime,AddedIPs,RemovedIPs
1437330044,46,46
1437420431,42,42
1437506831,35,35
1437593236,37,37
1437681262,47,47
1437767662,42,42
1437854062,45,45
1437944415,42,42
1438034430,43,43
1438120850,40,40
1438211363,42,42
1438301359,40,40
1438390823,40,40
1438477223,44,44
1438566858,42,42
1438653264,47,47
1438743265,44,44
1438948584,39,39
1439038834,40,40
1439132877,33,33
1439220435,30,30
1439308837,37,37
1439399363,41,41
1439489917,44,44
1439580488,45,45
1439667924,39,39
1439757394,41,41
1439843795,41,41
1440419781,43,43
1440510316,43,43
1440600851,45,45
1440688160,46,46
1440775171,42,42
1440865090,41,41
1440955097,39,39
1441045120,40,40
1441134553,37,37
1441225102,39,39
1441311502,45,45
1441399049,45,45
1441486456,47,47
1441576023,47,47
1441664835,36,36
1441754840,41,41
1441844834,39,39
1441931236,43,43
1442019257,49,49
1442106033,45,45
1442196562,45,45
1442287094,43,43
1442374031,44,44
1442460437,39,39
1442547385,49,49
1442633885,46,46
1442720737,44,44
1442809647,44,44
1442896050,43,43
1442986591,42,42
1443077126,39,39
1443163555,41,41
1443250005,43,43
1443340478,45,45
1443430839,42,42
1443520869,42,42
1443611372,44,44
1443697771,39,39
1443788324,44,44
1443878850,40,40
1443966369,39,39
1444056868,40,40
1444143461,36,36
1444233631,45,45
1444320031,45,45
1444410561,38,38
1444500583,39,39
1444591116,42,42
1444679146,47,47
1444766063,42,42
1444852467,46,46
1444941926,45,45
1445031924,43,43
1445121925,40,40
1445208338,40,40
1445296705,42,42
1445387249,41,41
1445477258,44,44
1445566942,34,34
1445657251,36,36
1445746163,30,30
1445833666,30,30
1445924189,37,37
1446012579,40,40
1446103102,40,40
1446192576,42,42
1446279001,40,40
1446367017,40,40
1446456977,37,37
1446547524,43,43
1446636446,39,39
1446723380,45,45
1446811780,45,45
1447455250,40,40
1447517471,43,43
1447607382,44,44
1447697903,45,45
1447785931,44,44
1447874841,43,43
1447961301,46,46
1448051814,46,46
1448140742,48,48
1448231243,46,46
1448320725,39,39
