DateTime,AddedIPs,RemovedIPs
1437689376,0,49
1437734731,48,0
1437816996,0,48
1437821126,45,0
1437903936,0,45
1437908073,45,0
1437993400,48,44
1438079798,41,45
1438166190,45,43
1438252592,41,42
1438337901,0,46
1438349796,49,0
1438427911,47,48
1438513764,43,47
1438599612,47,44
1438686017,46,47
1438772072,46,45
1438948586,48,95
1439030734,43,0
1439114423,0,43
1439118557,43,0
1439204058,47,42
1439288320,0,48
1439292448,48,0
1439378841,47,47
1439461118,0,48
1439465239,44,0
1439547518,0,44
1439551642,46,0
1439638038,45,42
1439720833,0,49
1439724985,45,0
1439810832,43,44
1439893102,0,44
1439897237,49,0
1439913630,0,49
1440419782,50,50
1440506178,47,0
1440592573,45,45
1440675928,0,47
1440680052,47,0
1440762331,0,47
1440766448,45,0
1440852853,45,44
1440938731,48,45
1441023530,0,49
1441027634,45,0
1441110020,0,45
1441114036,49,0
1441200431,44,47
1441282719,0,46
1441286837,49,0
1441370720,43,49
1441449371,0,43
1441457663,48,0
1441543521,43,46
1441628372,0,45
1441632454,47,0
1441718359,46,46
1441804157,43,45
1441890018,48,44
1441972456,0,49
1441976422,45,0
1442060850,0,45
1442064985,44,0
1442147831,0,44
1442151832,47,0
1442237795,41,47
1442320577,0,41
1442324714,49,0
1442407021,0,49
1442411125,48,0
1442542728,45,47
1442583910,45,43
1442669799,45,47
1442755649,40,44
1442838445,0,42
1442842583,47,0
1442928992,46,47
1443011246,0,46
1443015383,45,0
1443101784,47,45
1443184062,0,47
1443188217,47,0
1443274629,47,46
1443361003,41,48
1443447410,44,41
1443533255,47,43
1443619653,48,48
1443706053,43,47
1443788325,0,44
1443792450,45,0
1443878851,38,42
1443961129,0,41
1443965259,44,0
1444047530,0,44
1444051679,46,0
1444138091,48,45
1444220334,0,49
1444224460,49,0
1444310857,44,48
1444397249,45,44
1444483109,46,44
1444569505,38,46
1444654461,42,38
1444740861,45,42
1444823142,0,47
1444827261,46,0
1444913507,44,44
1444999520,0,46
