DateTime,AddedIPs,RemovedIPs
1438211355,25,31
1438297224,0,31
1438301353,28,0
1438386868,25,22
1438473260,17,24
1438558582,11,22
1438640824,0,13
1438644979,26,0
1438730834,29,23
1438948578,27,59
1438989509,27,0
1439071787,0,27
1439075908,8,0
1439161756,0,8
1439165913,25,0
1439251222,25,24
1439337622,31,24
1439420057,0,33
1439424023,31,0
1439510424,29,28
1439592856,0,32
1439596818,27,0
1439680152,0,27
1439684298,23,0
1439769607,18,17
1439852057,0,24
1439856021,28,0
1439913623,0,28
1440419777,33,33
1440506175,33,0
1440592570,26,29
1440675925,0,30
1440680050,32,0
1440762328,0,32
1440766445,33,0
1440852850,27,29
1440938729,25,29
1441023526,34,27
1441106301,0,34
1441110016,29,0
1441196310,0,29
1441200428,32,0
1441282716,0,32
1441286835,33,0
1441370717,30,31
1441449368,0,32
1441457660,28,0
1441543518,22,26
1441628366,0,24
1441632450,26,0
1441718355,25,20
1441804154,26,30
1441890014,31,24
1441972453,0,34
1441976418,28,0
1442060846,0,28
1442064981,25,0
1442147249,0,25
1442151827,23,0
1442237792,24,19
1442320574,0,28
1442324711,30,0
1442407018,0,30
1442411121,30,0
1442543234,26,26
1442580315,0,30
1442584452,33,0
1442667256,0,33
1442671214,31,0
1442753700,0,31
1442757633,29,0
1442843648,27,26
1442930056,27,26
1443016466,27,25
1443098729,0,33
1443102862,32,0
1443185136,0,32
1443189284,33,0
1443274625,26,30
1443361000,25,28
1443447406,28,23
1443533249,28,26
1443616056,0,33
1443620181,29,0
1443702999,0,29
1443707154,26,0
1443793552,23,24
1443876325,0,25
1443880460,28,0
1443963267,0,28
1443967226,21,0
1444053627,23,18
1444137538,26,23
1444222463,0,29
1444226435,27,0
1444309227,0,27
1444312963,31,0
1444399246,28,27
1444485618,25,30
1444568082,0,27
1444572018,25,0
1444655366,0,25
1444659506,25,0
1444745902,29,23
1444828166,0,31
1444832300,32,0
1444918703,23,28
1445001499,0,27
1445005637,25,0
1445091211,22,21
1445177388,17,24
1445261885,22,18
1445346550,0,23
1445350694,26,0
1445434581,26,25
1445537616,21,23
1445595547,0,25
1445607935,22,0
1445690224,0,22
1445694344,22,0
1445779106,0,22
1445783237,19,0
1445866582,26,19
1445948864,0,26
1445952981,26,0
1446037325,0,26
1446041372,25,0
1446127786,24,23
1446213262,21,23
1446296440,0,24
1446300392,27,0
1446383378,0,27
1446387502,24,0
1446472455,23,23
1446559768,30,54
1446644175,33,0
1446731659,30,63
1446818071,32,32
1447455247,34,34
1447533372,28,0
1447619794,19,47
1447706206,28,28
1447794034,28,28
1447879009,27,0
1447965413,25,52
1448051812,28,0
1448136561,23,27
1448222970,17,41
1448312497,27,27
1448403056,28,28
1448487454,28,0
1448579437,25,53
1448658030,31,0
1448748670,21,52
1448833585,22,0
1448916354,18,20
1449001647,21,18
1449090026,20,43
1449175535,25,0
1449264494,20,45
1449347228,22,0
1449434202,18,40
1449523644,20,20
1449606996,18,0
1449694457,18,36
1449780331,17,0
1449868701,17,34
1449956186,20,20
1450039552,14,0
1450126832,18,32
1450220059,23,23
1450299632,26,0
1450388195,17,43
1450473498,17,0
1450559376,15,16
1450644404,13,14
1450736918,14,29
1450817168,18,0
1450905542,14,32
1450991913,17,0
1451082002,12,29
1451164211,18,0
1451251644,9,27
1451342264,16,16
1451426065,18,0
1451509230,17,13
1451595620,11,15
1451636839,0,18
1451682022,19,0
