DateTime,Entries,UniqueIPs
1476530457,4425,4568
1476535858,4417,4554
1476540657,4422,4560
1476546057,4424,4562
1476551458,4409,4547
1476557464,4460,4599
1476562263,4450,4589
1476568263,4445,4583
1476573666,4428,4565
1476578463,4426,4563
1476584465,4431,4565
1476590463,4425,4557
1476595861,4436,4569
1476601262,4420,4553
1476606062,4409,4541
1476610870,4398,4528
1476617465,4393,4521
1476622262,4397,4525
1476627661,4406,4535
1476633657,4438,4567
1476637859,4506,4636
1476644464,4555,4686
1476649865,4547,4678
1476655356,4556,4687
1476661266,4583,4714
1476668465,4599,4730
1476675670,4591,4722
1476683470,4570,4701
1476690062,4582,4713
1476697271,4570,4702
1476704461,4554,4685
1476711058,4554,4685
1476717058,4547,4678
1476724261,4570,4703
1476730858,4567,4697
1476735659,4531,4659
1476740460,4540,4668
1476746461,4543,4671
1476751269,4497,4625
1476757865,4508,4637
1476762665,4493,4619
1476768067,4489,4615
1476775270,4514,4641
1476778872,4502,4629
1476782469,4493,4619
1476786064,4489,4615
1476793263,4471,4597
1476796865,4458,4583
1476800466,4435,4560
1476804058,4439,4564
1476807660,4422,4546
1476811257,4400,4523
1476820264,4405,4529
1476826266,4413,4535
1476831664,4394,4516
1476837665,4394,4521
1476844867,4435,4575
1476852065,4440,4582
1476857462,4422,4563
1476864063,4416,4556
1476869465,4412,4560
1476874264,4388,4535
1476879660,4389,4537
1476885662,4400,4548
1476891061,4371,4524
1476896459,4427,4586
1476901866,4459,4617
1476906662,4463,4621
1476913264,4449,4611
1476918669,4473,4640
1476925268,4475,4641
1476930665,4462,4628
1476936669,4483,4650
1476943868,4471,4639
1476951669,4463,4633
1476957072,4479,4651
1476963668,4473,4645
1476970867,4467,4639
1476975669,4456,4627
1476982268,4493,4664
1476988268,4514,4685
1476993666,4521,4692
1476998468,4515,4687
1477005069,4520,4692
1477009866,4529,4702
1477015878,4522,4693
1477022473,4534,4706
1477028469,4513,4683
1477033866,4508,4678
1477041067,4493,4663
1477046464,4496,4666
1477053662,4476,4646
1477058462,4479,4649
1477063861,4480,4649
1477068660,4498,4667
1477073461,4528,4697
1477079458,4520,4689
1477084861,4525,4694
1477089666,4522,4692
1477095665,4542,4713
1477101065,4530,4700
1477107664,4562,4733
1477112465,4557,4730
1477118467,4557,4730
1477125669,4561,4734
1477130465,4561,4737
1477135871,4555,4730
1477141265,4564,4738
1477147264,4569,4742
1477153265,4581,4754
1477159261,4635,4808
1477164063,4631,4804
1477169464,4634,4808
1477176069,4643,4819
