DateTime,AddedIPs,RemovedIPs
1473733859,95,90
1473744660,145,152
1473756060,99,94
1473770453,103,85
1473784854,131,100
1473796861,148,135
1473807661,78,132
1473818455,92,126
1473829859,127,136
1473842458,90,130
1473853858,79,170
1473865257,125,199
1473876058,90,126
1473888058,112,76
1473899465,269,127
1473910859,123,93
1473925263,145,130
1473936061,145,119
1473949260,117,106
1473961264,146,95
1473973860,123,140
1473984060,110,98
1473994865,91,115
1474005659,73,172
1474016459,107,165
1474026658,78,118
1474038661,76,103
1474050662,123,193
1474060863,105,90
1474071667,152,117
1474082464,74,109
1474093861,149,150
1474104662,70,78
1474115460,97,103
1474126260,101,143
1474138266,141,104
1474149064,122,97
1474160472,234,79
1474171867,135,123
1474179668,83,78
1474194067,104,0
1474200666,66,197
1474215063,116,0
1474225262,81,237
1474234856,70,93
1474246261,133,0
1474257662,102,160
1474268461,70,94
1474279262,65,222
1474290065,211,0
1474302657,80,230
1474316459,150,90
1474329063,134,126
1474340466,89,113
1474351859,94,122
1474365669,105,92
1474375299,79,134
1474386066,79,103
1474397460,180,199
1474408261,108,129
1474418463,67,111
1474429862,78,129
1474442460,125,177
1474455668,98,76
1474465859,81,86
1474476660,106,142
1474490457,170,112
1474501258,66,106
1474512659,143,117
1474523456,51,126
1474534257,72,112
1474544458,55,124
1474556460,122,133
1474566657,83,135
1474579858,96,61
1474593656,164,149
1474605056,70,79
1474615858,88,96
1474628454,75,97
1474642256,92,119
1474652507,72,76
1474663258,146,106
1474674062,116,121
1474685466,105,71
1474696259,131,95
1474707064,79,136
1474719657,78,71
1474731058,78,85
1474741257,135,93
1474750860,65,66
1474761654,109,125
1474771851,86,120
1474782056,120,92
1474792859,48,0
1474807254,83,91
1474821055,126,191
1474834852,147,66
1474845054,97,128
1474854655,138,114
1474866057,80,103
1474876256,65,83
1474887059,147,129
1474897857,95,99
1474908655,62,98
1474920058,134,79
1474929655,103,0
1474939852,87,107
1474949454,77,97
1474960252,100,107
1474974655,144,112
1474986053,67,156
1474999851,144,115
1475010654,94,123
1475022052,79,84
1475036455,141,106
1475047258,125,258
1475057459,87,93
1475068857,72,0
1475079058,167,140
1475089856,66,73
1475100654,167,83
1475110856,66,142
1475120454,74,77
1475131254,86,0
1475142062,85,75
1475153457,134,107
1475164852,57,124
1475174453,106,61
1475188856,129,115
1475199655,83,209
1475211052,86,85
1475224852,94,83
1475239253,131,139
1475250652,56,96
1475260859,118,125
1475271058,110,103
1475281255,108,84
1475292053,70,96
1475302252,95,150
1475313056,90,130
1475324452,80,80
1475337053,120,0
1475350247,89,195
1475362255,152,66
1475376058,164,103
1475388053,122,81
1475398253,66,106
1475409654,90,65
1475422252,76,109
1475436652,78,81
1475451055,158,112
1475460657,77,263
1475470260,63,0
1475482261,130,70
1475491258,116,117
1475502055,59,145
1475513460,97,86
1475524257,109,99
1475535054,122,64
1475546462,179,0
1475556656,60,45
1475567457,92,245
1475581853,110,0
1475592054,66,184
1475606457,127,132
1475615457,58,101
1475626854,113,69
1475637055,58,102
1475647853,153,140
1475659853,76,134
1475670052,86,74
1475682651,117,119
1475694657,72,50
1475706055,108,97
1475716855,134,74
1475727651,65,126
1475739054,89,92
1475749260,85,141
1475759455,92,108
1475770251,63,85
1475784651,106,103
1475797249,168,140
1475808652,82,94
1475820054,124,76
1475830855,103,71
1475841657,88,131
1475851252,61,73
1475862650,53,96
1475872854,126,83
1475884253,56,82
1475895052,80,110
1475906456,143,0
1475916661,103,204
1475927457,149,0
1475941851,103,86
1475952056,98,176
1475965861,199,62
1475978461,126,74
1475992261,196,66
1476005465,110,82
1476019861,216,207
1476030054,67,110
1476041460,112,76
1476051058,76,135
1476061858,102,0
1476072656,61,145
1476084057,73,180
1476094862,145,207
1476108659,143,62
1476120060,117,129
1476131457,173,94
1476141656,92,85
1476152457,88,85
1476163258,70,126
1476177659,134,105
1476192062,84,189
1476202859,107,121
1476213056,131,179
1476223856,74,88
1476235859,135,129
1476246060,92,106
1476256264,75,121
1476267669,61,110
1476278455,77,101
1476289253,130,93
1476299452,126,90
1476310857,127,142
1476321661,115,120
1476331854,57,0
1476343257,55,80
1476354059,62,205
1476364855,104,0
1476375065,93,103
1476386455,109,88
1476397251,101,237
1476411653,125,0
1476423047,93,169
1476433257,87,90
1476444058,83,111
1476454251,77,75
1476465656,96,84
1476477657,146,111
1476487850,68,139
1476498049,92,116
1476508851,89,116
1476519651,71,0
1476530451,63,191
1476540650,92,83
1476551450,113,0
1476562256,140,108
1476573658,96,84
1476584456,127,97
1476595853,84,106
1476606056,94,125
1476617458,124,0
1476627654,108,157
1476637852,204,53
1476649857,154,89
1476661258,143,97
1476675660,103,83
1476690057,117,88
1476704455,104,146
1476717052,92,182
1476730851,162,103
1476740454,83,114
1476751260,137,163
1476762656,90,205
1476777062,192,143
1476791462,23,120
1476805858,74,154
1476820257,147,84
1476831655,113,100
1476844857,196,114
1476857453,114,150
1476869456,135,51
1476879654,103,123
1476891054,99,133
1476901857,179,0
1476913256,102,67
1476925259,163,170
1476936660,99,131
1476943858,61,136
1476957063,141,0
1476970859,88,152
1476982260,124,77
1476993656,149,117
1477005060,131,129
1477015867,98,99
1477028460,146,67
1477041060,111,144
1477053654,103,117
1477063854,95,112
1477073454,128,105
1477084853,71,130
1477095657,99,107
1477107655,158,156
1477118456,68,132
1477130459,100,166
1477141259,99,150
1477153258,110,66
1477164056,123,86
1477176059,145,89
1477189857,126,118
1477200657,102,103
1477212057,114,117
1477225857,72,118
1477236056,96,136
1477246853,57,88
1477258257,157,117
1477268454,93,126
1477279856,108,97
1477292465,139,135
1477303265,75,132
1477314659,147,93
1477327255,115,76
1477341653,89,99
1477353053,122,85
1477364454,123,99
1477374654,79,137
1477386063,97,110
1477398657,119,118
1477409456,63,129
1477419056,83,133
1477431054,97,120
1477441251,125,109
1477452056,73,130
1477462854,90,94
1477474255,124,151
1477484455,89,85
1477495856,100,0
1477506054,113,106
1477517453,116,267
1477527658,86,0
1477538452,85,86
1477549255,90,207
1477560054,126,65
1477571455,146,0
1477584653,111,222
1477599051,127,113
1477610458,149,55
1477621855,121,96
1477632658,56,106
1477642857,94,93
1477653665,95,103
1477664454,96,139
1477674656,88,174
1477686057,114,83
1477696258,116,157
1477707656,97,0
1477719058,88,85
1477729258,78,203
1477740661,121,113
1477750856,69,89
1477764651,120,0
1477779057,154,180
1477790458,95,92
1477801258,67,127
1477812062,126,83
1477822859,71,121
1477833657,120,95
1477843861,92,102
1477855257,129,103
1477865454,81,80
1477876253,92,0
1477887057,108,125
1477896659,52,101
1477908065,90,88
1477918859,107,86
1477929058,105,100
1477942855,125,99
1477951857,76,185
1477963254,53,125
1477974655,109,63
1477986054,104,93
1477995656,84,111
1478006458,107,116
1478017257,119,95
1478027455,54,60
1478040063,137,0
1478049665,118,205
1478060462,118,95
1478071261,70,0
1478082059,97,95
1478092855,123,100
1478104264,114,84
1478114463,97,168
1478125260,102,75
1478136059,135,0
1478147458,70,99
1478158263,73,182
1478168467,132,116
1478179268,108,91
1478190062,106,57
1478200865,130,0
1478212263,134,208
1478223064,106,73
1478236259,74,105
1478248263,137,87
1478260860,118,98
1478274058,98,98
1478283660,42,115
1478294464,120,120
1478305860,129,99
1478316665,130,163
1478330467,114,164
1478343068,140,108
1478355071,140,117
1478366465,62,57
1478377875,193,98
1478389262,111,98
1478400063,104,86
1478412662,84,161
1478422863,72,118
1478433663,117,116
1478444461,100,89
1478455263,119,119
1478465461,103,101
1478476262,102,142
1478487666,166,136
1478499065,75,81
1478511665,120,79
1478521866,154,107
1478535062,114,96
1478547064,100,66
1478557267,140,110
1478568663,140,105
1478580064,118,97
1478587862,55,139
1478601063,156,98
1478614862,136,141
1478628665,107,107
1478638264,149,123
1478649060,114,104
1478663462,146,106
1478677868,143,61
1478691668,101,297
1478705465,117,135
1478716261,115,135
1478726461,112,72
1478738458,151,151
1478751068,133,186
1478763664,153,158
1478774478,142,0
1478787665,101,145
1478798460,130,120
1478804463,110,101
1478814662,118,101
1478826064,171,146
1478839264,112,151
1478853065,142,100
1478865661,133,176
1478878260,100,123
1478888459,89,80
1478899862,164,101
1478911266,171,101
1478919665,80,126
1478934061,105,123
1478946662,111,124
1478959257,101,128
1478970061,72,68
1478980864,181,129
1478991664,90,111
1479003067,114,94
1479017469,184,179
1479030663,110,192
1479042660,114,107
1479052866,129,82
1479063670,194,89
1479075071,97,95
1479087670,110,107
1479095469,139,138
1479109864,160,139
1479123665,155,126
1479132067,104,111
1479145261,136,75
1479157859,189,99
1479165061,108,121
1479173465,104,109
1479186664,131,0
1479194467,50,277
1479208272,191,0
1479220863,82,132
1479232866,161,295
1479244273,198,115
1479251469,53,0
1479259270,97,259
1479273670,203,0
