DateTime,Entries,UniqueIPs
1473733859,4739,4949
1473744660,4757,4968
1473756060,4734,4942
1473770453,4760,4967
1473784854,4782,4987
1473796861,4822,5032
1473807661,4782,4990
1473818455,4774,4982
1473829859,4775,4987
1473842458,4771,4985
1473853858,4756,4970
1473865257,4773,4988
1473876058,4764,4981
1473888058,4765,4981
1473899465,4854,5071
1473910859,4867,5085
1473925263,4874,5090
1473936061,4879,5094
1473949260,4869,5084
1473961264,4881,5096
1473973860,4831,5046
1473984060,4791,5004
1473994865,4807,5020
1474005659,4789,5003
1474016459,4733,4945
1474026658,4746,4959
1474038661,4731,4943
1474050662,4710,4923
1474060863,4719,4929
1474071667,4730,4939
1474082464,4700,4910
1474093861,4701,4913
1474104662,4687,4899
1474115460,4644,4857
1474126260,4646,4859
1474138266,4662,4878
1474149064,4661,4875
1474160472,4769,4984
1474171867,4764,4978
1474179668,4756,4969
1474194067,4735,4947
1474200666,4718,4929
1474215063,4706,4915
1474225262,4672,4883
1474234856,4657,4871
1474246261,4644,4851
1474257662,4627,4839
1474268461,4597,4807
1474279262,4587,4796
1474290065,4643,4853
1474302657,4628,4837
1474316459,4639,4849
1474329063,4627,4836
1474340466,4570,4773
1474351859,4551,4753
1474365669,4524,4721
1474375299,4483,4680
1474386066,4499,4696
1474397460,4541,4740
1474408261,4537,4735
1474418463,4518,4711
1474429862,4525,4718
1474442460,4502,4686
1474455668,4498,4682
1474465859,4488,4673
1474476660,4481,4665
1474490457,4484,4665
1474501258,4471,4653
1474512659,4480,4658
1474523456,4436,4609
1474534257,4408,4580
1474544458,4386,4555
1474556460,4393,4562
1474566657,4353,4519
1474579858,4354,4522
1474593656,4354,4518
1474605056,4332,4495
1474615858,4322,4481
1474628454,4323,4480
1474642256,4303,4458
1474652507,4275,4428
1474663258,4309,4463
1474674062,4301,4452
1474685466,4305,4454
1474696259,4304,4453
1474707064,4300,4446
1474719657,4294,4437
1474731058,4285,4426
1474741257,4257,4398
1474750860,4250,4389
1474761654,4233,4373
1474771851,4207,4347
1474782056,4196,4335
1474792859,4154,4292
1474807254,4146,4284
1474821055,4116,4251
1474834852,4157,4292
1474845054,4148,4282
1474854655,4138,4270
1474866057,4109,4238
1474876256,4088,4216
1474887059,4077,4204
1474897857,4058,4185
1474908655,3985,4109
1474920058,4021,4144
1474929655,4048,4173
1474939852,4050,4176
1474949454,4026,4152
1474960252,3998,4124
1474974655,4018,4149
1474986053,4000,4131
1474999851,4031,4164
1475010654,4022,4154
1475022052,4013,4144
1475036455,3998,4130
1475047258,3938,4063
1475057459,3954,4082
1475068857,3924,4049
1475079058,3915,4043
1475089856,3891,4019
1475100654,3958,4094
1475110856,3933,4069
1475120454,3922,4055
1475131254,3922,4056
1475142062,3918,4055
1475153457,3917,4054
1475164852,3907,4046
1475174453,3896,4034
1475188856,3926,4068
1475199655,3929,4069
1475211052,3922,4062
1475224852,3906,4041
1475239253,3924,4058
1475250652,3910,4041
1475260859,3916,4046
1475271058,3916,4045
1475281255,3923,4053
1475292053,3914,4044
1475302252,3912,4042
1475313056,3907,4039
1475324452,3916,4048
1475337053,3944,4077
1475350247,3932,4063
1475362255,3925,4055
1475376058,3936,4066
1475388053,3935,4062
1475398253,3903,4030
1475409654,3902,4027
1475422252,3919,4045
1475436652,3912,4038
1475451055,3970,4098
1475460657,3918,4046
1475470260,3901,4027
1475482261,3947,4076
1475491258,3937,4063
1475502055,3955,4082
1475513460,3963,4089
1475524257,3965,4090
1475535054,3966,4091
1475546462,4005,4127
1475556656,3986,4107
1475567457,3966,4087
1475581853,3973,4096
1475592054,3948,4068
1475606457,3952,4073
1475615457,3932,4051
1475626854,3934,4050
1475637055,3914,4031
1475647853,3950,4071
1475659853,3953,4074
1475670052,3939,4059
1475682651,3928,4048
1475694657,3921,4041
1475706055,3887,4004
1475716855,3914,4034
1475727651,3900,4020
1475739054,3895,4015
1475749260,3897,4016
1475759455,3892,4011
1475770251,3859,3977
1475784651,3863,3979
1475797249,3924,4040
1475808652,3918,4035
1475820054,3908,4019
1475830855,3891,3998
1475841657,3892,3999
1475851252,3907,4014
1475862650,3891,3998
1475872854,3887,3994
1475884253,3881,3988
1475895052,3865,3973
1475906456,3860,3969
1475916661,3856,3966
1475927457,3915,4027
1475941851,3899,4012
1475952056,3905,4020
1475965861,3928,4044
1475978461,3926,4043
1475992261,3942,4062
1476005465,3953,4075
1476019861,4004,4131
1476030054,4007,4131
1476041460,4032,4153
1476051058,4056,4177
1476061858,4087,4209
1476072656,4097,4218
1476084057,4077,4199
1476094862,4070,4191
1476108659,4073,4196
1476120060,4061,4190
1476131457,4115,4246
1476141656,4118,4249
1476152457,4123,4257
1476163258,4092,4223
1476177659,4078,4211
1476192062,4072,4205
1476202859,4083,4215
1476213056,4117,4249
1476223856,4111,4241
1476235859,4123,4254
1476246060,4116,4247
1476256264,4112,4241
1476267669,4100,4227
1476278455,4101,4230
1476289253,4095,4222
1476299452,4118,4244
1476310857,4114,4240
1476321661,4115,4241
1476331854,4131,4257
1476343257,4123,4249
1476354059,4118,4243
1476364855,4112,4234
1476375065,4099,4223
1476386455,4138,4262
1476397251,4163,4287
1476411653,4171,4296
1476423047,4165,4290
1476433257,4149,4274
1476444058,4140,4266
1476454251,4144,4268
1476465656,4167,4291
1476477657,4165,4292
1476487850,4161,4287
1476498049,4154,4279
1476508851,4152,4276
1476519651,4143,4268
1476530451,4137,4262
1476540650,4120,4243
1476551450,4108,4232
1476562256,4154,4278
1476573658,4130,4253
1476584456,4126,4244
1476595853,4099,4215
1476606056,4116,4233
1476617458,4092,4206
1476627654,4099,4214
1476637852,4192,4308
1476649857,4239,4355
1476661258,4266,4382
1476675660,4279,4395
1476690057,4264,4380
1476704455,4202,4317
1476717052,4204,4319
1476730851,4212,4324
1476740454,4204,4316
1476751260,4190,4301
1476762656,4183,4293
1476777062,4185,4297
1476791462,4158,4269
1476805858,4128,4239
1476820257,4134,4247
1476831655,4094,4205
1476844857,4135,4263
1476857453,4137,4267
1476869456,4133,4270
1476879654,4113,4250
1476891054,4107,4249
1476901857,4194,4341
1476913256,4182,4333
1476925259,4203,4358
1476936660,4206,4362
1476943858,4176,4333
1476957063,4205,4366
1476970859,4199,4360
1476982260,4207,4367
1476993656,4228,4388
1477005060,4230,4388
1477015867,4221,4380
1477028460,4261,4421
1477041060,4222,4381
1477053654,4209,4368
1477063854,4215,4373
1477073454,4252,4409
1477084853,4251,4408
1477095657,4259,4416
1477107655,4288,4446
1477118456,4288,4447
1477130459,4299,4461
1477141259,4303,4463
1477153258,4313,4472
1477164056,4368,4527
1477176059,4369,4532
1477189857,4373,4536
1477200657,4362,4524
1477212057,4390,4552
1477225857,4352,4511
1477236056,4346,4510
1477246853,4320,4482
1477258257,4317,4481
1477268454,4264,4425
1477279856,4215,4367
1477292465,4239,4392
1477303265,4210,4360
1477314659,4222,4373
1477327255,4202,4351
1477341653,4182,4328
1477353053,4182,4329
1477364454,4173,4325
1477374654,4126,4281
1477386063,4140,4294
1477398657,4136,4294
1477409456,4102,4258
1477419056,4121,4277
1477431054,4118,4274
1477441251,4088,4243
1477452056,4068,4225
