DateTime,AddedIPs,RemovedIPs
1476519653,3,5
1476525061,6,2
1476530454,3,7
1476535855,3,7
1476540654,6,1
1476546054,5,5
1476551454,5,4
1476557460,5,4
1476562260,2,14
1476568260,5,9
1476573663,7,9
1476578460,2,6
1476584461,7,4
1476590458,6,5
1476595858,4,0
1476601259,2,6
1476606059,4,6
1476610866,10,8
1476617461,6,5
1476622259,5,0
1476627658,6,5
1476633654,11,8
1476637856,7,6
1476644461,5,5
1476649862,8,7
1476655308,9,7
1476661263,8,10
1476668462,7,5
1476675666,6,11
1476683466,6,14
1476690059,6,0
1476697265,10,12
1476704458,8,4
1476711054,5,6
1476717055,4,5
1476724258,12,7
1476730855,7,5
1476735656,5,9
1476740458,4,0
1476746458,6,7
1476751264,7,17
1476757862,5,0
1476762661,3,10
1476768063,7,9
1476775266,7,0
1476778869,0,4
1476782465,4,4
1476786061,0,7
1476793260,1,6
1476796862,0,5
1476800463,0,7
1476804055,1,0
1476807657,0,10
1476811254,1,7
1476820261,6,10
1476826262,3,3
1476831660,3,8
1476837662,6,7
1476844862,10,6
1476852062,5,3
1476857459,4,12
1476864060,8,6
1476869459,6,9
1476874261,2,5
1476879658,9,5
1476885659,4,7
1476891058,9,7
1476896456,13,5
1476901861,4,6
1476906659,6,5
1476913261,5,5
1476918665,6,6
1476925264,5,6
1476930662,6,7
1476936666,6,1
1476943864,4,11
1476951665,5,9
1476957067,8,6
1476963665,3,6
1476970864,8,7
1476975666,1,11
1476982264,10,6
1476988263,10,6
1476993660,7,5
1476998465,8,3
1477005066,7,8
1477009863,6,6
1477015872,1,6
1477022469,5,7
1477028466,6,17
1477033863,5,3
1477041064,5,6
1477046459,4,3
1477053659,6,4
1477058459,8,5
1477063858,6,5
1477068656,5,4
1477073458,4,3
1477079455,6,10
1477084858,11,7
1477089662,7,4
1477095662,8,7
1477101062,7,3
1477107661,10,3
1477112462,8,7
1477118462,3,3
1477125666,9,4
1477130462,9,8
1477135867,3,5
1477141262,6,3
1477147261,9,5
1477153262,6,4
1477159257,5,6
1477164060,10,5
1477169461,8,4
1477176064,7,8
1477183266,8,6
1477189862,4,8
1477195261,6,6
1477200662,7,4
1477205465,4,7
1477212060,8,0
1477219262,10,10
1477225860,7,4
1477231260,6,8
1477236060,7,5
1477240859,5,5
1477246857,3,9
1477252864,5,4
1477258261,4,7
1477263062,6,6
1477268458,9,9
1477274461,6,6
1477279862,5,9
1477285859,9,0
1477292468,6,7
1477297869,6,7
1477303268,9,10
1477309265,6,8
1477314663,8,0
1477321857,6,8
1477327259,7,9
1477331456,7,12
1477336857,4,7
1477341657,9,3
1477347663,4,3
1477353058,7,6
1477359060,8,9
1477364459,4,9
1477369859,8,5
1477374659,4,8
1477380060,7,0
1477386065,5,2
1477392061,3,0
1477398660,5,1
1477404057,5,2
1477409460,3,0
1477414261,2,1
1477419060,6,8
1477425658,5,0
1477431059,6,15
1477435856,8,7
1477441256,6,0
1477446657,6,6
1477452061,7,8
1477456856,4,4
1477462860,7,5
1477468256,3,4
1477474257,2,0
1477479057,8,13
1477484458,4,9
1477489860,5,0
1477495860,5,5
1477501255,5,8
1477506058,4,10
1477512060,7,0
1477517458,4,13
1477522258,2,0
1477527662,5,8
1477533057,5,8
1477538457,11,6
1477543857,4,8
1477549260,5,6
1477554658,2,0
1477560059,3,1
1477566065,3,6
1477571461,2,7
1477577462,5,6
1477584659,9,4
1477588863,7,7
1477593658,9,11
1477599057,5,6
1477604462,7,4
1477610465,9,7
1477616463,6,11
1477621862,6,2
1477627267,6,4
1477632665,6,6
1477638063,6,0
1477642860,7,6
1477648264,3,6
1477653668,5,2
1477659062,4,5
1477664457,5,8
1477669859,3,8
1477674660,8,3
1477680752,7,3
1477686061,9,6
1477690866,4,8
1477696262,7,8
1477702262,4,4
1477707660,5,8
1477713659,9,8
1477719063,9,4
1477724461,9,4
1477729260,5,8
1477735262,5,0
1477740664,5,9
1477746060,6,14
1477750859,4,0
1477756259,10,12
1477760457,4,8
1477767654,6,4
1477771262,4,0
1477779060,9,15
1477785067,3,5
1477790462,3,5
1477797066,4,2
1477801262,5,4
1477806662,7,6
1477812065,5,6
1477817458,3,6
1477822862,3,11
1477828261,5,0
1477833660,4,6
1477839059,5,5
1477843865,2,5
1477849264,9,6
1477855262,3,5
1477860056,6,7
1477865459,6,5
1477870865,9,4
1477876258,5,7
1477882260,4,4
1477887062,5,4
1477892464,2,8
1477896665,3,4
1477902664,4,0
1477908068,4,6
1477912263,11,15
1477918862,2,0
1477923660,7,10
1477929061,4,5
1477934463,5,10
1477938661,6,5
1477942858,5,4
1477948266,3,4
1477951860,5,0
1477957858,8,5
1477963258,6,12
1477969258,2,0
1477974660,6,10
1477979459,4,5
1477986057,3,7
1477990858,5,3
1477995658,6,4
1478001059,6,0
1478006461,7,7
1478011856,1,3
1478017261,2,4
1478022658,6,3
1478027458,3,6
1478032863,3,3
1478036461,2,0
1478040067,6,3
1478043664,8,5
1478049669,9,3
1478055671,6,8
1478060466,4,6
1478065270,4,6
1478071264,6,9
1478076664,7,3
1478082061,6,4
1478087458,8,7
1478092857,4,5
1478098265,5,4
1478104267,6,5
1478108466,6,3
1478114467,8,3
1478119859,3,6
1478125264,4,5
1478130668,3,5
1478136063,5,5
1478142067,3,8
1478147463,5,9
1478152867,7,1
1478158265,4,6
1478163066,4,2
1478168470,5,5
1478173268,8,8
1478179271,7,4
1478185269,2,3
1478190066,3,7
1478195465,11,6
1478200869,6,7
1478206867,6,9
1478212267,6,6
1478217668,8,4
1478223069,4,3
1478229066,4,5
1478236264,11,4
1478241663,10,5
1478248269,7,7
1478254262,6,9
1478260863,9,3
1478266863,9,8
1478274062,6,7
1478278863,6,1
1478283665,9,5
1478289065,6,5
1478294468,9,6
1478299864,2,8
1478305865,8,6
1478310664,4,5
1478316671,6,6
1478322667,9,5
1478330471,5,14
1478335870,5,4
1478343072,4,5
1478349064,11,5
1478355075,5,8
1478362269,6,4
1478366469,8,12
1478371870,8,7
1478377880,5,3
1478383867,6,8
1478389268,8,1
1478394070,5,0
1478400068,7,7
1478407269,8,3
1478412668,8,11
1478417463,6,5
1478422866,4,5
1478427665,5,3
1478433667,8,0
1478439065,12,13
1478444465,3,4
1478449261,6,2
1478455268,5,8
1478460065,9,6
1478465466,9,0
1478471465,4,7
1478476267,4,5
1478482267,8,5
1478487671,4,3
1478493071,4,9
1478499070,5,4
1478505672,7,3
1478511668,3,6
1478517071,6,7
1478521869,8,7
1478527866,8,5
1478535066,3,5
1478542267,6,10
1478547068,5,6
1478552471,5,5
1478557271,4,4
1478562669,9,6
1478568668,8,0
1478574068,6,12
1478580069,3,0
1478587868,4,7
1478595068,4,8
1478601066,12,5
1478607064,9,12
1478614866,2,5
1478621469,6,2
1478628669,5,1
1478632865,4,8
1478638268,8,6
1478643666,6,9
1478649066,7,5
1478656269,5,7
1478663468,8,1
1478671267,4,7
1478677874,7,7
1478685071,10,5
1478691671,9,5
1478698867,7,5
1478705468,8,8
1478710866,8,6
1478716265,6,7
1478721065,2,7
1478726465,3,3
1478731871,8,3
1478738463,9,4
1478744469,3,8
1478751074,6,3
1478758270,6,7
1478763673,10,13
1478767872,7,3
1478774482,4,6
1478780471,4,8
1478787669,8,5
1478793663,5,5
1478798464,8,1
1478804467,7,10
1478814666,9,11
1478820068,8,9
1478826068,6,10
1478832070,6,7
1478839270,5,5
1478845869,10,7
1478853068,7,10
1478859666,6,7
1478865665,8,16
1478871664,8,0
1478878264,5,9
1478883663,4,4
1478888463,5,7
1478894467,10,11
1478899867,7,9
1478905868,8,6
1478911272,4,10
1478919671,5,5
1478927469,5,17
1478934067,3,0
1478940063,4,7
1478946665,3,5
1478952660,8,5
1478959260,10,9
1478964065,8,4
1478970065,5,6
1478974865,11,7
1478980869,6,6
1478985669,8,5
1478991669,4,6
1478997072,7,6
1479003072,9,3
1479010269,11,3
1479017483,7,8
1479022867,8,11
1479030666,5,7
1479036670,8,6
1479042663,6,4
1479047465,8,6
1479052870,8,6
1479057667,5,7
1479063675,7,6
1479069074,2,7
1479075075,6,4
1479082281,10,3
1479087675,3,16
1479095476,5,5
1479102673,4,3
1479109869,9,8
1479117068,7,5
1479123669,10,10
1479132070,8,14
1479138668,6,0
1479145264,10,5
1479151864,7,8
1479157863,4,9
1479165066,7,11
1479173470,6,12
1479180670,4,0
1479186670,7,9
1479194473,7,6
1479201674,6,5
1479208277,6,7
1479214268,7,8
1479220866,6,0
1479228067,10,10
1479232871,8,7
1479238875,9,0
1479244277,7,14
1479251474,8,6
1479259284,8,14
1479266475,7,0
1479273675,7,10
1479280869,9,5
1479288677,9,14
1479295873,7,0
1479302471,9,9
1479309673,9,5
1479316275,9,7
1479323481,6,19
1479331279,7,12
1479339079,7,11
1479346278,7,10
1479352871,6,6
1479359480,12,5
1479367275,8,4
1479374476,7,7
1479381682,3,10
1479388280,8,5
1479396078,11,6
1479403280,8,4
1479410476,9,14
1479418875,5,8
