DateTime,AddedIPs,RemovedIPs
1458629701,0,1
1458630002,1,0
1458643801,1,0
1458651902,1,0
1458738002,1,0
1458807602,1,0
1458832502,1,0
1458907802,1,0
1458996901,1,0
1459103401,2,0
1459256702,5,0
1459257001,2,0
1459263002,1,0
1459319402,1,0
1459340402,1,0
1459356302,1,0
1459406102,1,0
1459419902,1,0
1459421102,1,0
1459495201,1,0
1459495801,1,0
1459512301,0,1
1459512902,1,0
1459519200,0,1
1459519501,1,0
1459583702,2,0
1459584000,1,0
1459873201,1,0
1460066101,1,0
1460130302,1,0
1460202301,0,1
1460202601,1,0
1460271002,2,0
1460357102,1,0
1460610902,1,0
1460628001,1,0
1460873702,1,0
1460876101,1,0
1460876701,1,0
1460918702,1,0
1460987701,1,0
1461051001,0,1
1461051301,1,0
1461920701,3,0
1461921302,3,0
1461925801,0,1
1461926101,1,0
1461937201,1,0
1462001102,1,0
1462166701,1,0
1462347002,2,0
1462376102,1,0
1462428911,1,0
1462434002,1,0
1462439702,1,0
1462516201,1,0
1462516801,1,0
1462606501,1,0
1462692302,1,0
1462698302,1,0
1462770602,1,0
1462783502,1,0
1462786802,0,1
1463386502,1,0
1463387101,1,0
1463395801,1,0
1463468101,4,0
1463547301,1,0
1463547602,1,0
1463558702,1,0
1463659502,1,1
1463659802,1,0
1463660101,2,0
1463721301,1,0
1463732101,1,0
1463743802,1,0
1463744702,1,0
1463756402,1,0
1463833802,1,0
1463860502,2,0
1463860802,1,0
1463861102,1,0
1464066003,1,0
1464163501,1,0
1464244502,1,0
1464244802,1,0
1464276902,1,0
1464277202,1,0
1464331802,1,0
1464420002,1,0
1464424802,0,1
1464425101,1,0
1464675903,1,0
1464769501,1,0
1464770102,1,0
1464929702,2,0
1466499302,1,0
1466665203,1,0
1466751002,3,0
1466751301,4,0
1466755502,0,7
1467640203,1,0
1467643502,2,0
1467729902,1,0
1467742802,1,0
1467891602,1,0
1467900903,1,0
1468214102,1,0
1468735501,1,0
1468936802,1,0
1468937102,2,0
1469180101,1,0
1469180402,0,1
1469423701,1,0
1469512502,1,0
1469521202,1,0
1469559002,1,0
1469559302,1,0
1469682002,1,0
1469682302,1,0
1469768402,1,0
1469768703,1,0
1469769002,1,0
1469861702,1,0
1469973301,1,0
1469990102,1,0
1470033602,1,0
1470751202,1,0
1470751502,1,0
1470846603,0,1
1471158302,1,0
1471935002,1,0
1473876002,1,0
1473876302,0,1
1474372201,9,0
1474372501,2,0
1474373101,1,0
1474831502,1,0
1474953901,1,0
1474985401,1,0
1475302502,0,1
1475303102,1,0
1475323802,1,0
1475324101,0,1
1475604602,1,0
1475605501,0,1
1475618101,1,0
1475618402,0,1
1475642102,2,0
1475642702,7,1
1475646301,0,1
1475646602,0,7
1475650201,0,1
1475650502,3,0
1475692502,0,1
1475693102,1,0
1476037502,1,0
1476216901,1,0
1476847501,1,0
1476853802,0,1
1477052700,1,0
1477055702,0,1
1477070101,1,0
1477081802,0,1
1477169101,1,0
1477293902,1,0
1477323002,1,0
1477982701,2,0
1478328002,1,0
1478423102,1,0
1478590502,1,0
1478758802,1,0
1479199802,2,0
1479221702,1,0
