DateTime,AddedIPs,RemovedIPs
1478566848,0,1
1478567293,1,3
1478567775,0,1
1478568251,1,1
1478568744,0,1
1478581932,0,1
1478587457,1,0
1478589136,1,0
1478590570,0,1
1478596570,0,1
1478597053,1,0
1478610735,0,1
1478611216,22,0
1478612176,1,0
1478619370,8,1
1478619857,10,0
1478628022,11,0
1478628492,1,0
1478653931,1,2
1478654430,1,2
1478660901,0,1
1478661372,1,0
1478675052,29,1
1478675547,2,0
1478676497,1,0
1478679611,1,0
1478707934,15,0
1478708423,33,0
1478708894,26,0
1478709375,30,0
1478709850,31,0
1478710335,9,0
1478716336,0,1
1478718252,1,0
1478727133,1,0
1478733851,0,1
1478734331,1,0
1478739655,1,1
1478740093,2,6
1478750454,0,1
1478750892,1,0
1478758814,1,0
1478767941,6,0
1478771050,0,2
1478777052,0,1
1478777537,1,0
1478779459,1,0
1478793855,40,1
1478794334,3,0
1478794831,0,1
1478795291,1,0
1478802498,32,0
1478802975,21,0
1478820251,0,1
1478820733,1,0
1478826731,0,1
1478827212,1,0
1478839691,0,1
1478840176,1,0
1478847371,1,0
1478847855,0,1
1478862259,2,0
1478863690,0,1
1478871861,1,0
1478873292,1,0
1478886013,6,0
1478886500,19,0
1478886970,8,0
1478909291,1,1
1478918650,0,1
1478919136,1,0
1478921293,0,1
1478921770,1,0
1478922254,0,1
1478922733,1,0
1478923692,0,1
1478924175,1,0
1478929693,0,1
1478930171,1,0
1478954416,0,1
1478954899,1,0
1478971691,0,1
1479001216,1,0
1479003853,0,1
1479004333,1,0
1479015375,0,1
1479015851,1,0
1479023296,0,1
1479023774,1,0
1479034846,28,0
1479035298,15,0
1479088579,0,1
1479089053,1,0
1479090972,0,1
1479091450,1,0
1479091934,0,1
1479092467,1,1
