DateTime,Entries,UniqueIPs
1478556975,1086,1086
1478557458,1105,1105
1478566848,1104,1104
1478567293,1102,1102
1478567775,1101,1101
1478568251,1101,1101
1478568744,1100,1100
1478581932,1099,1099
1478587457,1100,1100
1478589136,1101,1101
1478590570,1100,1100
1478596570,1099,1099
1478597053,1100,1100
1478610735,1099,1099
1478611216,1121,1121
1478612176,1122,1122
1478619370,1129,1129
1478619857,1139,1139
1478628022,1150,1150
1478628492,1151,1151
1478653931,1150,1150
1478654430,1149,1149
1478660901,1148,1148
1478661372,1149,1149
1478675052,1177,1177
1478675547,1179,1179
1478676497,1180,1180
1478679611,1181,1181
1478707934,1196,1196
1478708423,1229,1229
1478708894,1255,1255
1478709375,1285,1285
1478709850,1316,1316
1478710335,1325,1325
1478716336,1324,1324
1478718252,1325,1325
1478727133,1326,1326
1478733851,1325,1325
1478734331,1326,1326
1478739655,1326,1326
1478740093,1322,1322
1478750454,1321,1321
1478750892,1322,1322
1478758814,1323,1323
1478767941,1329,1329
1478771050,1327,1327
1478777052,1326,1326
1478777537,1327,1327
1478779459,1328,1328
1478793855,1367,1367
1478794334,1370,1370
1478794831,1369,1369
1478795291,1370,1370
1478802498,1402,1402
1478802975,1423,1423
1478820251,1422,1422
1478820733,1423,1423
1478826731,1422,1422
1478827212,1423,1423
1478839691,1422,1422
1478840176,1423,1423
1478847371,1424,1424
1478847855,1423,1423
1478862259,1425,1425
1478863690,1424,1424
1478871861,1425,1425
1478873292,1426,1426
1478886013,1432,1432
1478886500,1451,1451
1478886970,1459,1459
1478909291,1459,1459
1478918650,1458,1458
1478919136,1459,1459
1478921293,1458,1458
1478921770,1459,1459
1478922254,1458,1458
1478922733,1459,1459
1478923692,1458,1458
1478924175,1459,1459
1478929693,1458,1458
1478930171,1459,1459
1478954416,1458,1458
1478954899,1459,1459
1478971691,1458,1458
1479001216,1459,1459
1479003853,1458,1458
1479004333,1459,1459
1479015375,1458,1458
1479015851,1459,1459
1479023296,1458,1458
1479023774,1459,1459
1479034846,1487,1487
1479035298,1502,1502
1479088579,1501,1501
1479089053,1502,1502
1479090972,1501,1501
