DateTime,AddedIPs,RemovedIPs
1457658570,34,0
1457705548,22,35
1457745963,51,37
1457789694,26,20
1457831343,55,48
1457879297,58,87
1457915532,53,56
1457960932,45,0
1458001775,58,45
1458050772,37,108
1458087610,48,0
1458141119,42,87
1458174961,57,42
1458222530,50,0
1458259722,35,58
1458308166,26,47
1458355771,54,64
1458394336,51,56
1458431040,49,0
1458482106,42,93
1458521746,50,49
1458565691,37,0
1458607469,39,47
1458657203,50,77
1458693970,42,47
1458740524,43,0
1458783434,44,83
1458824752,45,0
1458873132,54,91
1458919886,44,58
1458963334,59,45
1458997049,45,0
1459043600,60,52
1459086555,50,100
1459127087,62,0
1459192743,51,111
1459214994,48,59
1459260720,39,0
1459297703,49,49
1459349457,37,90
1459402851,48,43
1459444373,53,47
1459468941,46,0
1459517270,48,40
1459555521,57,42
1459602869,30,117
1459642984,46,33
1459688809,41,0
1459734844,47,80
1459774040,26,51
1459813976,41,0
1459859821,34,29
1459902844,25,69
1459948205,38,31
1459989568,47,0
1460032961,37,81
1460076417,57,37
1460127488,36,55
1460161491,44,0
1460206883,40,38
1460246487,33,86
1460294812,45,38
1460332549,38,0
1460382331,45,44
1460423574,62,79
1460468157,41,63
1460506529,70,0
1460553017,42,107
1460592883,100,45
1460639623,66,96
1460678085,62,0
1460726149,40,69
1460767082,88,95
1460812045,63,0
1460852372,81,72
1460898763,56,154
1460939886,89,68
1460985750,65,0
1461024485,77,76
1461070732,49,68
1461111031,68,75
1461158680,63,122
1461197764,91,0
1461246506,57,69
1461286019,82,141
1461331654,63,81
1461370612,75,0
1461416627,70,75
1461456740,56,127
1461504687,76,74
1461542126,70,0
1461591176,51,70
1461630276,72,123
1461716339,164,151
1461762560,73,0
1461805036,116,153
1461850109,70,0
1461865763,6,93
1461934627,84,99
1461976002,88,90
1462021423,81,90
1462061637,82,78
1462108173,81,82
1462148545,101,85
1462195129,108,90
1462233310,96,0
1462281960,76,90
1462321880,90,190
1462369395,81,96
1462408777,85,82
1462454458,89,0
1462494558,92,78
1462541617,100,180
1462579879,112,0
1462628490,96,100
1462666884,99,204
1462713654,93,106
1462753151,95,91
1462800612,87,0
1462840319,92,176
1462886330,88,0
1462926659,73,88
1462972585,62,90
1463012306,76,150
1463059924,80,76
1463097443,64,0
1463145363,67,74
1463184746,82,135
1463232656,73,86
1463271635,68,69
1463319506,78,73
1463358285,113,76
1463405773,76,91
