DateTime,Entries,UniqueIPs
1457745963,667,672
1457789694,641,646
1457831343,636,642
1457879297,653,659
1457915532,649,654
1457960932,641,644
1458001775,654,658
1458050772,668,672
1458087610,664,669
1458141119,669,674
1458174961,663,668
1458222530,677,682
1458259722,673,678
1458308166,676,681
1458355771,659,665
1458394336,656,662
1458431040,687,693
1458482106,679,685
1458521746,642,648
1458565691,664,670
1458607469,650,654
1458657203,637,641
1458693970,630,634
1458740524,655,659
1458783434,615,619
1458824752,645,650
1458873132,638,642
1458919886,622,626
1458963334,629,633
1458997049,652,656
1459043600,627,631
1459086555,637,641
1459127087,675,679
1459192743,656,659
1459214994,656,659
1459260720,682,686
1459297703,684,688
1459349457,653,657
1459402851,658,663
1459444373,662,666
1459468941,690,694
1459517270,697,701
1459555521,694,699
1459602869,655,659
1459642984,683,688
1459688809,673,678
1459734844,626,631
1459774040,641,646
1459813976,629,635
1459859821,628,634
1459902844,596,601
1459948205,620,625
1459989568,618,621
1460032961,613,616
1460076417,587,590
1460127488,563,566
1460161491,569,572
1460206883,592,595
1460246487,551,553
1460294812,546,549
1460332549,565,568
1460382331,554,558
1460423574,570,575
1460468157,573,577
1460506529,624,628
1460553017,610,613
1460592883,656,660
1460639623,669,673
1460678085,709,713
1460726149,708,713
1460767082,727,732
1460812045,750,756
1460852372,813,819
1460898763,797,802
1460939886,825,830
1460985750,868,873
1461024485,889,892
1461070732,895,898
1461111031,901,903
1461158680,853,856
1461197764,908,912
1461246506,855,858
1461286019,885,888
1461331654,887,890
1461370612,923,926
1461416627,925,927
1461456740,911,913
1461504687,919,922
1461542126,925,927
1461591176,865,867
1461630276,909,911
1461677050,880,884
1461716339,893,897
1461762560,938,943
1461805036,920,924
1461850109,962,966
1461865763,921,924
1461934627,929,933
1461976002,943,947
1462021423,908,911
1462061637,920,924
1462108173,962,966
1462148545,958,960
1462195129,979,982
1462233310,992,995
1462281960,1041,1044
1462321880,1056,1060
1462369395,996,999
1462408777,1040,1044
1462454458,1041,1045
1462494558,1037,1042
1462541617,1059,1063
1462579879,1131,1136
1462628490,1107,1113
1462666884,1175,1182
1462713654,1140,1146
1462753151,1144,1151
1462800612,1120,1127
1462840319,1123,1130
1462886330,1169,1177
1462926659,1155,1163
1462972585,1138,1146
1463012306,1125,1133
1463059924,1067,1074
1463097443,1100,1107
1463145363,1089,1097
1463184746,1013,1021
1463232656,990,999
1463271635,974,981
1463319506,1017,1025
