DateTime,AddedIPs,RemovedIPs
1452839402,10,0
1452853804,18,0
1452871802,20,0
1452886202,81,39
1452900602,11,0
1452915004,9,0
1452936601,9,0
1452961804,20,54
1452976204,9,0
1452990605,15,0
1453005005,14,0
1453019401,6,0
1453033805,6,0
1453048205,17,55
1453062605,11,0
1453077002,9,0
1453091402,9,0
1453105802,7,0
1453120205,11,0
1453134604,15,58
1453149005,18,0
1453163405,23,0
1453177805,11,0
1453192202,5,0
1453206602,11,0
1453221002,9,55
1453235402,17,0
1453249802,13,0
1453264202,14,0
1453278602,6,0
1453293002,9,0
1453307402,12,56
1453321802,9,0
1453336202,14,0
1453350602,10,0
1453365001,16,0
1453379404,13,0
1453393804,13,0
1453408202,9,64
1453422602,7,3
1453437002,7,1
1453451401,9,0
1453465803,7,0
1453480202,7,76
1453494602,13,0
1453509002,18,0
1453523402,17,0
1453537802,10,0
1453552202,5,0
1453566602,13,0
1453581002,17,114
1453595402,16,0
1453609802,11,0
1453624201,6,0
1453638605,13,0
1453653001,4,107
1453667401,11,0
1453681801,10,0
1453696202,6,0
1453710603,8,0
1453725002,8,0
1453739402,13,143
1453753802,11,0
1453768201,10,0
1453782601,10,0
1453797002,6,0
1453811402,7,0
1453825802,13,1
1453840202,20,171
1453854602,13,0
1453869002,12,0
1453883401,8,0
1453897804,17,0
1453912201,12,0
1453926602,19,55
1453941001,16,0
1453955402,8,0
1453969801,9,0
1453984201,17,0
1453998601,10,0
1454013001,9,105
1454027402,11,0
1454041802,17,0
1454056202,12,0
1454070605,14,0
1454085001,16,0
1454099401,17,123
1454113801,8,0
1454128202,8,0
1454142601,3,0
1454157001,14,0
1454171402,9,0
1454185801,14,166
1454200202,7,0
1454214602,8,0
1454229001,6,0
1454243404,10,0
1454257801,9,0
1454272202,8,65
1454286601,16,0
1454301001,10,0
1454315402,8,0
1454329804,16,0
1454344201,21,0
1454358602,16,60
1454373001,15,0
1454387401,15,0
1454401801,8,0
1454416204,13,0
1454430604,12,0
1454445001,16,80
1454459402,14,0
1454473801,7,0
1454488201,5,0
1454502603,6,0
1454517004,10,0
1454531402,7,68
1454545802,8,0
1454560201,16,0
1454574601,12,0
1454589001,10,0
1454603402,13,0
1454617802,14,64
1454632201,14,0
1454646601,16,0
1454661002,11,0
1454675401,13,0
1454689801,14,0
1454704201,15,60
1454718602,19,0
1454733001,17,0
1454747401,5,0
1454761801,6,0
1454776202,11,0
1454790601,9,73
1454805001,13,0
1454819402,5,0
1454833801,8,0
1454848203,6,0
1454862602,7,0
1454877001,14,74
1454891401,11,0
1454905801,10,0
1454920202,11,0
1454934715,10,0
1454949001,17,0
1454963402,11,48
1454977802,13,0
1454992202,9,0
1455006602,15,0
1455021005,13,0
1455035402,4,0
1455049801,10,0
1455064202,6,59
1455078601,10,0
1455093001,2,0
1455107404,10,0
1455121802,16,0
1455136202,19,74
1455150602,13,0
1455165002,11,0
1455179402,15,0
1455193804,19,0
1455208201,15,0
1455222601,11,0
1455237002,11,76
1455251401,14,0
1455265802,5,0
1455280201,10,0
1455294601,12,0
1455309001,20,77
1455323402,9,0
1455337801,13,0
1455352201,11,0
1455366604,10,0
1455381004,12,0
1455395404,12,70
1455409801,9,0
1455424201,7,0
1455438601,18,0
1455453004,9,0
1455467402,11,0
1455481802,8,56
1455496202,7,0
1455510602,10,0
1455525002,6,0
1455539404,3,0
1455553802,13,0
1455568201,12,56
1455582601,17,0
1455597001,11,0
1455611401,4,0
1455625801,15,0
1455640201,9,0
1455654602,11,95
1455669002,12,0
1455683401,11,0
1455697801,11,0
1455712204,15,0
1455726601,25,0
1455741001,0,576
1455755404,67,67
1455827401,51,51
1455913801,79,79
1455928201,1,1
1455957001,1,1
1456000201,85,85
1456014601,1,1
1456086601,53,53
1456173001,55,55
1456201801,2,2
1456259400,70,70
1456317000,1,1
1456331401,1,1
1456345801,53,53
1456432201,82,82
1456475402,1,1
1456489801,1,1
1456533001,83,83
1456576203,1,1
1456605004,1,1
1456619404,75,75
1456691403,62,62
1456749003,1,1
1456864201,120,120
1456936201,2,2
1456950601,62,62
1457037001,24,24
1457123401,43,43
1457137801,1,1
1457166600,1,1
1457209801,136,136
1457253001,1,1
1457296200,13,13
1457382601,3,3
1457397001,8,8
1457469001,270,270
1457497801,1,1
1457541001,1,1
1457555401,82,82
1457641801,87,87
1457670601,1,1
1457713801,2,2
1457728201,65,65
1457814601,60,60
1457901001,64,64
1457944201,1,1
1457987401,70,70
1458088201,63,63
1458160201,86,86
1458232201,1,1
1458246601,87,87
1458275401,1,1
1458318603,1,1
1458347403,65,65
1458433801,70,70
1458462601,1,1
1458505801,53,53
1458606601,44,44
1458621001,2,2
1458678601,120,120
1458736201,1,1
1458765001,80,80
1458779401,1,1
1458808201,1,1
1458880201,70,70
1458952201,71,71
1458995400,3,3
1459024201,68,68
1459110601,1,1
1459125001,53,53
1459153804,1,1
1459197001,54,54
1459211401,1,1
1459240201,1,1
1459254601,1,1
1459269001,1,1
1459283401,1,1
1459297801,84,84
1459326601,1,1
1459369801,94,94
1459398601,1,1
1459456200,66,66
1459470601,1,1
1459528201,1,1
1459542601,90,90
1459629001,61,61
1459643401,1,1
1459701003,1,1
1459715401,84,84
1459787401,1,1
1459816201,36,36
1459873801,2,2
1459902601,62,62
1459974601,100,100
1460061001,112,112
1460075401,1,1
1460104201,2,2
1460147401,91,91
1460161800,1,1
1460205001,1,1
1460233801,64,64
1460305800,1,1
1460320201,60,60
1460406601,43,43
1460421001,1,1
1460507401,54,54
1460521801,1,1
1460536201,1,1
1460565002,1,1
1460579401,49,49
1460593801,1,1
1460665801,145,145
1460680201,3,3
1460709001,1,1
1460723401,1,1
1460752201,161,161
1460766601,1,1
1460838600,56,56
1460896201,3,3
1460925001,65,65
1460982600,1,1
1461011401,52,52
1461025801,3,3
1461083401,1,1
1461097801,81,81
1461126601,2,2
1461141000,1,1
1461173400,2,2
1461187801,64,64
1461231002,2,2
1461245401,1,1
1461259801,60,60
1461274201,2,2
1461288600,1,1
1461331806,2,2
1461346201,65,65
1461432601,81,81
1461519002,51,51
1461605401,54,54
1461619801,2,2
1461706200,86,86
1461720601,1,1
1461749401,1,1
1461778201,73,73
1461850201,1,1
1461879001,76,76
1461965401,139,139
1461979801,1,1
1462023001,2,2
1462037401,75,75
1462123801,62,62
1462138201,1,1
1462152601,1,1
1462181401,4,4
1462210200,50,50
1462282201,1,1
1462296601,55,55
1462339801,1,1
1462354204,1,1
1462383000,64,64
1462411801,1,1
1462469401,83,83
1462541401,1,1
1462555801,91,91
1462570201,2,2
1462584601,1,1
1462642202,95,95
1462671001,2,2
1462714201,1,1
1462728601,52,52
1462743000,1,1
1462800601,1,1
1462815001,58,58
1462901401,1,1
1462915801,81,81
1462930201,2,2
1462944601,1,1
1462987801,63,63
1463031001,1,1
1463088601,114,114
1463160601,92,92
1463247001,111,111
1463261400,1,1
1463333401,68,68
1463347801,1,1
1463419801,46,46
1463434201,2,2
1463448601,1,1
1463463001,1,1
1463520601,57,57
1463607001,108,108
1463679001,96,96
1463693404,1,1
1463751004,1,1
1463779801,151,151
1463837401,1,1
1463851801,133,133
1463866200,1,1
1463923801,1,1
1463938201,80,80
1463952601,1,1
1464024601,1,1
1464039001,81,81
1464053401,2,2
1464111001,127,127
1464211801,150,150
1464226201,1,1
1464269404,1,1
1464283801,108,108
1464298201,1,1
1464327001,1,1
1464341400,1,1
1464370201,86,86
1464456601,93,93
1464471001,2,2
1464499801,1,1
1464528601,1,1
1464543001,80,80
1464557400,1,1
1464629401,1,1
1464643801,53,53
1464658201,1,1
1464715800,96,96
1464744600,1,1
1464802200,72,72
1464816601,6,6
1464859801,2,2
1464903001,96,96
1464917401,2,2
1464946201,1,1
1464975000,94,94
