DateTime,Entries,UniqueIPs
1457827200,31364,31364
1457870400,30995,30995
1457913600,29609,29609
1457956800,29256,29256
1458000000,31876,31876
1458043200,33369,33369
1458086400,34846,34846
1458129600,36575,36575
1458172800,37670,37670
1458216000,37119,37119
1458259200,37435,37435
1458302400,36503,36503
1458345600,36459,36459
1458388800,36546,36546
1458432000,37269,37269
1458475200,37198,37198
1458518400,36429,36429
1458561600,36227,36227
1458604800,36526,36526
1458648000,36302,36302
1458691200,41096,41096
1458734400,43824,43824
1458777600,46198,46198
1458820800,46490,46490
1458864000,45347,45347
1458907200,43146,43146
1458950400,41259,41259
1458993600,39904,39904
1459036800,38714,38714
1459080000,38033,38033
1459123200,37378,37378
1459166400,37124,37124
1459209600,38938,38938
1459252800,40282,40282
1459296000,41352,41352
1459339200,41271,41271
1459382400,42707,42707
1459425600,42341,42341
1459468800,40739,40739
1459512000,39993,39993
1459555200,40024,40024
1459598400,39997,39997
1459641600,40504,40504
1459684800,41270,41270
1459728000,41893,41893
1459771200,42137,42137
1459814400,42703,42703
1459857600,42152,42152
1459900800,41823,41823
1459944000,40289,40289
1459987200,39242,39242
1460030400,38874,38874
1460074500,39005,39005
1460117700,39040,39040
1460160900,39113,39113
1460204100,39875,39875
1460247300,41121,41121
1460290500,41205,41205
1460333700,40510,40510
1460376900,40227,40227
1460420100,38297,38297
1460463300,36578,36578
1460506500,36289,36289
1460549700,36507,36507
1460592900,37370,37370
1460636100,37752,37752
1460679300,38049,38049
1460722500,38643,38643
1460765700,37965,37965
1460808900,37981,37981
1460852100,38245,38245
1460895300,38119,38119
1460938500,37994,37994
1460981700,37899,37899
1461024900,37296,37296
1461068100,37285,37285
1461111300,37615,37615
1461161700,37704,37704
1461204900,38004,38004
1461248100,38063,38063
1461291300,38829,38829
1461335400,37794,37794
1461378600,37069,37069
1461421800,36789,36789
1461465000,35740,35740
1461508200,35381,35381
1461551400,34111,34111
1461594600,34011,34011
1461637800,35292,35292
1461681000,36703,36703
1461724200,36822,36822
1461767400,37343,37343
1461810600,38746,38746
1461853800,41714,41714
1461897000,42007,42007
1461940200,41403,41403
1461983400,36837,36837
1462026600,36545,36545
1462069800,36925,36925
1462113000,36946,36946
1462156200,36557,36557
1462199400,34817,34817
1462242600,32584,32584
1462285800,33511,33511
1462329000,34813,34813
1462372200,36333,36333
