DateTime,Entries,UniqueIPs
1478772721,9322,9486
1478773322,9328,9492
1478773921,9333,9497
1478774522,9335,9499
1478775122,9338,9502
1478775722,9334,9499
1478776922,9341,9507
1478777521,9343,9508
1478778121,9347,9512
1478779321,9351,9515
1478780521,9364,9528
1478781721,9364,9528
1478782322,9362,9525
1478783522,9367,9530
1478784122,9369,9532
1478785321,9370,9533
1478785921,9373,9535
1478787122,9387,9549
1478787722,9388,9550
1478788321,9392,9554
1478788922,9396,9558
1478789521,9395,9557
1478790122,9397,9559
1478790722,9400,9562
1478791321,9402,9564
1478791922,9406,9568
1478792522,9403,9565
1478793121,9409,9571
1478793721,9404,9565
1478794321,9409,9570
1478794921,9411,9572
1478795521,9412,9573
1478796122,9384,9543
1478796722,9390,9549
1478797322,9414,9573
1478797921,9416,9575
1478798522,9409,9568
1478799122,9413,9572
1478799721,9417,9576
1478800921,9440,9599
1478801522,9442,9601
1478802122,9440,9598
1478802722,9442,9600
1478803322,9452,9612
1478803922,9452,9612
1478805122,9452,9612
1478805722,9450,9610
1478806921,9440,9600
1478808122,9442,9602
1478808722,9435,9595
1478809321,9431,9591
1478810522,9428,9588
1478811121,9430,9590
1478811722,9437,9597
1478812921,9434,9594
1478813521,9438,9598
1478814122,9442,9602
1478814721,9448,9608
1478815321,9458,9619
1478815922,9461,9622
1478816521,9463,9624
1478817122,9465,9626
1478817722,9469,9630
1478818322,9474,9635
1478818921,9468,9629
1478819522,9467,9628
1478820122,9476,9637
1478820721,9477,9638
1478821322,9471,9631
1478821921,9472,9634
1478822522,9485,9647
1478823121,9486,9647
1478824921,9477,9638
1478825522,9478,9639
1478826121,9481,9642
1478827322,9486,9647
1478827921,9488,9649
1478828521,9496,9657
1478829122,9498,9659
1478829722,9500,9661
1478830322,9489,9653
1478830922,9492,9656
1478832123,9488,9651
1478832722,9494,9657
1478833321,9496,9659
1478833922,9500,9663
1478834522,9505,9668
1478835121,9508,9671
1478835722,9517,9681
1478836322,9518,9682
1478836922,9522,9686
1478837522,9516,9680
1478838122,9517,9681
1478838722,9515,9679
1478839322,9521,9685
1478839921,9519,9683
1478841121,9518,9682
1478841723,9524,9688
1478842921,9530,9694
1478843521,9530,9694
1478844122,9530,9693
1478845322,9529,9692
1478845921,9531,9694
1478847721,9536,9699
1478848922,9535,9698
1478850122,9529,9692
1478850722,9535,9698
1478851322,9534,9697
1478852522,9531,9694
1478853122,9537,9699
1478853722,9539,9701
1478854322,9530,9691
1478854921,9530,9691
1478855521,9534,9695
1478856122,9536,9697
1478856722,9533,9694
1478857322,9524,9685
1478857922,9526,9687
1478858522,9530,9691
1478859722,9529,9690
1478860321,9527,9688
1478861521,9530,9691
1478862122,9529,9690
1478863322,9528,9689
1478863922,9525,9686
1478864522,9525,9686
1478865122,9524,9685
1478865722,9525,9685
1478866322,9528,9688
1478866922,9530,9689
1478867521,9539,9699
1478868122,9540,9700
1478869322,9531,9690
1478870522,9537,9695
1478871722,9528,9686
1478872321,9537,9695
1478872922,9539,9697
1478874121,9540,9697
1478874721,9536,9693
1478875322,9537,9694
1478875921,9543,9700
1478876522,9534,9689
1478877721,9524,9678
1478878321,9526,9680
1478878921,9522,9677
1478879521,9521,9676
1478880122,9511,9666
1478880721,9514,9669
1478881321,9514,9669
1478881922,9516,9671
1478882522,9506,9661
1478883721,9478,9633
1478884321,9478,9633
1478884922,9489,9644
1478885522,9491,9647
1478886122,9497,9653
1478887321,9488,9644
1478887928,9490,9646
1478888522,9495,9651
1478889121,9500,9656
1478889721,9503,9659
1478890922,9505,9661
1478891522,9507,9663
1478892121,9508,9664
1478892721,9507,9664
1478893321,9496,9654
1478894521,9494,9650
1478895123,9495,9651
1478895722,9490,9645
1478896922,9489,9644
1478897521,9495,9650
1478898122,9500,9655
1478898722,9500,9655
1478899322,9497,9652
1478899921,9510,9665
1478900522,9512,9667
1478901722,9514,9669
1478902921,9513,9668
1478903522,9515,9668
1478904122,9509,9662
1478904722,9511,9664
1478905322,9519,9672
1478906522,9519,9672
1478907122,9525,9678
1478907721,9517,9670
1478908321,9521,9674
1478908922,9528,9682
1478909522,9530,9684
1478910122,9524,9678
1478910723,9523,9677
1478911922,9517,9672
1478912522,9519,9674
1478913122,9522,9677
1478913722,9521,9676
1478914321,9520,9675
1478914921,9521,9676
1478916122,9513,9668
1478916722,9514,9669
1478917321,9516,9671
1478918521,9521,9676
1478919122,9519,9674
1478919722,9520,9675
1478920321,9518,9673
1478920922,9519,9674
1478921521,9524,9679
1478922123,9529,9684
1478923321,9540,9695
1478924522,9537,9691
1478925122,9540,9694
1478925721,9513,9664
1478926922,9508,9659
1478928121,9513,9664
1478928722,9520,9671
1478929322,9523,9674
1478929921,9521,9672
1478930521,9525,9676
1478931121,9522,9673
1478931722,9528,9679
1478932322,9519,9670
1478932922,9510,9661
1478933522,9512,9663
1478934122,9509,9660
1478934721,9511,9662
1478935322,9511,9662
1478937122,9504,9655
1478937722,9510,9661
1478938922,9495,9646
1478939521,9487,9638
1478940121,9488,9639
