DateTime,AddedIPs,RemovedIPs
1479081122,80,80
1479081722,80,80
1479082323,74,74
1479082921,76,76
1479083522,80,80
1479084121,80,80
1479084721,80,80
1479085332,72,72
1479085922,79,79
1479086527,80,80
1479087121,80,80
1479087722,80,80
1479088322,80,80
1479088921,37,37
1479089522,80,80
1479090122,80,80
1479091322,80,80
1479092521,79,79
1479093121,80,80
1479093722,78,78
1479094322,70,70
1479094922,75,75
1479095522,72,72
1479096121,78,78
1479096722,77,77
1479097322,80,80
1479097921,80,80
1479098522,80,80
1479099121,78,78
1479099721,80,80
1479100322,77,77
1479100921,80,80
1479102122,80,80
1479102722,80,80
1479103322,80,80
1479103922,79,79
1479104521,80,80
1479105122,78,78
1479105722,80,80
1479106321,78,78
1479106922,80,80
1479107522,80,80
1479108141,80,80
1479108722,80,80
1479109321,80,80
1479110522,80,80
1479111122,80,80
1479111721,78,78
1479112922,80,80
1479113522,78,78
1479114122,80,80
1479114721,80,80
1479115321,80,80
1479115921,80,80
1479116521,80,80
1479117121,80,80
1479117721,75,75
1479118322,79,79
1479118922,80,80
1479119522,80,80
1479120121,80,80
1479120722,80,80
1479121322,80,80
1479121922,79,79
1479122521,80,80
1479123122,80,80
1479123722,79,79
1479124322,79,79
1479124922,79,79
1479125521,80,80
1479126121,77,77
1479126722,77,77
1479127321,79,79
1479127922,79,79
1479128522,77,77
1479129121,80,80
1479129722,80,80
1479130321,80,80
1479130923,79,79
1479131522,78,78
1479132121,80,80
1479132721,75,75
1479133321,76,76
1479133922,74,74
1479134522,80,80
1479135122,70,70
1479135722,79,79
1479136321,71,71
1479136921,79,79
1479137522,80,80
1479138122,80,80
1479138721,80,80
1479139322,80,80
1479139921,80,80
1479140521,68,68
1479141122,80,80
1479141721,71,71
1479142322,74,74
1479142921,80,80
1479143521,80,80
1479144121,80,80
1479144721,80,80
1479145321,80,80
1479145921,78,78
1479146522,80,80
1479147122,80,80
1479148321,80,80
1479148922,80,80
1479149522,79,79
1479150121,79,79
1479150721,80,80
1479151922,80,80
1479152522,79,79
1479153722,80,80
1479154321,80,80
1479154923,80,80
1479155522,80,80
1479156121,80,80
1479156721,80,80
1479157321,76,76
1479157922,80,80
1479158522,78,78
1479159121,80,80
1479159722,80,80
1479160322,80,80
1479160921,80,80
1479161522,78,78
1479162122,79,79
1479162721,79,79
1479163322,80,80
1479163922,80,80
1479164521,76,76
1479165121,80,80
1479165722,80,80
1479166921,80,80
1479167522,80,80
1479168121,76,76
1479168722,78,78
1479169322,78,78
1479169922,80,80
1479170521,80,80
1479171122,80,80
1479171721,80,80
1479172322,76,76
1479172922,80,80
1479173521,80,80
1479174121,71,71
1479174721,80,80
1479175321,74,74
1479175922,61,61
1479176522,80,80
1479177121,80,80
1479177721,75,75
1479178322,73,73
1479178923,79,79
1479179521,80,80
1479180123,80,80
1479180722,80,80
1479181322,66,66
1479181922,80,80
1479182521,80,80
1479183722,77,77
1479184322,72,72
1479184922,70,70
1479186121,80,80
1479186721,80,80
1479187321,80,80
1479187921,80,80
1479188521,80,80
1479189123,80,80
1479189722,80,80
1479190322,78,78
1479190921,80,80
1479191521,77,77
1479192122,79,79
1479192721,79,79
1479193322,79,79
1479193921,79,79
1479194522,80,80
1479195121,74,74
1479195721,78,78
1479196322,80,80
1479196922,80,80
1479197522,80,80
1479198122,79,79
1479199321,80,80
1479199921,79,79
1479200522,80,80
1479201122,80,80
1479201722,80,80
1479202321,80,80
1479202921,78,78
1479203522,80,80
1479204121,80,80
1479204721,80,80
1479205321,80,80
1479205921,80,80
1479206521,80,80
1479207122,80,80
1479207722,74,74
1479208322,80,80
1479208921,80,80
1479209522,80,80
1479210122,80,80
1479211321,80,80
1479211921,80,80
1479212521,80,80
1479213721,80,80
1479214322,80,80
1479214921,73,73
1479215521,79,79
1479216122,65,65
1479216721,78,78
1479217321,80,80
1479217921,80,80
1479218522,79,79
1479219121,77,77
1479219721,75,75
1479220921,76,76
1479221522,80,80
1479222121,80,80
1479222722,77,77
1479223322,79,79
1479223921,73,73
1479224522,77,77
1479225122,80,80
1479225721,80,80
1479226321,80,80
1479226922,77,77
1479227521,77,77
1479228121,80,80
1479228721,80,80
1479229322,80,80
1479229921,80,80
1479230522,80,80
1479231121,80,80
1479231722,80,80
1479232322,77,77
1479232922,66,66
1479233521,76,76
1479234121,72,72
1479234721,80,80
1479235322,80,80
1479236522,33,33
1479237122,80,80
1479237722,80,80
1479238322,80,80
1479238922,80,80
1479239522,47,47
1479240121,80,80
1479240722,80,80
1479241322,80,80
1479242522,79,79
1479243121,73,73
1479243721,76,76
1479244321,80,80
1479244922,80,80
1479245522,80,80
1479246122,80,80
1479246721,79,79
1479247321,74,74
1479247922,80,80
1479248521,80,80
1479249722,80,80
1479250322,77,77
1479250922,80,80
1479251522,77,77
1479252122,80,80
1479253321,79,79
1479254522,80,80
1479255121,79,79
1479255723,74,74
1479256322,79,79
1479256921,76,76
1479258122,79,79
1479259322,79,79
1479259921,78,78
1479260522,80,80
1479261121,80,80
1479261721,78,78
1479262321,80,80
1479262921,76,76
1479264123,79,79
1479265325,80,80
1479266550,79,79
1479267143,76,76
1479267738,76,76
1479268324,80,80
1479268935,80,80
1479270162,80,80
1479270761,79,79
1479271322,80,80
1479271929,80,80
1479272560,80,80
1479273122,80,80
1479273721,77,77
1479274322,78,78
1479274922,80,80
1479275521,77,77
1479276122,78,78
1479276721,79,79
1479277323,48,48
1479278521,80,80
1479279123,79,79
1479279721,77,77
1479280322,80,80
1479280922,76,76
1479281531,79,79
1479282121,80,80
1479282723,80,80
1479283321,79,79
1479283926,80,80
1479284522,77,77
1479285126,72,72
1479285721,80,80
1479286321,80,80
1479286922,80,80
1479288122,80,80
1479289322,80,80
1479289922,80,80
1479290521,78,78
1479291121,80,80
1479291722,75,75
1479292322,79,79
1479292922,79,79
1479294122,76,76
1479295321,79,79
1479295921,76,76
1479296522,80,80
1479297121,78,78
