DateTime,AddedIPs,RemovedIPs
1463360808,52480,0
1463403997,0,32
1463407648,0,7183
1463411204,3,4116
1463422003,0,16384
1463429204,0,19
1463432804,0,256
1463490429,0,3077
1463494026,0,1024
1463515617,0,399
1463573221,0,3584
1463587643,0,24608
1463591230,0,256
1463605627,0,8
1463609223,0,1510
1463620027,20726,0
1463666836,0,1034
1463674020,3,261
1463692030,0,2575
1463717220,1792,0
1463753242,0,523
1463774839,5376,264
1463789215,24801,0
1463879226,768,0
1464102480,0,7214
1464113256,3,35600
1464124039,32,9500
1464167222,0,408
1464206879,0,69391
1464224827,768,1024
1464268037,0,223
1464271633,1,340
1464293255,0,19
1464311225,40443,0
1464354426,0,508
1464361634,0,500
1464379627,3,64
1464404819,67067,0
1464700024,0,537
1464707231,0,605
1464714442,0,33
1464725229,0,2315
1464782825,0,270
1464786412,0,1153
1464797234,2,278
1464804423,0,261
1464862034,0,190
1464872824,0,6154
1464880024,0,31
1464955618,0,21
1464970033,0,206
1464973617,0,1872
1464977252,2,76
1465009625,881,0
1465171600,512,0
1465218409,0,528
1465229212,0,12
1465254415,0,5
1465304819,0,4347
1465308416,0,36
1465312018,0,65795
1465330013,0,31
1465394809,0,1814
1465412815,0,5883
1465423615,0,5
1465484802,0,553
1465502813,0,10
1465506406,0,10
1465524413,65126,0
1465564020,0,5
1465571205,0,139
1465582026,0,6149
1465592808,0,20
1465603603,5622,0
1465783609,5632,0
1465834013,0,2486
1465837611,0,5
1465852005,0,15
1465906020,0,782
1465927614,0,1059
1466014016,3,1048
1466017604,0,256
1466035615,257,0
1466082413,0,10
1466086056,0,11
1466093212,0,10
1466107615,0,5
1466122004,768,0
1466179616,6,593
1466197602,0,8192
1466384804,7936,0
1466435211,4,2571
1466438805,0,16384
1466442403,0,337
1466449608,0,89
1466518006,0,522
1466521593,0,5
1466600800,0,15
1466604404,0,246
1466615248,0,502
1466626023,0,1033
1466629611,0,40
1466640430,17884,0
1466694415,0,3785
1466708820,0,3072
1466737620,0,870
1466773623,0,1256
1466798831,0,5
1466824031,725,237
1466899609,5301,0
1466986003,751,0
1467050850,2,99
1467054411,0,276
1467061608,6,493
1467119222,0,8453
1467148028,0,266
1467212846,0,284
1467227217,0,512
1467292014,0,17411
1467310016,0,486
1467335225,7936,0
1467364011,0,5
1467378416,0,497
1467385629,0,1024
1467403623,0,18687
1467504405,16128,0
1467590813,16366,0
1467724018,0,4372
1467727615,11,2112
1467734828,0,266
1467749220,0,527
1467803207,0,128
1467817628,0,8908
1467832031,0,500
1467846428,0,16400
1467900417,0,67338
1467914831,0,4388
1467943623,3840,0
1467990437,0,276
1468019230,0,773
1468026412,14080,0
1468156013,69097,0
1468195608,256,0
1468274833,0,744
1468336051,0,263
1468346825,0,260
1468357624,0,5
1468415249,3,25347
1468422430,0,51
1468429617,0,8
1468440416,0,5
1468451233,0,10
1468454827,256,0
1468501657,0,2560
1468508823,0,8346
1468534038,0,286
1468591630,0,261
1468609631,3,734
1468627638,24310,0
1468714015,9984,0
1468800415,236,0
1468843656,0,5
1468847237,0,173
1468854455,0,961
1468868842,0,266
1468879621,0,5
1468933661,0,5
1468937242,0,8983
1468955244,0,1027
1469020032,0,236
1469030659,0,1273
1469034432,5,0
1469048831,0,9440
1469117260,0,686
1469135229,0,2043
1469146030,1024,0
1469203619,0,4087
1469210810,3,14
1469232418,7936,0
1469552815,3,528402
1469556427,0,1310
1469567213,0,256
1469624832,0,763
1469704117,524041,1271
1469718450,0,5
1469736463,0,2076
1469743637,0,1
1469761673,1024,0
1469801263,0,262410
1469812039,0,5
1469826440,0,2053
1469837224,246,0
1469923618,768,0
1470010018,263680,0
1470064059,0,1067
1470074853,0,1045
1470143249,0,6150
1470150437,0,265
1470168437,1,2303
1470233258,0,9231
1470240452,0,69632
1470247646,0,1
1470254821,2,270
1470272828,1024,0
1470323259,3,4560
1470348431,0,5120
1470359231,1798,0
1471446699,26897,108116
1471450125,0,5
1471457502,0,864
1471460867,0,66336
1471479005,0,10
1471533282,0,136
1471558073,0,256
1471572532,7931,0
1471576191,32768,0
1471590445,32768,0
1471608616,3,1283
1471623259,0,414
1471630203,0,81
1471644466,0,1
1471738194,246,0
1471874662,0,1048614
1471882159,0,51
1471893116,0,260
1471907406,0,512
1471958184,3,0
1471961610,0,15
1471976087,0,175
1471979348,0,60
1472008127,1048320,0
1472022628,0,5
1472087619,0,214
1472134352,19,17029
1472137922,0,4214
1472145247,0,543
1472148557,0,8298
1472156027,0,8204
1472202705,0,256
1472216981,0,5
1472224499,1,2147
1472227957,0,6
1472245949,0,1290
1472263770,16123,0
1472282081,7606,0
1472289069,7936,0
1472353797,1792,0
1472375429,256,0
1472480075,0,507
1472490791,0,5
1472493864,0,25
1472501667,0,2309
1472566120,28,1034
1472569972,0,439
1472573509,0,254
1472584553,0,5
1472587731,3,27
1472609344,0,256
1472652906,0,2412
1472656407,0,23
1472659972,0,5
1472663501,0,255
1472667067,0,315
1472670778,0,32783
1472735730,0,5
1472746271,0,642
1472753492,0,1
1472768511,0,761
1472825583,0,275
1472828946,0,2063
1472832712,3,32
1472836301,0,1280
1472850592,0,389
1473181787,3,7928
1473196373,0,16389
1473250580,3,5
1473253744,0,273
1473257547,0,2048
1473264708,0,1018
1473275665,0,256
1473279167,0,11
1473286286,0,768
1473296938,1787,0
1473336787,0,16
1473344016,0,272
1473361998,0,5
1473685671,0,245
1473689308,1,328
1473692929,6,21
1473696538,0,2331
1473703884,3,281
1473718459,0,6
1473779755,9,1
1473787065,0,6160
1473797525,0,94
1473804905,0,256
1473862167,0,5
1473869857,0,257
1473876804,0,512
1473884111,3,256
1473945248,0,15
1473952416,0,428
1473959362,0,562
1474028230,0,5
1474031387,255,351
1474035036,2,1287
1474042474,0,2079
1474049580,163840,7631
1474052664,195,0
1474056562,0,195
1474294161,0,3
1474298039,0,1039
1474301357,0,11
1474305185,0,10
1474312410,0,10
1474380948,0,644
1474391510,0,1
1474395074,0,251
1474402462,0,5
1474409431,0,256
1474467262,0,10
1474485696,0,1
1474528378,0,10
1474557267,0,761
1474560843,0,1797
1474564207,0,3080
1474568074,0,3334
1474586144,0,8258
1474640156,0,3729
1474643098,0,151
1474650988,1,1973
1474895445,0,470
1474906316,2,25171
1474909706,0,249
1474916994,0,371
1474981821,0,10
1474985723,3,13
1475003666,0,1082
1475006995,0,10
1475010798,0,167
1475068826,0,2058
1475071786,0,2671
1475075684,8,2055
1475078988,0,256
1475111559,0,65281
1475143495,6,0
1475147481,0,6
1475154627,0,6
1475158394,0,126
1475186961,3,780
1475244746,6,565
1475255705,0,586
1475262846,0,5
1475266431,0,256
1475511680,0,2080
1475514625,0,256
1475518369,0,13
1475532653,0,256
1475587056,0,11
1475590233,3,2058
1475593763,0,5
1475597616,3,282
1475600686,16,0
1475604912,0,16
1475608184,0,1
1475611806,0,256
1475619409,0,5
1475673142,3,134
1475676875,0,512
1475698440,6,11
1475702153,0,256
1475744983,15,256
1475759670,0,41
1475770695,0,1280
1475777827,0,266
1475784878,0,238
1475791839,3,534
1475828020,0,5
1475835089,0,476
1475864829,0,826
1475867719,0,768
1475924959,0,244
1476101578,0,31
1476104910,0,1292
1476108644,0,4358
1476187736,4,423
1476191316,5,2283
1476195049,0,745
1476202575,0,463
1476205729,0,65541
1476209441,0,5
1476216865,0,5
1476227568,0,251
1476274147,0,20
1476277814,0,1803
1476288776,0,10
1476364149,0,973
1476367733,0,17
1476378528,0,7
1476385728,0,508
1476389376,0,10
1476458103,0,765
1476465117,0,32768
1476735014,0,276
1476738684,0,735
1476742299,0,512
1476763755,0,5
1476800003,0,17
1476803328,0,2128
1476810587,0,5676
1476818012,0,365
1476889722,0,2818
1476907866,0,10
1476915196,0,251
1476951063,0,128
1476983518,0,1469
1476994553,0,8
1477062761,8,2831
1477066167,0,74
1477080687,3,35
1477084097,0,502
1477314688,0,6
1477318571,0,930
1477333028,0,4408
1477343382,2,2583
1477350284,63,0
1477354261,0,63
1477379517,0,10
1477404801,0,1024
1477415706,0,4603
1477422805,3,276
1477495004,0,5341
1477520118,0,1024
1477534219,256,0
1477573982,0,29
1477591976,0,9
1477595811,0,138
1477664236,0,1260
1477682221,0,7008
1477685430,0,1708961
1477689178,1065216,9984
1477692789,855547,0
1477699754,3762595,0
1477714448,216439,0
1477811325,256,0
1477815109,4864,0
1477919817,0,378
1477923073,0,768
1477941281,112643,1181739
1478009509,0,456
1478049357,0,5630
1478092297,0,5
1478103311,3,2064
1478117856,2304,6157
1478178920,0,5
1478182223,0,256
1478196921,3072,2060
1478207656,1280,11020
1478211028,0,4864
1478275861,0,1398
1478279445,3584,0
1478294025,0,1312
1478297523,0,1024
1478337122,7936,0
1478542247,0,9354
1478557243,3,79
1478560431,0,1008
1478571329,0,5
1478574571,0,65526
1478618093,0,1515
1478621339,3,538
1478625163,0,11287
1478643270,768,5
1478653913,0,13568
1478671847,7931,0
1478704527,0,2283
1478711665,0,16
1478715267,0,256
1478754587,7926,0
1478776446,0,90092
1478794471,4,2054
1478808591,0,608
1478834010,0,196598
1478888390,0,486
1479132927,0,17
1479136148,3,272
1479146942,14080,9728
1479157715,0,256
1479219177,0,5
1479222574,0,2048
1479226144,0,2048
1479233563,0,57712
1479247964,0,488
1479316359,0,2314
1479319954,0,278
1479323550,3,17
1479327021,0,2309
1479377574,0,5
1479395573,0,4367
1479399213,0,5
