DateTime,AddedIPs,RemovedIPs
1476447141,1728,4801
1476458104,3016,17942
1476465119,1537,8738
1476468615,597,2350
1476472315,632,3322
1476475777,734,3575
1476483163,2214,6405
1476486692,656,3447
1476490202,432,1238
1476493784,430,2327
1476504745,3308,7927
1476515427,4986,6026
1476526659,4643,10820
1476529799,757,2905
1476533513,815,3565
1476537011,867,5395
1476540701,1188,6374
1476544200,1181,6936
1476547837,1119,5923
1476555223,2221,6851
1476562304,2310,6721
1476565959,694,3751
1476573304,1132,5297
1476580089,1200,5153
1476583895,778,4095
1476587405,959,2910
1476591106,819,3032
1476594602,1048,2282
1476598095,1207,1625
1476605349,2418,3963
1476608996,868,4583
1476612490,590,3940
1476616232,490,4792
1476623465,1807,8468
1476627037,1002,7037
1476634359,2918,9881
1476637876,1346,5190
1476641466,1229,2701
1476649010,2959,5222
1476662949,2202,1236
1476670387,1840,533
1476673711,1054,326
1476677517,1500,488
1476698989,5139,2776
1476702457,15,282
1476713393,6649,2592
1476716920,925,966
1476720525,602,865
1476724104,982,815
1476731477,2623,1685
1476735015,913,647
1476738685,1748,576
1476742300,1268,475
1476745885,1049,474
1476763756,6547,2802
1476767498,2427,868
1476771090,2137,959
1476774511,633,1207
1476778120,745,459
1476789112,3895,1328
1476792546,2346,492
1476800004,5185,1350
1476803329,1826,752
1476810588,1509,968
1476818013,2306,547
1476821521,702,241
1476825023,453,411
1476828517,437,971
1476832108,530,2225
1476839513,1232,2389
1476846528,1730,2157
1476850106,836,530
1476853739,799,1140
1476857329,935,1449
1476860917,462,1194
1476868235,1058,3593
1476889724,8724,28196
1476893375,2692,5780
1476896921,2639,3051
1476904218,4465,10541
1476907867,1216,4553
1476915199,1744,7677
1476936770,2740,16642
1476940123,537,1317
1476943705,555,1279
1476947490,1027,2565
1476951064,1205,2686
1476954519,1129,4084
1476961989,2393,9463
1476965333,1350,4380
1476983520,8465,18416
1476994554,4503,8123
1476997900,1049,3518
1477001524,1121,3369
1477004910,677,2810
1477008499,493,3056
1477019548,1283,5501
1477022910,922,2748
1477026672,475,3130
1477030093,425,1831
1477037473,806,1185
1477041078,1219,772
1477048339,1551,1375
