DateTime,AddedIPs,RemovedIPs
1467580504,0,1
1467587705,0,1
1467614704,3,0
1467641705,1,0
1467643504,1,0
1467645305,1,0
1467654304,0,2
1467729904,2,0
1467731704,1,0
1467740705,1,0
1467755104,0,1
1467774904,0,1
1467787505,1,0
1467794705,1,0
1467814504,0,2
1467825304,0,1
1467828905,1,0
1467845104,0,2
1467850504,0,1
1467875705,0,1
1467888304,1,0
1467893704,3,0
1467899103,0,1
1467947704,0,1
1467954906,0,1
1467985505,0,1
1467989104,0,1
1468007105,0,1
1468016104,0,1
1468021504,0,1
1468041305,0,2
1468071905,0,1
1468100705,0,1
1468102505,0,1
1468131306,0,1
1468161905,0,1
1468172705,0,1
1468226705,1,0
1468237504,1,0
1468239304,1,0
1468242904,1,0
1468275304,0,1
1468305906,1,0
1468307706,1,0
1468341904,1,0
1468361705,0,1
1468385108,0,1
1468392305,1,0
1468404004,0,1
1468471506,1,0
1468480506,2,0
1468485907,0,1
1468500304,1,0
1468536305,0,1
1468561506,1,0
1468577704,0,2
1468581304,3,0
1468595705,0,2
1468597504,0,2
1468660505,2,0
1468768506,0,1
1468772106,1,0
1468791905,0,1
1468829707,2,1
1468865705,0,1
1468943107,0,1
1469020505,0,1
1469042105,1,0
1469072705,0,1
1469087107,2,0
1469092505,1,0
1469094305,1,0
1469119506,0,1
1469128506,0,1
1469148306,0,1
1469150105,0,1
1469196905,0,1
1469220306,0,3
1469259908,0,1
1469279705,0,1
1469403905,0,1
1469407505,0,1
1469430906,1,0
1469434507,1,0
1469438107,0,1
1469439908,1,0
1469447104,1,0
1469472304,0,1
1469492105,0,1
1469502905,0,1
1469531706,0,1
1469546106,1,0
1469560507,0,3
1469565905,0,1
1469607306,1,0
1469621705,0,1
1469650505,0,1
1469652305,0,1
1469668505,0,1
1469686507,0,1
1469688308,0,1
1469690107,2,0
1469738706,0,1
1469781907,1,0
1469801705,0,1
1469803505,0,3
1469828706,0,1
1469839505,0,1
1469866508,2,0
1469920505,1,0
1469922306,0,1
1470041109,1,0
1470042910,1,0
1470127507,1,0
1470147307,0,1
1470206708,0,1
1470217506,0,2
1470235506,0,1
1470240907,1,0
1470287709,0,1
1470305706,0,1
1470309306,0,3
1470338106,0,1
1470354306,0,1
1470384912,1,0
1470386708,1,0
