DateTime,Entries,UniqueIPs
1478431321,4475,4519
1478432522,4475,4519
1478433121,4464,4508
1478434922,4462,4506
1478437321,4446,4490
1478442122,4444,4488
1478442722,4443,4487
1478444521,4442,4486
1478445122,4441,4485
1478446921,4434,4478
1478449322,4433,4477
1478451722,4432,4476
1478454122,4430,4474
1478455321,4431,4475
1478458922,4430,4474
1478461322,4420,4464
1478461922,4416,4460
1478462522,4415,4459
1478463721,4414,4458
1478464322,4416,4460
1478466121,4397,4441
1478466721,4399,4443
1478468521,4402,4446
1478470322,4401,4445
1478472121,4395,4439
1478473922,4397,4441
1478474521,4399,4443
1478475722,4398,4442
1478476922,4385,4429
1478477522,4384,4428
1478479321,4383,4427
1478480521,4378,4422
1478481121,4372,4416
1478482922,4371,4415
1478484122,4372,4416
1478485321,4353,4396
1478486521,4349,4392
1478487721,4333,4376
1478488922,4325,4368
1478490727,4324,4367
1478491322,4312,4355
1478494323,4311,4354
1478494921,4295,4338
1478497322,4293,4336
1478497921,4292,4335
1478498521,4293,4336
1478499721,4286,4329
1478500922,4286,4329
1478501522,4286,4329
1478502122,4280,4323
1478504522,4277,4320
1478505721,4262,4305
1478506922,4259,4301
1478509322,4255,4297
1478509921,4254,4296
1478510521,4253,4295
1478512922,4250,4292
1478514122,4248,4290
1478515922,4244,4286
1478516521,4233,4275
1478517122,4235,4277
1478518921,4231,4273
1478520122,4231,4273
1478521322,4230,4272
1478522521,4227,4269
1478523122,4228,4270
1478524922,4227,4269
1478525521,4225,4267
1478526722,4220,4262
1478527322,4220,4261
1478528522,4220,4261
1478529721,4210,4251
1478530921,4209,4250
1478534522,4197,4238
1478535121,4196,4237
1478535721,4199,4240
1478536921,4197,4238
1478538722,4198,4239
1478540521,4192,4233
1478541721,4190,4231
1478545321,4191,4232
1478545922,4180,4221
1478546522,4172,4213
1478547721,4170,4211
1478548922,4169,4210
1478550121,4166,4207
1478551322,4158,4199
1478552522,4156,4197
1478554322,4157,4198
1478555522,4158,4199
1478556121,4147,4188
1478558522,4155,4196
1478559121,4167,4210
1478559721,4167,4210
1478560921,4170,4218
1478561522,4173,4221
1478562121,4171,4219
1478562721,4171,4220
1478563321,4171,4222
1478563922,4171,4225
1478564522,4168,4222
1478565121,4169,4223
1478565722,4171,4225
1478566322,4146,4200
1478567521,4146,4201
1478569322,4138,4193
1478569921,4136,4191
1478570521,4137,4192
1478571121,4138,4193
1478572321,4134,4189
1478572922,4131,4186
1478574121,4126,4181
1478574721,4124,4181
1478575921,4122,4179
1478576521,4113,4170
1478577122,4112,4169
1478577721,4113,4170
1478578922,4112,4169
1478579522,4108,4165
1478580122,4109,4166
1478581321,4106,4163
1478582522,4104,4161
1478583122,4092,4149
1478583721,4091,4148
1478584321,4084,4141
1478584921,4082,4139
1478587322,4051,4106
1478588521,4050,4105
1478590321,4048,4104
1478591521,4047,4103
1478593321,4048,4104
1478594521,4082,4139
1478596922,4083,4140
1478597522,4081,4138
1478598722,4074,4131
1478599321,4073,4130
1478600521,4072,4129
1478601122,4071,4128
1478601721,4070,4127
1478602322,4067,4124
1478602922,4066,4123
1478604721,4065,4122
1478605321,4086,4144
1478605921,4080,4138
1478607122,4079,4137
1478610121,4078,4136
1478611321,4080,4138
1478614321,4078,4136
1478614922,4067,4125
1478617321,4065,4123
1478618522,4063,4121
1478619722,4055,4113
1478620322,4053,4111
1478622121,4052,4109
1478622722,4053,4110
1478623321,4048,4105
1478623921,4045,4102
1478625122,4044,4101
1478626921,4045,4102
1478629921,4044,4101
1478630521,4043,4100
1478631721,4039,4096
1478632921,4040,4097
1478633522,4041,4098
1478634122,4037,4094
1478635321,4039,4096
1478638921,4036,4093
1478640121,4034,4094
1478640721,4031,4091
1478641322,4033,4093
1478641921,4035,4095
1478643121,4033,4093
1478643722,4031,4091
1478644321,4037,4097
1478644921,4035,4095
1478646121,4037,4097
1478647921,4032,4092
1478649122,4030,4091
1478649721,4028,4089
1478650921,4028,4089
1478652121,4024,4086
1478652722,4024,4086
1478653322,4023,4085
1478655721,4014,4076
