DateTime,AddedIPs,RemovedIPs
1441458051,1808,1864
1441544449,1767,2261
1441630850,1940,2764
1441717249,1880,2385
1441803650,1992,2256
1441890048,1818,2169
1441976449,2015,2204
1442062849,1777,1936
1442149247,1683,2360
1442235649,2000,2471
1442322050,2322,2139
1442408451,1914,2135
1442494850,2334,2391
1442581249,2123,2184
1442667649,2228,1734
1442754051,1658,2080
1442840450,1980,2458
1442926852,2092,2166
1443013251,2293,2455
1443099651,1912,1827
1443186051,1574,1832
1443272452,1570,1773
1443358850,1372,2239
1443445249,1718,2796
1443531649,2134,2385
1443618047,2162,2494
1443704446,2044,2252
1443790846,1781,2031
1443877246,1998,2028
1443963646,1574,2457
1444050046,1926,2284
1444136446,2043,2217
1444222846,2017,2540
1444309246,1999,2260
1444395645,2137,1983
1444482045,1855,2009
1444568444,1539,2124
1444654844,1944,2380
1444741245,1924,2271
1444827643,2156,1900
1444914042,1696,1992
1445000442,1812,1762
1445086843,1631,1545
1445173242,1574,2212
1445259642,1704,1995
1445346042,1776,1752
1445432442,1720,2009
1445518842,1772,1724
1445605242,1679,1707
1445691642,1744,1795
1445778041,1314,2152
1445864441,1860,3328
1445950841,1837,2521
1446037239,1826,2607
1446123640,1988,2211
1446210040,1926,1901
1446296441,1586,1688
1446382840,1415,2114
1446469239,1630,2302
1446555639,1642,2217
1446642040,1658,2120
1446728440,1660,1929
1446814839,1679,2019
1446901240,1562,1760
1446987640,1459,2208
1447074039,1575,2183
1447160439,1688,2468
1447246838,1628,2085
1447333239,1616,1997
1447419637,2177,3135
1447506037,1358,5399
1447592436,1256,2401
1447678837,1561,2286
1447765236,1729,7261
1447851636,1867,3570
1447938035,1870,2478
1448024435,1542,1908
1448110835,4707,1961
1448197235,1534,2222
1448283635,1589,2183
1448370034,1880,2048
1448456434,1699,2400
1448542834,1777,1978
1448629233,1775,1931
1448715632,1632,1833
1448802032,1595,2033
1448888432,1793,2352
1448974832,1845,2250
1449061231,2000,1832
1449147630,1945,2192
1449234030,2014,1782
1449320430,1752,1883
1449406830,1598,1831
1449493229,1759,1917
1449579629,1886,2146
1449666029,2048,2191
1449752429,1607,1919
1449838828,1881,1607
1449925228,1637,1725
1450011628,1342,1856
1450098027,1486,2326
1450184427,1986,1881
1450270826,1872,2326
1450357226,2196,2098
1450443626,2004,2171
1450530026,1919,1853
1450616426,1644,2022
1450702826,1591,2194
1450789225,1652,2334
1450875624,1626,2063
1450962025,1424,1748
1451048424,1419,1699
1451134824,1172,1427
1451221224,1158,1848
1451307623,1434,2105
1451394024,1751,2186
1451480423,1838,2176
1451566824,1592,1888
1451653224,1547,2059
1451739624,1723,1595
1451826024,1480,2054
1451912423,1554,2125
1451998823,1713,2151
1452085223,1776,2129
1452171624,1677,2297
1452258024,1697,1901
1452344423,1759,1611
1452430823,1516,1997
1452517222,1966,1969
1452603623,2747,2353
1452690023,2381,1848
1452776422,2412,1824
1452862822,1890,1599
1452949223,2409,1580
1453035623,1643,1701
1453122023,1707,1878
1453208422,2263,1881
1453294823,2137,1727
1453381222,2146,1677
1453467621,2335,1878
1453554022,2092,1449
1453640422,1882,1842
1453726822,2041,1788
1453813222,2226,1897
1453899622,1818,1953
1453986022,2294,1942
1454072421,2120,1825
1454158821,2130,1601
1454245222,1879,1621
1454331621,2072,1759
1454418022,1768,1624
1454504421,1845,1683
1454590822,1712,1668
1454677221,1833,1573
1454763621,2138,1599
1454850021,1447,1591
1454936421,1763,2005
1455022820,1794,1947
1455109221,1768,1628
1455195620,1630,2159
1455282020,1998,1357
1455368419,1921,1257
1455454820,1554,1565
1455541219,1618,1685
1455627619,1626,1900
1455714019,1679,1757
1455800419,1809,1635
1455886820,1742,4718
1455973220,1496,1538
1456059619,1365,1740
1456146018,1640,1945
1456232419,1856,1644
1456318818,1919,1787
1456405218,1654,1679
1456491619,1952,1712
1456578019,1912,1631
1456664419,1400,1689
1456750818,1754,1919
1456837219,1746,1913
1456923619,2073,1899
1457010019,2111,2005
1457096419,2401,1745
1457182819,1779,1568
1457269219,2067,1857
1457355619,1965,1914
1457442019,2052,1889
1457528419,2388,1643
1457614818,1874,1928
1457701219,1958,1616
1457787619,1970,1479
1457874019,1834,1471
1457960419,1914,1871
1458046819,3064,1868
1458133219,2303,1944
1458219619,1854,1916
1458306018,2350,1734
1458392419,2272,1701
1458478819,2024,1590
1458565219,1727,1617
1458651619,1667,1551
1458738019,1875,1415
1458824419,1694,1491
1458910818,1403,1121
1458997219,1749,1181
1459083618,1266,1389
1459170018,1395,1661
1459256418,2050,1707
1459342818,1873,1514
1459429218,2054,1737
1459515619,1755,1720
1459602019,1536,1498
1459688419,1376,1653
1459774819,1500,1677
1459861219,1638,1652
1459947618,1742,1591
1460034019,1721,1628
1460120418,1629,1727
1460206819,1570,1368
1460293218,1280,1933
1460379619,1479,2551
1460466019,1688,2182
1460552418,1893,2132
1460638819,1743,1747
1460725219,1609,2193
1460811619,1481,1513
1460898019,1270,1575
1460984419,1527,1993
1461070819,1831,2078
1461157219,1872,1894
1461243619,1623,2039
1461330019,1641,1975
1461416420,1536,1774
1461502820,1350,2035
1461589220,1645,2291
1461675619,3155,1763
1461762019,1808,2194
1461848421,1839,2267
1461934819,1641,2162
1462021220,1489,1916
1462107620,1250,2207
1462194022,1524,1753
1462280421,1598,1876
1462366821,1554,1745
1462453220,1665,1768
1462539621,1793,2186
1462626021,2630,1417
1462712422,1221,1713
1462798821,1586,1868
1462885221,1615,1851
1462971621,2011,1539
1463058021,1729,2045
1463317221,4249,5251
1463403621,1495,1683
1463490020,1772,1654
1463576421,1705,2017
1463662821,1628,1712
1463749222,1597,1440
1463835622,1467,1493
1463922022,1213,1789
1464008421,1297,1895
1464094821,1306,1945
1464181222,1544,1634
1464267622,1499,1962
1464354021,1387,1929
1464440423,1608,1453
1464526822,1730,1954
1464613222,1724,1736
1464699622,1643,2033
1464786021,1817,2092
1464872422,1669,2410
1464958822,1718,1684
1465045221,1594,2259
1465131622,1425,2136
1465218022,1450,2079
1465304422,1582,2482
1465390823,1695,1971
1465477222,1632,2013
1465563622,1681,1924
1465650012,1458,1929
1465736412,1346,3076
1465822812,1604,3181
1465909211,1957,2554
1465995611,1425,1836
1466082012,1643,2484
1466168412,1618,2501
1466254811,1517,2329
1466341211,1376,1788
1466427613,1702,1786
1466514012,1617,1944
1466600412,1656,1716
1466686812,1721,1426
1466773211,1655,1695
1466859612,1673,1312
1466946011,1387,1378
1467032412,1493,2143
1467118823,1699,1916
1467205223,1738,2230
1467291624,2114,1581
1467378023,1730,1485
1467464424,1566,1327
1467550824,1562,1459
1467637224,1537,1685
1467723625,1600,1985
1467810012,1559,1830
1467896413,1604,1682
1467982812,1366,1566
1468069212,1370,1375
1468155612,1128,1448
1468242012,1478,1743
1468328412,1547,1837
1468414812,1654,1716
1468501212,1640,1649
1468587611,1618,1564
1468674011,1819,1330
1468760411,1395,1567
1468846811,1725,1739
1468933211,2043,1937
1469019611,1725,1762
1469106011,1624,1593
1469192411,3577,1413
1469278811,1914,1293
1469365211,1234,1582
1469451611,1521,3947
1469538011,1793,1689
1469624411,1715,1859
1469710810,1555,1658
1469797211,1623,1450
1469883612,1368,1179
1469970011,1265,1509
1470056411,1596,1713
1470142811,1683,1569
1470229211,1549,1719
1470315611,1502,1892
1470402011,1483,2323
1470488411,1596,1449
1470574811,1293,1559
1470661210,1552,1573
1470747611,1555,2175
1470834011,1547,1657
1470920411,1375,1291
1471006810,1360,1559
1471093211,1263,1346
1471179611,1356,1399
1471266011,1316,1662
1471352411,1533,1435
1471438811,1484,1409
1471525210,1551,1555
1471611611,1531,1411
1471698010,1491,1292
1471784411,1129,1393
1471870811,1380,1431
1471957210,1512,1583
1472043611,1702,1501
1472130011,1534,1560
1472216411,1933,1421
1472302810,1499,1561
1472389210,1435,1643
1472475611,1413,1664
1472562011,1611,1731
1472648411,1536,1649
1472734811,620,1674
1472821211,1842,1626
1472907611,1493,1592
1472994010,1190,1602
1473080410,1438,1715
1473166810,1638,1585
1473253210,1508,1611
1473339611,1394,1792
1473426010,1369,1486
1473512410,1300,1402
1473598810,1388,1835
1473685211,1262,2125
1473771610,1375,1504
1473858011,1334,1604
1473944410,1369,1609
1474030810,1497,1425
1474117210,1256,1555
1474203610,1254,1894
1474290010,1417,1651
1474376410,1399,1892
1474462810,1450,1782
1474549209,1764,1607
1474635610,1415,1566
1474722010,1352,1243
1474808410,1116,1420
1474894810,1572,1658
1474981210,1733,1740
1475067610,1480,2075
1475154010,1538,1730
1475240410,1441,1465
1475326810,1331,1600
1475413210,1200,1531
1475499610,1416,1662
1475586009,1649,1665
1475672410,1508,1836
1475758810,1359,1512
1475845210,1415,1340
1475931610,1361,1151
1476018011,1166,1499
1476104409,1343,1531
1476190810,1283,1601
1476277210,1182,1510
1476363610,1359,1631
1476450010,1326,1776
1476536410,1246,1486
1476622809,1262,1778
1476709209,1460,2031
1476795610,1682,1649
1476882010,1369,1711
1476968410,1355,4139
1477054809,1627,2506
1477141210,1629,1289
1477227610,1354,1566
1477314010,1620,1856
1477400410,1656,1857
1477486810,1462,1660
1477573211,1462,1699
1477659611,1432,1441
1477746012,1249,1470
1477832411,1085,1705
1477918811,1253,1739
1478005212,1675,1577
1478091612,1425,1550
1478178012,1784,1520
1478264411,1402,1626
1478350812,1235,1413
1478437211,1388,1617
1478523612,1274,1693
1478610011,1441,1621
1478696412,1371,1269
1478782812,1315,1525
1478869212,1354,1258
1478955612,1219,1487
1479042011,1467,1422
1479128411,1564,1518
1479214811,1555,1559
1479301211,1629,1561
1479387611,1464,1513
