DateTime,AddedIPs,RemovedIPs
1477680001,59,62
1477681800,57,0
1477683600,56,58
1477686000,44,0
1477687201,47,53
1477689000,62,0
1477690800,44,59
1477692601,59,0
1477694400,64,68
1477696200,30,0
1477698000,38,55
1477699801,42,0
1477701600,40,82
1477703400,45,0
1477705200,38,77
1477707001,26,0
1477708800,31,96
1477710601,38,0
1477712400,36,97
1477714200,36,0
1477716000,35,94
1477717800,16,0
1477719600,31,92
1477721400,24,0
1477723201,36,82
1477725000,16,0
1477726801,52,75
1477728600,12,0
1477730400,32,101
1477732800,29,2
1477734001,57,136
1477735801,25,0
1477737600,58,123
1477739400,29,0
1477741800,52,123
1477744800,60,125
1477746600,11,0
1477748400,55,124
1477752000,57,74
1477755600,46,73
1477759200,41,62
1477762800,40,58
1477766400,37,50
1477770001,38,61
1477773601,42,54
1477777200,42,66
1477780800,48,54
1477784400,37,42
1477788001,48,65
1477791600,46,67
1477795200,65,83
1477798800,75,80
1477800600,1,0
1477802400,74,78
1477806001,64,81
1477809601,65,75
1477813200,71,55
1477816800,80,72
1477818600,0,1
1477820400,60,97
1477824000,79,139
1477827601,61,132
1477831200,89,101
1477834800,69,72
1477838400,54,90
1477842001,47,66
1477845600,53,49
1477849201,50,58
1477852801,55,47
1477856401,51,43
1477860000,62,39
1477863600,51,47
1477867200,50,52
1477870800,59,34
1477874400,54,35
1477878000,47,40
1477881600,50,60
1477885200,58,47
1477888800,71,56
1477892400,77,48
1477896000,62,64
1477899600,73,34
1477903200,77,61
1477905001,0,1
1477906800,73,49
1477910400,215,48
1477914000,215,31
1477917600,240,51
1477919401,1,1
1477921200,293,42
1477923000,1,0
1477924800,269,31
1477928401,224,38
1477930201,90,1
1477932000,225,44
1477933800,115,0
1477935601,0,38
1477939201,6,29
1477942800,0,41
1477946400,11,49
1477948201,2,0
1477950000,0,43
1477953600,7,40
1477957200,0,33
1477960801,10,34
1477964400,0,45
1477968000,11,67
1477971600,0,61
1477975200,5,68
1477978800,0,60
1477982400,6,44
1477986000,0,55
1477989601,9,64
1477991401,1,0
1477993200,0,64
1477996800,7,52
1478000400,0,67
1478004000,8,57
1478007600,0,44
1478011201,3,63
1478014801,0,55
1478018401,12,433
1478022000,0,37
1478025600,9,47
1478029200,1,34
1478032801,15,40
1478036400,0,40
1478040600,7,46
1478043600,0,38
1478047200,5,46
1478050800,0,34
1478054401,7,46
1478058000,0,43
1478059800,0,1
1478061600,11,64
1478065201,0,51
1478068800,4,61
1478072400,0,44
1478076001,5,53
1478079600,0,50
1478083201,5,65
1478086800,0,45
1478090400,5,61
1478094000,0,56
1478095800,0,1
1478097601,9,46
1478101201,0,50
1478104801,9,52
1478108400,0,40
1478112000,10,46
1478115600,1,87
1478119800,5,9
1478122801,0,33
1478126401,9,37
1478130000,0,32
1478133600,5,38
1478137201,0,35
1478140800,5,47
1478144400,1,50
1478148001,7,69
1478151600,0,61
1478155200,3,76
1478158800,0,48
1478162400,9,52
1478164202,0,1
1478166000,0,60
1478169600,4,212
1478173200,0,156
1478176800,7,157
1478180400,0,138
1478182800,0,1
1478184000,4,139
1478187600,0,133
1478191200,7,143
1478194801,0,149
1478198401,4,166
1478202001,0,151
1478205600,16,178
1478209200,0,156
1478212800,5,176
1478216401,0,137
1478220001,7,145
1478223600,0,129
1478227201,4,124
1478230800,0,101
1478234400,7,127
1478238601,0,124
1478241600,6,58
1478245200,0,53
1478248801,8,79
1478252400,0,148
1478256001,10,72
1478259600,0,71
1478263200,5,77
1478266801,0,46
1478270401,4,49
1478274000,0,45
1478277601,9,46
1478281200,0,45
1478284800,3,48
1478288400,0,53
1478292000,5,46
1478295600,0,93
1478299200,6,111
1478302800,0,125
1478306400,3,128
1478310000,0,120
1478313600,7,146
1478317200,0,163
1478321400,3,148
1478324401,0,152
1478328000,6,143
1478331600,0,113
1478335200,6,97
1478337600,0,2
1478338801,2,112
1478342400,7,114
1478346000,0,137
1478349600,4,135
1478353200,0,106
1478356800,11,52
1478360401,0,47
1478364000,5,55
1478367601,0,42
1478371200,6,53
1478374800,0,45
1478378400,5,54
1478382000,0,47
1478385600,7,58
1478389200,0,53
1478392800,7,64
1478396400,0,58
1478400000,8,61
1478403600,0,45
1478407201,2,67
1478409000,0,1
