DateTime,AddedIPs,RemovedIPs
1477810979,0,1
1477814636,5,0
1477818176,2,1
1477820036,2,2
1477825378,3,4
1477828976,1,1
1477830417,5,2
1477832576,0,3
1477836177,2,0
1477839780,3,4
1477843378,2,3
1477846980,1,5
1477849080,3,0
1477850582,0,2
1477854181,2,0
1477857782,3,9
1477859220,3,0
1477868590,2,4
1477872180,1,5
1477877280,4,3
1477879380,0,4
1477882980,1,2
1477885500,2,1
1477886580,0,2
1477890180,1,0
1477893780,1,2
1477895580,2,3
1477900980,3,6
1477904580,0,3
1477906021,8,0
1477908180,0,2
1477911780,3,2
1477914180,2,0
1477918981,1,3
1477922583,1,4
1477924741,1,0
1477929781,3,2
1477933382,4,3
1477934881,2,0
1477940581,2,5
1477942981,7,6
1477947786,3,4
1477951381,2,1
1477953541,3,0
1477954981,0,2
1477958581,5,0
1477962181,3,3
1477963681,6,0
1477969382,2,6
1477972984,2,0
1477976581,2,4
1477980181,4,2
1477982222,2,0
1477987385,4,7
1477990990,4,0
1477992422,2,0
1477994583,0,2
1477998184,4,2
1478000942,1,0
1478005382,3,1
1478008984,0,1
1478011083,1,1
1478016182,3,0
1478019783,4,7
1478021223,3,0
1478026984,5,3
1478029624,1,4
1478034188,4,4
1478037789,1,2
1478039648,2,4
1478044990,2,9
1478048588,5,0
1478050028,2,0
1478052193,0,1
1478055732,1,2
1478058192,7,3
1478059391,0,1
1478062934,2,7
1478066532,1,2
1478068392,1,0
1478070193,0,3
1478073793,2,0
1478077332,1,6
1478078894,2,1
1478084594,3,3
1478088192,1,0
1478091734,3,7
1478095396,1,2
1478097492,3,0
1478102593,4,1
1478106194,3,3
1478107633,7,2
1478109793,0,3
1478113392,2,1
1478116994,1,0
1478120532,5,5
1478124193,1,0
1478125753,2,2
1478127792,0,3
1478131393,2,1
1478134993,1,2
1478136433,2,0
1478138595,0,1
1478142194,2,4
1478144475,5,0
1478145797,0,5
1478149395,1,2
1478152997,2,1
1478155096,5,0
1478160137,3,2
1478163795,2,2
1478165236,1,0
1478167398,0,2
1478170995,3,0
1478173156,1,2
1478178196,0,1
1478181796,2,4
1478183296,2,0
1478185396,0,2
1478188996,4,1
1478192596,3,5
1478199798,7,5
1478201296,5,0
1478206996,2,1
1478208556,2,4
1478210537,0,1
1478214198,4,0
1478217805,2,4
1478219296,3,0
1478221398,0,2
1478224938,1,0
1478227577,3,3
1478228538,0,5
1478232138,2,3
1478235738,2,0
1478237897,2,7
1478242943,3,5
1478246599,4,0
1478248097,2,5
1478253797,7,0
1478256257,1,5
1478257397,0,1
1478260999,2,1
1478264599,3,0
1478268197,0,6
1478271799,4,3
1478275397,3,0
1478276837,0,1
1478278999,0,1
1478282599,2,1
1478284998,1,0
1478286198,0,2
1478289797,1,0
1478293399,3,2
1478295198,3,0
1478300598,2,5
1478305638,2,2
1478307799,1,1
1478311398,1,2
1478318600,3,3
1478322139,1,8
1478324358,4,3
1478329398,2,1
1478333000,4,3
1478334498,3,4
1478336598,0,4
1478340140,2,4
1478343318,2,0
1478347400,2,2
1478350938,2,1
1478353098,5,0
1478354598,0,1
1478358198,2,0
1478361800,2,4
1478368999,4,4
1478370439,4,0
1478376199,1,3
1478378239,4,3
1478379738,0,1
1478383400,4,3
1478386459,4,2
1478390539,2,3
1478394140,3,0
1478395699,2,1
1478397739,1,0
1478401400,1,2
1478403559,1,0
1478404941,0,1
1478408599,4,4
1478410999,1,0
1478415800,2,1
1478419399,6,8
1478420839,2,0
1478422999,0,1
1478426541,3,5
1478428759,4,0
1478433740,3,7
1478437400,2,0
1478440941,3,2
1478444601,2,10
