DateTime,Entries,UniqueIPs
1477825378,1432,1492
1477828976,1432,1492
1477830417,1435,1495
1477832576,1432,1492
1477836177,1434,1494
1477839780,1433,1493
1477843378,1432,1492
1477846980,1428,1488
1477849080,1431,1491
1477850582,1429,1489
1477854181,1431,1491
1477857782,1425,1485
1477859220,1428,1488
1477868590,1426,1486
1477872180,1422,1482
1477877280,1423,1483
1477879380,1419,1479
1477882980,1418,1478
1477885500,1419,1479
1477886580,1417,1477
1477890180,1418,1478
1477893780,1417,1477
1477895580,1416,1476
1477900980,1413,1473
1477904580,1410,1470
1477906021,1418,1478
1477908180,1416,1476
1477911780,1417,1477
1477914180,1419,1479
1477918981,1417,1477
1477922583,1414,1474
1477924741,1415,1475
1477929781,1416,1476
1477933382,1417,1477
1477934881,1419,1479
1477940581,1416,1476
1477942981,1417,1477
1477947786,1416,1476
1477951381,1417,1477
1477953541,1420,1480
1477954981,1418,1478
1477958581,1423,1483
1477962181,1423,1483
1477963681,1429,1489
1477969382,1425,1485
1477972984,1427,1487
1477976581,1425,1485
1477980181,1426,1487
1477982222,1428,1489
1477987385,1425,1486
1477990990,1429,1490
1477992422,1431,1492
1477994583,1429,1490
1477998184,1431,1492
1478000942,1432,1493
1478005382,1434,1495
1478008984,1433,1494
1478011083,1433,1494
1478016182,1436,1497
1478019783,1433,1494
1478021223,1436,1497
1478026984,1438,1499
1478029624,1435,1496
1478034188,1436,1496
1478037789,1435,1495
1478039648,1433,1493
1478044990,1426,1486
1478048588,1431,1491
1478050028,1433,1493
1478052193,1432,1492
1478055732,1431,1491
1478058192,1435,1495
1478059391,1434,1494
1478062934,1430,1489
1478066532,1429,1488
1478068392,1430,1489
1478070193,1427,1486
1478073793,1429,1488
1478077332,1424,1483
1478078894,1425,1484
1478084594,1425,1484
1478088192,1426,1485
1478091734,1422,1481
1478095396,1421,1480
1478097492,1424,1483
1478102593,1427,1486
1478106194,1427,1486
1478107633,1431,1491
1478109793,1428,1488
1478113392,1429,1489
1478116994,1430,1490
1478120532,1430,1490
1478124193,1431,1491
1478125753,1431,1491
1478127792,1428,1488
1478131393,1429,1489
1478134993,1428,1488
1478136433,1430,1490
1478138595,1429,1489
1478142194,1427,1487
1478144475,1432,1492
1478145797,1428,1487
1478149395,1427,1486
1478152997,1428,1487
1478155096,1433,1492
1478160137,1434,1493
1478163795,1434,1493
1478165236,1435,1494
