DateTime,AddedIPs,RemovedIPs
1454289012,3589,3267
1455497791,4798,4460
1456102775,3077,4064
1456710969,3728,3017
1457314892,2751,3928
1458525460,9663,3883
1459125531,7476,5957
1459729907,4099,6783
1460336662,4338,5980
1461543947,7472,6277
1462152372,7042,4669
1462755332,7351,6283
1463359417,6830,6814
1464563211,6088,9481
1465171233,4149,5640
1465775083,2860,5423
1466379191,5135,2568
1466983499,4372,4426
1467588061,4201,4175
1468192772,3986,4186
1468797343,4363,4084
1469400953,14250,4059
1470610757,32291,14121
1471214712,5399,30234
1471819243,5125,6898
1472423944,4475,5261
1473029333,4120,4845
1473634024,4570,4085
1474238551,3916,4509
1475448310,7517,5666
1476052840,5083,5550
1476658073,6387,4680
1477263290,9678,5885
1477872080,15093,8832
1478476598,23642,13452
