DateTime,AddedIPs,RemovedIPs
1455589209,4,16
1456199052,22,4
1456721767,10,9
1458028601,21,7
1458900020,20,11
1458987138,11,0
1459423016,9,29
1459771452,2,4
1460643408,2,26
1460730495,15,1
1460991850,5,2
1461521780,7,0
1462220893,11,26
1462569370,31,3
1464398906,29,0
1465705727,20,44
1466489794,0,42
1467012495,7,3
1467448100,0,2
1472327064,13,18
1472762654,16,12
1473285391,4,2
1473372499,0,6
1474156575,0,5
1475463653,1,15
1476509049,18,1
1476596192,4,0
1476770457,4,7
1477728751,8,0
1478251473,1,0
1478425699,3,13
1479123154,5,9
1479384517,1,1
