DateTime,Entries,UniqueIPs
1477421831,1853,1853
1477425433,2287,2287
1477429033,2519,2519
1477432633,2381,2381
1477436232,2266,2266
1477439832,2177,2177
1477443430,2087,2087
1477447033,2308,2308
1477450634,2459,2459
1477454234,2601,2601
1477457834,2730,2730
1477461436,2787,2787
1477465034,2784,2784
1477472236,2793,2793
1477475835,2795,2795
1477479436,2794,2794
1477483038,3109,3109
1477486640,3868,3868
1477490241,4345,4345
1477493842,4506,4506
1477497447,4694,4694
1477501044,4850,4850
1477504647,4988,4988
1477508242,4515,4515
1477511841,4424,4424
1477515443,4312,4312
1477519040,4133,4133
1477522642,3985,3985
1477526240,3852,3852
1477529840,3656,3656
1477533438,3434,3434
1477537037,3278,3278
1477540636,3143,3143
1477544234,3008,3008
1477547834,2935,2935
1477555034,2936,2936
1477558637,3257,3257
1477562238,3449,3449
1477565839,3622,3622
1477569437,3655,3655
1477573036,3143,3143
1477576636,2808,2808
1477580236,3009,3009
1477583836,2994,2994
1477587433,2823,2823
1477591034,2678,2678
1477594634,2705,2705
1477598237,3204,3204
1477601836,3411,3411
1477605439,3650,3650
1477609037,3830,3830
1477612640,3958,3958
1477616239,4087,4087
1477619842,4278,4278
1477623442,4493,4493
1477627042,4682,4682
1477630645,4867,4867
1477634244,5022,5022
1477637843,5024,5024
1477641443,5024,5024
1477645042,4746,4746
1477648645,5083,5083
1477652246,5279,5279
1477655846,5551,5551
1477659446,5760,5760
1477663046,5868,5868
1477666647,5868,5868
1477670248,5973,5973
1477673846,6073,6073
1477677448,6141,6141
1477681047,6170,6170
1477684947,5336,5336
1477688545,5010,5010
1477692443,4759,4759
1477696342,4602,4602
1477699944,4480,4480
1477703543,4331,4331
1477707142,4162,4162
1477710740,3953,3953
1477714340,3775,3775
1477717938,3580,3580
1477721538,3452,3452
1477725136,3452,3452
1477728739,3451,3451
1477732635,3196,3196
1477736233,2746,2746
1477739833,2364,2364
1477743430,1847,1847
1477747027,1443,1443
1477750626,1022,1022
1477754224,578,578
1477757822,310,310
1477761422,232,232
1477765022,169,169
1477768622,128,128
1477772222,96,96
1477775822,56,56
1477779422,25,25
1477783022,13,13
1477786622,14,14
1477793821,13,13
1477797422,13,13
1477801021,15,15
1477815722,15,15
1477822923,14,14
1477837323,12,12
1477840922,10,10
1477844523,9,9
1477848122,8,8
1477858923,9,9
1477866123,8,8
1477869722,7,7
1477873923,6,6
1477881123,7,7
1477884723,6,6
1477888324,5,5
1477891923,5,5
1477899123,7,7
1477902723,8,8
1477906326,358,358
1477909927,654,654
1477913529,966,966
1477917130,1300,1300
1477920731,1597,1597
1477924333,1975,1975
1477927935,2225,2225
1477931535,2362,2362
1477938735,2366,2366
1477942337,2906,2906
1477945938,3117,3117
1477949538,3311,3311
1477953139,3451,3451
1477957038,3621,3621
1477960639,3746,3746
1477964240,3936,3936
1477968141,4188,4188
1477971744,4562,4562
1477975343,4772,4772
1477978945,4991,4991
1477982544,5076,5076
1477986145,5075,5075
1477989745,5076,5076
1477993341,4703,4703
1477996944,4548,4548
1478000550,7284,7284
1478004154,8967,8967
1478007753,9886,9886
1478011353,10411,10411
1478014951,10428,10428
1478018553,10380,10380
1478022152,10386,10386
1478025755,10442,10442
1478029359,12096,12096
1478032957,13386,13386
1478036557,13538,13538
1478040157,13601,13601
1478043754,13638,13638
1478047357,13668,13668
1478050958,13778,13778
1478054559,13841,13841
1478058162,13855,13855
1478061761,13900,13900
1478065360,13883,13883
1478068959,14026,14026
1478072561,14117,14117
1478076159,14119,14119
1478079768,14572,14572
1478083367,15315,15315
1478086962,13589,13589
1478090559,11839,11839
1478094156,10360,10360
1478097753,9025,9025
1478101356,8646,8646
1478104955,8742,8742
1478108551,8874,8874
1478112154,8883,8883
1478115749,7474,7474
1478119347,5307,5307
1478122945,4810,4810
1478126542,4564,4564
1478130141,4370,4370
1478133743,4461,4461
1478137344,4490,4490
1478140946,4593,4593
1478144545,4660,4660
1478148147,4854,4854
1478151743,4954,4954
1478155347,4951,4951
1478158944,4873,4873
1478162543,4872,4872
1478166141,4424,4424
1478169737,3535,3535
1478173336,3465,3465
1478176935,3357,3357
1478180535,3294,3294
