DateTime,Entries,UniqueIPs
1476451981,784,806
1476455581,783,805
1476459181,782,804
1476462781,784,806
1476466381,788,810
1476473581,790,812
1476477182,788,810
1476480781,784,806
1476484382,784,806
1476487981,785,807
1476498781,784,806
1476505981,785,807
1476513181,783,804
1476516781,785,806
1476520381,787,808
1476531181,785,806
1476538381,782,803
1476541981,785,806
1476545581,783,804
1476549181,784,805
1476552781,783,804
1476559981,783,804
1476567181,782,803
1476577981,778,799
1476585181,780,801
1476588781,779,799
1476592381,782,802
1476595981,784,804
1476599581,782,802
1476617581,782,802
1476621181,781,801
1476628381,777,797
1476635581,785,805
1476639181,792,812
1476642781,790,810
1476646381,792,812
1476649981,793,813
1476653581,791,811
1476657181,794,814
1476664381,795,815
1476671581,795,815
1476678781,796,816
1476685982,795,815
1476689581,794,814
1476696782,793,813
1476700382,795,815
1476703981,794,813
1476707581,796,815
1476711181,797,816
1476714781,796,815
1476718381,800,818
1476721982,798,816
1476725582,800,818
1476729181,796,814
1476732781,798,817
1476736381,796,815
1476743581,789,808
1476747181,791,810
1476754381,793,812
1476757981,791,810
1476765181,789,808
1476768781,790,809
1476772381,789,808
1476779582,788,807
1476783181,786,805
1476808381,785,803
1476811981,783,800
1476815581,780,796
1476822781,782,799
1476826381,784,801
1476829981,782,799
1476833581,782,799
1476837181,780,796
1476840781,775,791
1476851582,773,789
1476855181,774,790
1476858781,774,791
1476865981,772,789
1476873181,771,788
1476880381,775,792
1476887581,774,792
1476894781,770,788
1476898381,773,791
1476901981,771,789
1476905581,767,785
1476909181,768,786
1476916381,764,782
1476919981,763,781
1476930781,762,780
1476934382,761,779
1476937981,762,780
1476945181,763,781
1476952381,764,782
1476955981,762,780
1476959581,761,779
1476966781,763,781
1476970381,761,779
1476973981,763,781
1476977581,762,780
1476984781,767,785
1476988381,768,786
1476991981,767,785
1476995581,768,786
1477002781,763,781
1477006381,767,785
1477013582,765,783
1477017181,767,785
1477020781,764,782
1477027981,761,779
1477031581,762,780
1477035181,765,783
1477042381,764,782
1477045981,762,780
1477049581,765,783
1477056781,766,784
1477060381,765,783
1477063981,767,785
1477067581,766,784
1477071181,769,787
1477081981,768,786
1477085581,769,787
1477089181,767,785
1477092781,766,784
1477096381,767,785
1477103581,766,784
1477117982,763,781
1477121581,764,782
1477128781,765,783
1477132381,766,784
1477135981,767,785
1477143181,766,784
1477153981,770,788
1477161181,770,788
1477164782,771,789
1477168381,770,788
1477179181,770,788
1477186381,773,791
1477193581,771,789
1477197181,773,791
1477200781,774,792
1477204381,772,790
1477207981,774,792
1477211581,773,791
1477215181,774,792
1477218781,772,790
1477222381,774,793
1477225981,776,795
1477233181,773,792
1477243981,774,793
1477247581,773,792
1477254781,774,793
1477258382,771,789
1477261981,770,788
1477265581,771,789
1477269181,772,790
1477276381,770,788
1477279981,772,790
1477290781,769,787
1477294381,772,790
1477312381,776,794
1477319582,775,793
1477330382,775,793
1477344781,774,792
1477348381,775,793
1477351981,774,792
1477355581,774,792
1477366381,775,793
1477377181,777,796
1477387981,777,796
1477398781,782,802
1477402381,781,801
1477409581,780,800
1477413181,778,798
1477416781,780,800
1477420381,776,798
1477431181,774,796
1477434781,773,795
1477438381,773,795
1477441981,774,796
1477449182,773,795
1477452781,774,796
1477459981,775,797
1477463581,776,798
1477467181,774,796
1477481581,776,798
1477485181,778,800
1477492381,777,799
1477495981,776,797
1477499581,774,795
1477503181,775,796
1477506781,774,795
1477510381,773,794
1477517581,772,793
1477521181,771,792
1477528382,770,791
1477535581,769,790
1477542781,766,787
1477546381,767,788
1477553581,766,787
1477557181,766,787
1477560781,767,788
1477564381,764,785
1477567981,766,787
1477571581,768,789
1477578781,767,788
1477585981,770,791
1477589581,768,790
1477596781,765,787
1477600381,764,786
1477607581,761,783
1477611182,758,780
1477625582,757,779
1477632781,759,781
1477639981,760,782
1477647181,759,781
1477650781,762,784
1477654381,759,781
1477657981,758,780
1477661581,759,781
1477668781,758,780
1477675981,761,783
1477679581,759,781
1477683181,761,783
1477686781,762,784
1477693981,758,780
1477697581,760,782
1477701182,758,779
1477704781,759,780
1477711981,758,779
1477715581,757,778
1477726382,756,777
1477733582,755,776
1477737182,756,777
1477740781,761,782
1477744382,759,780
1477751581,760,781
1477758781,760,781
1477762381,764,785
1477765981,763,784
1477773181,764,785
1477780381,763,784
1477791181,763,784
1477809181,764,785
1477819981,763,784
1477827181,761,782
1477830781,765,786
1477845181,766,787
1477848781,765,786
1477852381,765,786
1477855981,764,785
1477859581,763,784
1477863181,764,785
1477873981,765,786
1477881181,764,785
1477888381,765,786
1477899181,766,787
1477909981,767,788
