DateTime,Entries,UniqueIPs
1438820530,11809,13882
1438820530,13882,13882
1438820530,13882,13882
1440934589,13826,13826
1441197369,13825,13825
1441372686,13775,13775
1441986309,13769,13769
1442424425,13767,13767
1442599748,13764,13764
1443212830,13753,13753
1443825907,13745,13745
1444395249,13719,13719
1445008687,13716,13716
1445183645,13714,13714
1445625403,13698,13698
1446240424,13696,13696
1446811747,13697,13697
1446812302,13687,13687
1447068425,13684,13684
1447423749,13678,13678
1448021348,13679,13679
1448021899,13671,13671
1448626147,13672,13672
1448626705,13651,13651
1449230949,13652,13652
1449231500,13632,13632
1449614213,13629,13629
1449657912,13608,13608
1449835746,13609,13609
1449836301,13606,13606
1450453532,13596,13596
1451045367,13597,13597
1451045899,13588,13588
1451236685,13584,13584
1451650147,13585,13585
1451650699,13578,13578
1452262149,13562,13562
1452872750,13551,13551
1453471930,13535,13535
1454076247,13530,13530
1454673848,13531,13531
1454674096,13523,13523
1455278643,13524,13524
1455278895,13523,13523
1455883443,13524,13524
1455883925,13509,13509
1456176003,13504,13504
1456488487,13505,13505
1456488976,13498,13498
1456490165,13496,13496
1457093286,13497,13497
1457093527,13473,13473
1457697847,13474,13474
1457698324,13457,13457
1457882169,13449,13449
1458302648,13450,13450
1458303123,13446,13446
1458907442,13447,13447
1458907927,13201,13201
1459533845,13177,13177
1460014802,13174,13174
1460113445,13175,13175
1460114165,13174,13174
1460718247,13175,13175
1460718724,13157,13157
1461323047,13158,13158
1461323523,13153,13153
1461927841,13154,13154
1461928324,13135,13135
1462532644,13136,13136
1462533124,13129,13129
1463137444,13130,13130
1463137923,13119,13119
1463742243,13120,13120
1463742724,13101,13101
1464370563,13095,13095
1464975603,13092,13092
1465556644,13093,13093
1465557122,13086,13086
1466161685,13087,13087
1466162402,13086,13086
1466766244,13087,13087
1466766723,13080,13080
1467395044,13049,13049
1467975843,13050,13050
1467976322,13036,13036
1469185447,13037,13037
1469185922,13024,13024
1469790243,13025,13025
1469790723,13015,13015
1470395045,13016,13016
1470395284,13006,13006
1470999843,13007,13007
1471000322,13006,13006
1471604644,13007,13007
1471605122,13006,13006
1471859762,13002,13002
1472209923,12983,12983
1472814723,12979,12979
1473419285,12957,12957
1474024562,12908,12908
1474628883,12907,12907
1475233686,12906,12906
1475838483,12886,12886
1477048083,12885,12885
1477653126,12883,12883
1478261531,12882,12882
1478866323,12873,12873
1479470885,12870,12870
